"token","author","title","year","textClass"
"59855","Weber, Michael (#124613551)","Christliche Trawr- und Leichpredigt auß dem Buch der Weißheit c. III. v. 1. 2. seqq. Bey der Volckreichen/ Trawrigen Leichbestattung Deß Geistreichen vnd werthen Manns/ Herrn Joannis Sauberti","1647","Gebrauchsliteratur::Leichen"
"44143","Güttner, Gabriel (#120280191)","Trias Primitiarum: Das ist: Drey Christliche Predigten","1616","Gebrauchsliteratur::Leichenpredigt"
"41704","Füssel, Martin (#121049779 )","Christliche Leichpredigt/ Bey dem Begräbnüß deß Edelen Gestrengen/ Ehrenvesten/ Hoch vnd Wolbenambten/ Herren Joachim von Berge/ auff Herndorff vnd Clade/ Weiland Ferdinands deß I. Maximilians deß II. Rudolffs des II. a"
"30397","Böttner, Gottfried (#132360667)","Eine in Gott ruhende/ und also gantz ruhige Elisabeth: An der Weyland Hoch-Edel-gebohrnen Jungfr. Jungfr. Elisabeth von Festenberg/ Backischin","1686","Gebrauchsliteratur::Leichenpredigt"
"28036","Rollius, Johannes (#120328062 )","Annulus Dei signatorius. Der Hochwerthe Pittschafft-Ring Gottes. Aus dem Propheten Haggai 2. v. 24. [...]: Bey Hochansehnlicher und Volckreicher Funeration Des weiland Edlen/ Großachtbaren/ Hochwesten/ Hochgelahrten und Ho"
"27775","Böttner, Konrad","I. N. J. Der Nach Gottes Willen seelig entschlaffenen Gott und Tugend ergebenen Jungfer : Jgfr. Christianen Theodoren","1733","Gebrauchsliteratur::Leichenpredigt"
"27396","Herr, Johannes (#104143126 )","Desiderium sanctorum: Das ist/ Hertzliche begierde und verlangen frommer gläubiger Christen nach GOtt/ Auß den Worten des 73. Psalms: HErr wenn ich nur dich habe/ etc. Bey der Ansehnlichen und Volckreichen Sepultur Deß Weyl"
"27329","Gebauer, Johann (#12188693X)","Geistl. Ring und Leibliche Sterbkunst: Des im dritten Himmel gekrönten Ritters vnd Märtyrers des Hocherlauchten Heyligen Apostels Pauli: Auß Gottes Wort: Am Fastnacht Donnerstage/ war der 9. Febr. 1617. Bey öffentlicher An"
"27313","Rollius, Johannes (#120328062 )","Letztes Ehren-Gedächtnis/ Tit: Herren Matthaei Hoffmanni Machaeropoei, Pastoris Primarii und Inspectoris, Bey der Evangel. Kirchen vor Schweidnitz","1667","Gebrauchsliteratur::Leichenpredigt"
"27264","Böttner, Konrad (#129264547)","Leichen- und Gedächtniß-Rede: Welche an Salv. Tit. HERRN, Hrn. M. Gottfried Böttners","1740","Gebrauchsliteratur::Leichenpredigt"
