"token","author","title","year","textClass"
"35959","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 34. 3. Februar 1840","1840","Zeitung"
"34531","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 26. 26. Januar 1840","1840","Zeitung"
"26884","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 154. 2. Juni 1840","1840","Zeitung"
"20065","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 162. 10. Juni 1840","1840","Zeitung"
"19758","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 155. 3. Juni 1840","1840","Zeitung"
"19393","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 108. 17. April 1840","1840","Zeitung"
"19255","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 113. 22. April 1840","1840","Zeitung"
"19044","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 120. 29. April 1840","1840","Zeitung"
"19043","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 172. 20. Juni 1840","1840","Zeitung"
"19042","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 61. 1. März 1840","1840","Zeitung"
"18955","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 171. 19. Juni 1840","1840","Zeitung"
"18915","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 140. 19. Mai 1840","1840","Zeitung"
"18824","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 54. 23. Februar 1840","1840","Zeitung"
"18808","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 174. 22. Juni 1840","1840","Zeitung"
"18797","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 30. 30. Januar 1840","1840","Zeitung"
"18781","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 94. 3. April 1840","1840","Zeitung"
"18759","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 24. 24. Januar 1840","1840","Zeitung"
"18748","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 165. 13. Juni 1840","1840","Zeitung"
"18739","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 48. 17. Februar 1840","1840","Zeitung"
"18733","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 170. 18. Juni 1840","1840","Zeitung"
"18714","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 13. 13. Januar 1840","1840","Zeitung"
"18710","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 163. 11. Juni 1840","1840","Zeitung"
"18694","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 152. 31. Mai 1840","1840","Zeitung"
"18658","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 135. 14. Mai 1840","1840","Zeitung"
"18653","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 92. 1. April 1840","1840","Zeitung"
"18613","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 80. 20. März 1840","1840","Zeitung"
"18607","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 103. 12. April 1840","1840","Zeitung"
"18597","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 76. 16. März 1840","1840","Zeitung"
"18581","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 161. 9. Juni 1840","1840","Zeitung"
"18577","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 181. 29. Juni 1840","1840","Zeitung"
"18528","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 139. 18. Mai 1840","1840","Zeitung"
"18503","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 143. 22. Mai 1840","1840","Zeitung"
"18496","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 121. 30. April 1840","1840","Zeitung"
"18478","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 84. 24. März 1840","1840","Zeitung"
"18464","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 102. 11. April 1840","1840","Zeitung"
"18464","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 69. 9. März 1840","1840","Zeitung"
"18452","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 150. 29. Mai 1840","1840","Zeitung"
"18438","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 83. 23. März 1840","1840","Zeitung"
"18435","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 173. 21. Juni 1840","1840","Zeitung"
"18426","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 66. 6. März 1840","1840","Zeitung"
"18414","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 125. 4. Mai 1840","1840","Zeitung"
"18409","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 72. 12. März 1840","1840","Zeitung"
"18408","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 107. 16. April 1840","1840","Zeitung"
"18390","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 51. 20. Februar 1840","1840","Zeitung"
"18374","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 110. 19. April 1840","1840","Zeitung"
"18366","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 149. 28. Mai 1840","1840","Zeitung"
"18352","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 53. 22. Februar 1840","1840","Zeitung"
"18351","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 133. 12. Mai 1840","1840","Zeitung"
"18321","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 128. 7. Mai 1840","1840","Zeitung"
"18278","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 129. 8. Mai 1840","1840","Zeitung"
"18262","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 109. 18. April 1840","1840","Zeitung"
"18259","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 156. 4. Juni 1840","1840","Zeitung"
"18256","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 37. 6. Februar 1840","1840","Zeitung"
"18236","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 97. 6. April 1840","1840","Zeitung"
"18231","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 148. 27. Mai 1840","1840","Zeitung"
"18219","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 95. 4. April 1840","1840","Zeitung"
"18216","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 52. 21. Februar 1840","1840","Zeitung"
"18214","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 132. 11. Mai 1840","1840","Zeitung"
"18210","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 73. 13. März 1840","1840","Zeitung"
"18165","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 112. 21. April 1840","1840","Zeitung"
"18116","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 144. 23. Mai 1840","1840","Zeitung"
"18111","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 88. 28. März 1840","1840","Zeitung"
"18097","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 55. 24. Februar 1840","1840","Zeitung"
"18076","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 157. 5. Juni 1840","1840","Zeitung"
"18073","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 49. 18. Februar 1840","1840","Zeitung"
"18066","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 141. 20. Mai 1840","1840","Zeitung"
"18049","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 81. 21. März 1840","1840","Zeitung"
"18006","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 104. 13. April 1840","1840","Zeitung"
"17992","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 127. 6. Mai 1840","1840","Zeitung"
"17986","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 166. 14. Juni 1840","1840","Zeitung"
"17969","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 59. 28. Februar 1840","1840","Zeitung"
"17967","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 98. 7. April 1840","1840","Zeitung"
"17949","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 179. 27. Juni 1840","1840","Zeitung"
"17943","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 74. 14. März 1840","1840","Zeitung"
"17929","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 138. 17. Mai 1840","1840","Zeitung"
"17913","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 175. 23. Juni 1840","1840","Zeitung"
"17901","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 60. 29. Februar 1840","1840","Zeitung"
"17889","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 58. 27. Februar 1840","1840","Zeitung"
"17872","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 176. 24. Juni 1840","1840","Zeitung"
"17869","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 8. 8. Januar 1840","1840","Zeitung"
"17860","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 137. 16. Mai 1840","1840","Zeitung"
"17860","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 67. 7. März 1840","1840","Zeitung"
"17856","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 22. 22. Januar 1840","1840","Zeitung"
"17840","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 56. 25. Februar 1840","1840","Zeitung"
"17835","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 164. 12. Juni 1840","1840","Zeitung"
"17817","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 89. 29. März 1840","1840","Zeitung"
"17789","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 68. 8. März 1840","1840","Zeitung"
"17787","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 2. 2. Januar 1840","1840","Zeitung"
"17787","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 7. 7. Januar 1840","1840","Zeitung"
"17779","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 136. 15. Mai 1840","1840","Zeitung"
"17774","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 17. 17. Januar 1840","1840","Zeitung"
"17769","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 151. 30. Mai 1840","1840","Zeitung"
"17750","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 147. 26. Mai 1840","1840","Zeitung"
"17750","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 64. 4. März 1840","1840","Zeitung"
"17745","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 105. 14. April 1840","1840","Zeitung"
"17738","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 169. 17. Juni 1840","1840","Zeitung"
"17737","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 87. 27. März 1840","1840","Zeitung"
"17726","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 118. 27. April 1840","1840","Zeitung"
"17724","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 93. 2. April 1840","1840","Zeitung"
"17722","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 96. 5. April 1840","1840","Zeitung"
"17717","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 114. 23. April 1840","1840","Zeitung"
"17711","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 158. 6. Juni 1840","1840","Zeitung"
"17696","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 43. 12. Februar 1840","1840","Zeitung"
"17655","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 46. 15. Februar 1840","1840","Zeitung"
"17652","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 70. 10. März 1840","1840","Zeitung"
"17638","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 115. 24. April 1840","1840","Zeitung"
"17637","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 36. 5. Februar 1840","1840","Zeitung"
"17629","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 124. 3. Mai 1840","1840","Zeitung"
"17627","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 41. 10. Februar 1840","1840","Zeitung"
"17622","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 19. 19. Januar 1840","1840","Zeitung"
"17617","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 65. 5. März 1840","1840","Zeitung"
"17592","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 167. 15. Juni 1840","1840","Zeitung"
"17571","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 82. 22. März 1840","1840","Zeitung"
"17568","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 168. 16. Juni 1840","1840","Zeitung"
"17559","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 106. 15. April 1840","1840","Zeitung"
"17529","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 10. 10. Januar 1840","1840","Zeitung"
"17519","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 146. 25. Mai 1840","1840","Zeitung"
"17510","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 160. 8. Juni 1840","1840","Zeitung"
"17500","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 91. 31. März 1840","1840","Zeitung"
"17499","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 11. 11. Januar 1840","1840","Zeitung"
"17443","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 20. 20. Januar 1840","1840","Zeitung"
"17420","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 180. 28. Juni 1840","1840","Zeitung"
"17404","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 27. 27. Januar 1840","1840","Zeitung"
"17394","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 119. 28. April 1840","1840","Zeitung"
"17386","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 71. 11. März 1840","1840","Zeitung"
"17381","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 182. 30. Juni 1840","1840","Zeitung"
"17378","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 100. 9. April 1840","1840","Zeitung"
"17360","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 79. 19. März 1840","1840","Zeitung"
"17313","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 78. 18. März 1840","1840","Zeitung"
"17304","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 77. 17. März 1840","1840","Zeitung"
"17284","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 142. 21. Mai 1840","1840","Zeitung"
"17276","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 90. 30. März 1840","1840","Zeitung"
"17266","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 130. 9. Mai 1840","1840","Zeitung"
"17265","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 33. 2. Februar 1840","1840","Zeitung"
"17254","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 3. 3. Januar 1840","1840","Zeitung"
"17250","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 57. 26. Februar 1840","1840","Zeitung"
"17244","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 50. 19. Februar 1840","1840","Zeitung"
"17236","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 62. 2. März 1840","1840","Zeitung"
"17212","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 153. 1. Juni 1840","1840","Zeitung"
"17204","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 40. 9. Februar 1840","1840","Zeitung"
"17185","Augsburgerallgemeine","Allgemeine Zeitung: Nr. 75. 15. März 1840","1840","Zeitung"
