"token","author","title","year","textClass"
"40004","Humboldt, Alexander (#118554700)","Geognostisch-metallurgischer Abriß von Amerika","1828","Wissenschaft"
"38528","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Geognostische und physikalische Beobachtungen über die Vulkane des Hochlandes von Quito","1837","Wissenschaft"
"28539","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Von den isothermen Linien und der Vertheilung der Wärme auf dem Erdkörper","1853","Wissenschaft"
"18607","Humboldt, Alexander (#118554700)","Ueber die Bergketten und Vulcane von Inner-Asien und über einen neuen vulcanischen Ausbruch in der Andes-Kette","1830","Wissenschaft"
"17906","Humboldt, Alexander (#118554700)","Versuch über einige physikalische und chemische Grundsätze der Salzwerkskunde","1792","Wissenschaft"
"17768","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Aus Humboldts neuester Reise","1831","Wissenschaft"
"17671","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ideen zu einer Geographie der Pflanzen","1811","Wissenschaft"
"16833","Humboldt, Alexander (#118554700); Gay-Lussac, Louis Joseph","Versuche über die eudiometrischen Mittel, und über das Verhältniss der Bestandtheile der Atmosphäre. Vorgelesen in der ersten Klasse des National-Instituts am 21sten Jan. 1805 Zweiter Teil: Ue"
"15826","Humboldt, Alexander (#118554700)","Ueber die Schwankungen der Goldproduktion mit Rücksicht auf staatswirthschaftliche Probleme","1838","Wissenschaft"
"15018","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber die Steppen und Wüsten","1852","Wissenschaft"
"14386","Humboldt, Alexander (#118554700)","Geognostische Skizze von Südamerika, von Alexander von Humboldt, mit erläuternden Bemerkungen des Herausgebers","1804","Wissenschaft"
"14349","Humboldt, Alexander (#118554700)","Untere Gränze des ewigen Schnees auf dem Himalaya-Gebirge und in den Gegenden des Aequators","1821","Wissenschaft"
"14111","Humboldt, Alexander (#118554700)","Versuch über die astronomische Strahlenbrechung in der heißen Zone für Höhenwinkel unter 10°, insofern sie von der Wärmeabnahme abhängt. (Vorgelesen in der ersten Klasse des Instituts am 29sten Februar 1808.) Frei �"
"13769","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Skizze einer Geologischen Schilderung des südlichen Amerika","1802","Wissenschaft"
"13755","Humboldt, Alexander (#118554700)","Betrachtungen über die Temperatur und den hygrometrischen Zustand der Luft in einigen Theilen von Asien","1831","Wissenschaft"
"13732","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Beyträge zur Eudiometrie","1799","Wissenschaft"
"13111","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Notizen Alex. von Humboldt’s von seinen Reisen in der Kordillere der Anden und von seinen physikalischen Beobachtungen in Quito und Mexico / Nachtrag zu Alex. von Humboldt’s Notizen von seinen phys"
"12991","Humboldt, Alexander (https://d-nb.info/gnd/118554700); Gay-Lussac, Louis Joseph","Versuche über die eudiometrischen Mittel und das Verhältniß der Bestandtheile der Atmosphäre","1805","Wissenschaft"
"12988","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","[Esquisse d’un tableau géologique de l’Amérique méridionale]","1803","Wissenschaft"
"12919","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber die Steppen und Wüsten","1831","Wissenschaft"
"12021","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber die mittlere Höhe der Kontinente","1855","Wissenschaft"
"11885","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Über die Chinawälder in Südamerika","1807","Wissenschaft"
"11703","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber die ältesten Karten des Neuen Continents und den Namen Amerika","1853","Wissenschaft"
"11694","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber einige wichtige Punkte der Geographie Guyana’s","1837","Wissenschaft"
"11632","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Ueber Sternschnuppen und Meteorsteine","1845","Wissenschaft"
"11570","Humboldt, Alexander (https://d-nb.info/gnd/118554700)","Betrachtungen über die Temperatur und den hygrometrischen Zustand der Luft in einigen Theilen von Asien","1831","Wissenschaft"
