"token","author","title","year","textClass"
"151719","Parthey, Gustav (#104366508)","Vorlesungen über physikalische Geographie","1828","Wissenschaft::Naturwissenschaft"
"122733","N. N.,","Die physikalische Geographie von Herrn Alexander v. Humboldt, vorgetragen im Semestre 1827/28","1828","Wissenschaft::Naturwissenschaft"
"114280","N. N.,","Physikalische Geographie von Heinr. Alex. Freiherr v. Humboldt","1828","Wissenschaft::Naturwissenschaft"
"102238","Patzig, Gotthilf (#138715122)","Vorträge über physische Geographie des Freiherrn Alexander von Humbold","1828","Wissenschaft::Naturwissenschaft"
"86757","N. N.,","Alexander von Humboldts Vorlesungen über phÿsikalische Geographie nebst Prolegomenen über die Stellung der Gestirne","1827","Wissenschaft::Naturwissenschaft"
"53054","Libelt, Karol (#120684470)","Wykłady Humboldta na uniwersytecie Berlińskim","1828","Wissenschaft::Naturwissenschaft"
"44487","Hufeland, Otto","Vorlesungen über physicalische Geographie","1829","Wissenschaft::Naturwissenschaft"
"43982","Kohlrausch, Henriette (#1072699168)","Physikalische Geographie","1828","Wissenschaft::Naturwissenschaft"
"37490","Humboldt, Alexander von (#118554700)","Ueber Meeresströmungen im allgemeinen; und über die kalte peruanische Strömung der Südsee, im Gegensatze zu dem warmen Golf- oder Florida-Strome","1855","Wissenschaft::Naturwissenschaft"
"27911","Riess, Peter Theophil (#116545259)","Physikalische Geographie nach Al. v. Humboldt","1828","Wissenschaft::Naturwissenschaft"
"17898","Humboldt, Alexander von (#118554700)","Versuch über einige physikalische und chemische Grundsätze der Salzwerkskunde","1792","Gebrauchsliteratur::Naturwissenschaft"
"15418","Humboldt, Alexander von (#118554700)","Ueber die Schwankungen der Goldproduktion mit Rücksicht auf staatswirthschaftliche Probleme","1838","Wissenschaft::Ökonomie"
"13833","Humboldt, Alexander von (#118554700)","Skizze einer Geologischen Schilderung des südlichen Amerika","1802","Wissenschaft::Geographie"
"13596","Humboldt, Alexander von (#118554700)","Vorwort von Alexander von Humboldt; Über einige sehr wichtige Punkte der Geographie Guayana's von Alexander von Humboldt","1841","Gebrauchsliteratur::Sonstiges"
"11919","Humboldt, Alexander von (#118554700)","Über die Chinawälder in Südamerika","1807","Wissenschaft::Biologie"
"11648","Humboldt, Alexander von (#118554700)","Ueber einige wichtige Punkte der Geographie Guyanas","1837","Wissenschaft::Geographie"
"11588","Humboldt, Alexander von (#118554700)","Beobachtungen über das Gesetz der Wärmeabnahme in den höhern Regionen der Athmosphäre, und über die untern Gränzen des ewigen Schnees","1806","Wissenschaft::Physik"
"11142","Humboldt, Alexander von (#118554700)","Über die bei verschiedenen Völkern üblichen Systeme von Zahlzeichen und über den Ursprung des Stellenwerthes in den indischen Zahlen","1829","Wissenschaft::Mathematik"
"11091","Humboldt, Alexander von (#118554700)","Ueber den neusten Zustand des Freistaats von Centro-Amerika oder Guatemala","1826","Wissenschaft::Geographie"
"11019","Humboldt, Alexander von (#118554700)","Notizen Alex. von Humboldt's von seinen Reisen in der Kordillere der Anden und von seinen physikalischen Beobachtungen in Quito und Mexico : [aus Briefen an 1. W. v. Humboldt; 2. Aus vier Briefen an denselben; 3. an De"
"10396","Humboldt, Alexander von (#118554700)","Geognostische und physikalische Beobachtungen über die Vulkane des Hochlandes von Quito: Erste Abhandlung","1837","Wissenschaft::Geologie"
"10393","Humboldt, Alexander von (#118554700)","Geognostisches Gemälde von Süd-Amerika","1826","Wissenschaft::Geologie"
"9602","Humboldt, Alexander von (#118554700)","Ueber die Hochebene von Bogota.","1853","Wissenschaft::Geographie"
"8955","Humboldt, Alexander von (#118554700)","Geognostische und physikalische Beobachtungen über die Vulkane des Hochlandes von Quito: Zweite Abhandlung","1838","Wissenschaft::Geologie"
"8881","Humboldt, Alexander von (#118554700)","Bericht über die Naturhistorischen Reisen der Herren Ehrenberg und Hemprich; durch Ägypten, Dongola, Syrien, Arabien und den östlichen Abfall des Habessinischen Hochlandes, in den Jahren 1820-1825","1826","Gebrauchslite"
"8520","Humboldt, Alexander von (#118554700)","Neueste Beschlüsse der mexikoschen Regierung über einen Handelsweg in der Landenge von Goazacoalco und Tehuantepec","1827","Gebrauchsliteratur::Bericht"
"8429","Humboldt, Alexander von (#118554700)","Ueber zwei Versuche den Chimborazo zu besteigen","1837","Gebrauchsliteratur::Bericht"
"8304","Humboldt, Alexander von (#118554700)","Über die Haupt-Ursachen der Temperatur-Verschiedenheit auf dem Erdkörper","1830","Wissenschaft::Naturwissenschaft"
"7052","Humboldt, Alexander von (#118554700)","Ueber die einfache Vorrichtung, durch welche sich Menschen stundenlang in irrespirablen Gasarten, ohne Nachtheil der Gesundheit, und mit brennenden Lichtern aufhalten können; oder vorläufige Anzeige einer Rettungsfl�"
"6974","Humboldt, Alexander von (#118554700)","Neue Untersuchungen über die Gesetze, welche man in der Vertheilung der Pflanzenformen bemerkt","1821","Wissenschaft::Biologie"
"6895","Humboldt, Alexander von (#118554700)","Ueber den Manati des Orinoko","1838","Wissenschaft::Zoologie"
"6445","Humboldt, Alexander von (#118554700)","An Hrn Delambre in Paris. Lima, d[en] 25[.] November 1802; An Hrn[.] Prof. Willdenow in Berlin. Mexiko, den 29[.] April 1803.","1803","Gebrauchsliteratur::Brief"
"6005","Humboldt, Alexander von (#118554700)","Ueber die Mittel, die Ergründung einiger Phänomene des tellurischen Magnetismus zu erleichtern","1829","Wissenschaft::Physik"
"5938","Humboldt, Alexander von (#118554700)","Ideen zu einer Physiognomik der Gewächse","1806","Wissenschaft::Biologie"
"5897","Humboldt, Alexander von (#118554700)","Ueber die Gestalt und das Klima des Hochlandes in der iberischen Halbinsel: (Auszug eines Schreibens an Herrn Professor Berghaus)","1825","Wissenschaft::Geographie"
"5468","Humboldt, Alexander von (#118554700)","Ueber die Anwendung des Galvanischen Reizmittels auf die praktische Heilkunde: Ein Schreiben des Hrn. Obergerbraths von Humboldt an den Herausgeber","1797","Wissenschaft::Naturwissenschaft"
"5409","Humboldt, Alexander von (#118554700)","Neue Versuche über den Metallreiz, besonders in Hinsicht auf die verschiedenartige Empfänglichkeit der thierischen Organe","1796","Wissenschaft::Naturwissenschaft"
"5259","Willisen, Friedrich Adolf von (#117394572)","Humbolds Vorlesungen","1828","Wissenschaft::Naturwissenschaft"
"5079","Humboldt, Alexander von (#118554700)","Ueber Grubenwetter und die Verbreitung des Kohlenstoffs in geognostischer Hinsicht","1795","Wissenschaft::Chemie"
"4876","Humboldt, Alexander von (#118554700)","Ueber einige elektro-magnetische Erscheinungen und den verminderten Luftdruck in der Tropen-Gegend des Atlantischen Oceans","1836","Wissenschaft::Physik"
"4662","Humboldt, Alexander von (#118554700)","Beobachtungen über die Stärke und über die Neigung der magnetischen Kräfte, angestellt in Frankreich, der Schweiz, Italien und Deutschland","1808","Wissenschaft::Physik"
