"token","author","title","year","textClass"
"182228","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1830","Wissenschaft::Naturgeschichte"
"182167","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: mit zwey Kupfertafeln","1832","Wissenschaft::Naturgeschichte"
"180615","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1825","Wissenschaft::Naturgeschichte"
"178203","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1821","Wissenschaft::Naturgeschichte"
"175325","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1815","Wissenschaft::Naturgeschichte"
"175305","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1816","Wissenschaft::Naturgeschichte"
"174373","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1814","Wissenschaft::Naturgeschichte"
"168463","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1807","Wissenschaft::Naturgeschichte"
"166447","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: nebst zwey Kupfertafeln","1803","Wissenschaft::Naturgeschichte"
"160165","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1799","Wissenschaft::Naturgeschichte"
"159485","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: nebst zwey Kupfertafeln","1797","Wissenschaft::Naturgeschichte"
"159187","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: mit Kupfern","1791","Wissenschaft::Naturgeschichte"
"152723","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: mit Kupfern","1788","Wissenschaft::Naturgeschichte"
"125630","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1782","Wissenschaft::Naturgeschichte"
"100600","Blumenbach, Johann Friedrich (#116208503)","Geschichte und Beschreibung der Knochen des menschlichen Körpers: Mit Kupfern","1807","Wissenschaft::Anatomie"
"100209","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte: mit Kupfern","1779","Wissenschaft::Naturgeschichte"
"93990","Blumenbach, Johann Friedrich (#116208503)","Geschichte und Beschreibung der Knochen des menschlichen Körpers","1786","Wissenschaft::Anatomie"
"86358","Blumenbach, Johann Friedrich (#116208503)","Anfangsgründe der Physiologie: mit Kupfern","1789","Wissenschaft::Physiologie"
"86238","Blumenbach, Johann Friedrich (#116208503)","Anfangsgründe der Physiologie: mit Kupfern","1795","Wissenschaft::Physiologie"
"81853","Blumenbach, Johann Friedrich (#116208503)","Handbuch der vergleichenden Anatomie: Mit 8 Kupfern","1824","Wissenschaft::Anatomie"
"77015","Blumenbach, Johann Friedrich (#116208503)","Handbuch der vergleichenden Anatomie: Mit 8 Kupfern","1815","Wissenschaft::Anatomie"
"73494","Blumenbach, Johann Friedrich (#116208503)","Handbuch der vergleichenden Anatomie: mit Kupfern","1805","Wissenschaft::Anatomie"
"71994","Blumenbach, Johann Friedrich (#116208503)","Über die natürlichen Verschiedenheiten im Menschengeschlechte: Nach der dritten Ausgabe und den Erinnerungen des Verfassers übersetzt, und mit einigen Zusätzen und erläuternden Anmerkungen herausgegeben","1798",""
"26524","Blumenbach, Johann Friedrich (#116208503)","Handbuch der Naturgeschichte","1780","Wissenschaft::Naturgeschichte"
"24177","Blumenbach, Johann Friedrich (#116208503)","Kleine Schriften zur vergleichenden Physiologie und Anatomie und zur Naturgeschichte gehörig: Mit einem Kupfer","1804","Wissenschaft::Naturgeschichte"
"23240","Blumenbach, Johann Friedrich (#116208503)","Kleine Schriften zur vergleichenden Physiologie und Anatomie und Naturgeschichte gehörig: mit einer Kupfertafel","1800","Wissenschaft::Naturgeschichte"
"16471","Blumenbach, Johann Friedrich (#116208503)","Beyträge zur Naturgeschichte","1806","Wissenschaft::Naturgeschichte"
"16188","Blumenbach, Johann Friedrich (#116208503)","Beyträge zur Naturgeschichte","1811","Wissenschaft::Naturgeschichte"
"16008","Blumenbach, Johann Friedrich (#116208503)","Beyträge zur Naturgeschichte","1790","Wissenschaft::Naturgeschichte"
"13868","Blumenbach, Johann Friedrich (#116208503)","Über den Bildungstrieb","1791","Wissenschaft::Biologie"
"13404","Blumenbach, Johann Friedrich (#116208503)","Über den Bildungstrieb","1789","Wissenschaft::Biologie"
"10790","Blumenbach, Johann Friedrich (#116208503)","Über den Bildungstrieb und das Zeugungsgeschäfte","1781","Wissenschaft::Biologie"
"3791","Blumenbach, Johann Friedrich (#116208503)","Zwo Abhandlungen über die Nutritionskraft: welche von der Kayserlichen Academie der Wißenschaften in St. Petersburg den Preis getheilt erhalten haben. Die erste von Herrn Hofrath Blumenbach, die zwote von Herrn"
