"token","author","title","year","textClass"
"349825","","Nachrichten aus der Brüder-Gemeine, 1877.","1877","Zeitung"
"338140","","Nachrichten aus der Brüder-Gemeine, 1878.","1878","Zeitung"
"319278","","Nachrichten aus der Brüder-Gemeine, 1862.","1862","Zeitung"
"315480","","Nachrichten aus der Brüder-Gemeine, 1873.","1873","Zeitung"
"315080","","Nachrichten aus der Brüder-Gemeine, 1870.","1870","Zeitung"
"313561","","Nachrichten aus der Brüder-Gemeine, 1882.","1882","Zeitung"
"313135","","Nachrichten aus der Brüder-Gemeine, 1883.","1883","Zeitung"
"310880","","Nachrichten aus der Brüder-Gemeine, 1881.","1881","Zeitung"
"309716","","Nachrichten aus der Brüder-Gemeine, 1856.","1856","Zeitung"
"308703","","Nachrichten aus der Brüder-Gemeine, 1868.","1868","Zeitung"
"308303","","Nachrichten aus der Brüder-Gemeine, 1874.","1874","Zeitung"
"307181","","Nachrichten aus der Brüder-Gemeine, 1863.","1863","Zeitung"
"305901","","Nachrichten aus der Brüder-Gemeine, 1871.","1871","Zeitung"
"303224","","Nachrichten aus der Brüder-Gemeine, 1858.","1858","Zeitung"
"302394","","Nachrichten aus der Brüder-Gemeine, 1886.","1886","Zeitung"
"300902","","Nachrichten aus der Brüder-Gemeine, 1867.","1867","Zeitung"
"300673","","Nachrichten aus der Brüder-Gemeine, 1876.","1876","Zeitung"
"300222","","Nachrichten aus der Brüder-Gemeine, 1887.","1887","Zeitung"
"299603","","Nachrichten aus der Brüder-Gemeine, 1852.","1852","Zeitung"
"297240","","Nachrichten aus der Brüder-Gemeine, 1872.","1872","Zeitung"
"297059","","Nachrichten aus der Brüder-Gemeine, 1861.","1861","Zeitung"
"293285","","Nachrichten aus der Brüder-Gemeine, 1859.","1859","Zeitung"
"293130","","Nachrichten aus der Brüder-Gemeine, 1880.","1880","Zeitung"
"292829","","Nachrichten aus der Brüder-Gemeine, 1884.","1884","Zeitung"
"289862","","Nachrichten aus der Brüder-Gemeine, 1860.","1860","Zeitung"
"289762","","Nachrichten aus der Brüder-Gemeine, 1850.","1850","Zeitung"
"289648","","Nachrichten aus der Brüder-Gemeine, 1889.","1889","Zeitung"
"289092","","Nachrichten aus der Brüder-Gemeine, 1855.","1855","Zeitung"
"277514","","Nachrichten aus der Brüder-Gemeine, 1857.","1857","Zeitung"
"269003","","Nachrichten aus der Brüder-Gemeine, 1891.","1891","Zeitung"
"264915","","Nachrichten aus der Brüder-Gemeine, 1869.","1869","Zeitung"
"259473","","Nachrichten aus der Brüder-Gemeine, 1875.","1875","Zeitung"
"258156","","Nachrichten aus der Brüder-Gemeine, 1890.","1890","Zeitung"
"255781","","Nachrichten aus der Brüder-Gemeine, 1888.","1888","Zeitung"
"246758","","Nachrichten aus der Brüder-Gemeine, 1879.","1879","Zeitung"
"236658","","Nachrichten aus der Brüder-Gemeine, 1865.","1865","Zeitung"
"229778","","Nachrichten aus der Brüder-Gemeine, 1854.","1854","Zeitung"
