"token","author","title","year","textClass"
"68740","Wilhelmine von L.","","1859","Gebrauchsliteratur::Brief"
"42018","Georg S.","","1863","Gebrauchsliteratur::Brief"
"34732","Katharina S.","","1925","Gebrauchsliteratur::Brief"
"28972","Georg S.","","1891","Gebrauchsliteratur::Brief"
"19030","Hans A.","","1917","Gebrauchsliteratur::Brief"
"17607","Johann Baptist H.","","1893","Gebrauchsliteratur::Brief"
"16745","Maria W.","","1882","Gebrauchsliteratur::Brief"
"15095","Mathilde Q.","","1860","Gebrauchsliteratur::Brief"
"14920","Georg S.","","1913","Gebrauchsliteratur::Brief"
"14048","Pius G.","","1893","Gebrauchsliteratur::Brief"
"13931","Gustav H.","","1851","Gebrauchsliteratur::Brief"
"13486","Anna K.","","1852","Gebrauchsliteratur::Brief"
"13230","Urban S.","","1922","Gebrauchsliteratur::Brief"
"13101","Creszenz H.","","1886","Gebrauchsliteratur::Brief"
"13022","Philipp P.","","1890","Gebrauchsliteratur::Brief"
"12920","Pius G.","","1883","Gebrauchsliteratur::Brief"
"12006","Johann Baptist H.","","1894","Gebrauchsliteratur::Brief"
"11854","Josefine/Josephine S.","","1906","Gebrauchsliteratur::Brief"
"11161","Georg S.","","1916","Gebrauchsliteratur::Brief"
"11095","Johanna R.","","1860","Gebrauchsliteratur::Brief"
"10004","Hans A.","","1919","Gebrauchsliteratur::Brief"
"9948","Josefine/Josephine S.","","1908","Gebrauchsliteratur::Brief"
"9938","Pius G.","","1892","Gebrauchsliteratur::Brief"
"9344","Maria E.","","1897","Gebrauchsliteratur::Brief"
"9273","Gustav H.","","1852","Gebrauchsliteratur::Brief"
"8754","Josef B.","","1876","Gebrauchsliteratur::Brief"
"8735","Karl D.","","1911","Gebrauchsliteratur::Brief"
"8701","Johann W.","","1914","Gebrauchsliteratur::Brief"
"8634","Pius G.","","1890","Gebrauchsliteratur::Brief"
"8141","Johanna R.","","1861","Gebrauchsliteratur::Brief"
"7829","Friedrich S.","","1895","Gebrauchsliteratur::Brief"
"7634","Jakob S.","","1890","Gebrauchsliteratur::Brief"
"7506","Pius G.","","1894","Gebrauchsliteratur::Brief"
"7294","Wilhelm Richard W.","","1928","Gebrauchsliteratur::Brief"
"7097","Maria Z.","","1890","Gebrauchsliteratur::Brief"
"6384","Jakob F.","","1924","Gebrauchsliteratur::Brief"
"6382","Friedrich Wilhelm S.","","1936","Gebrauchsliteratur::Brief"
"6354","Julius E.","","1884","Gebrauchsliteratur::Brief"
"6066","Friedrich M.","","1864","Gebrauchsliteratur::Brief"
"5975","Augusta von H.","","1855","Gebrauchsliteratur::Brief"
"5950","Hermann O.","","1882","Gebrauchsliteratur::Brief"
"5923","Mathilda Franziska W.","","1902","Gebrauchsliteratur::Brief"
"5848","Creszenz F.","","1885","Gebrauchsliteratur::Brief"
"5822","Magdalena R.","","1936","Gebrauchsliteratur::Brief"
"5746","Erna N.","","1926","Gebrauchsliteratur::Brief"
"5745","Hermann O.","","1883","Gebrauchsliteratur::Brief"
"5745","Ludwig F.","","1929","Gebrauchsliteratur::Brief"
"5738","Adolf A.","","1927","Gebrauchsliteratur::Brief"
"5638","Gustav L.","","1911","Gebrauchsliteratur::Brief"
"5573","Jakob S.","","1893","Gebrauchsliteratur::Brief"
"5563","Wilhelm N.","","1882","Gebrauchsliteratur::Brief"
"5495","Karl M.","","1852","Gebrauchsliteratur::Brief"
"5436","Karl Franz Heinrich J.","","1922","Gebrauchsliteratur::Brief"
"5397","Josef B.","","1877","Gebrauchsliteratur::Brief"
"5374","Hermann O.","","1884","Gebrauchsliteratur::Brief"
"5374","Josefa M.","","1910","Gebrauchsliteratur::Brief"
"5207","Jakob S.","","1894","Gebrauchsliteratur::Brief"
"5165","Johann Baptist H.","","1898","Gebrauchsliteratur::Brief"
"5155","Viktorie B.","","1890","Gebrauchsliteratur::Brief"
"5147","Pius G.","","1891","Gebrauchsliteratur::Brief"
"5068","Walter A.","","1926","Gebrauchsliteratur::Brief"
"5030","Urban S.","","1923","Gebrauchsliteratur::Brief"
"4951","Mathilda Franziska W.","","1903","Gebrauchsliteratur::Brief"
"4938","Xaver K.","","1865","Gebrauchsliteratur::Brief"
"4695","Anna S.","","1913","Gebrauchsliteratur::Brief"
"4634","Carl Graf von B.","","1853","Gebrauchsliteratur::Brief"
"4599","Lorenz H.","","1875","Gebrauchsliteratur::Brief"
"4592","Sebastian A.","","1855","Gebrauchsliteratur::Brief"
"4431","Wilhelm H.","","1863","Gebrauchsliteratur::Brief"
"4425","Friedrich von M.","","1856","Gebrauchsliteratur::Brief"
"4423","Heinrich F.","","1917","Gebrauchsliteratur::Brief"
"4407","Karl S.","","1928","Gebrauchsliteratur::Brief"
