"token","author","title","year","textClass"
"18226","Hc","Dienstag, 2. Mai","1848","Zeitung"
"18126","Hc","Donnerstag, 4. Mai","1848","Zeitung"
"18009","Hc","Montag, 1. Mai","1848","Zeitung"
"17912","Hc","Mittwoch, 3. Mai","1848","Zeitung"
"17823","Hc","Freitag, 5. Mai","1848","Zeitung"
"16327","Hc","Am Mittewochen, den 14. Oktober","1812","Zeitung"
"15949","Hc","Am Mittewochen, den 7. Oktober","1812","Zeitung"
"15864","Hc","Am Mittewochen, den 21. Oktober","1812","Zeitung"
"12144","Hc","Num. 16, 28. Januar 1801","1801","Zeitung"
"11734","Hc","Am Mittewochen, den 18. Februar","1801","Zeitung"
"11734","Hc","Num. 20, 4. Februar 1801","1801","Zeitung"
"11429","Hc","Am Sonnabend, den 14. Februar","1801","Zeitung"
"11260","Hc","Num. 18, 31. Januar 1801","1801","Zeitung"
"8524","Hc","Num. 98, 20. Junii 1789","1789","Zeitung"
"8521","Hc","Num. 118, 25. Julii 1789","1789","Zeitung"
"8515","Hc","Num. 105, 2. Julii 1771","1771","Zeitung"
"8357","Hc","Num. 102, 27. Junii 1789","1789","Zeitung"
"8330","Hc","Num. 116, 22. Julii 1789","1789","Zeitung"
"8249","Hc","Num. 122, 1. August 1789","1789","Zeitung"
"8153","Hc","Am Dienstage, den 12 Juni","1832","Zeitung"
"8145","Hc","Num. 72, 5. May 1790","1790","Zeitung"
"8075","Hc","Num. 100, 24. Junii 1789","1789","Zeitung"
"8056","Hc","Num. 66, 24. April 1790","1790","Zeitung"
"8036","Hc","Num. 70, 1. May 1790","1790","Zeitung"
"7961","Hc","Num. 64, 21. April 1790","1790","Zeitung"
"7893","Hc","Am Mittewochen, den 13 Juni","1832","Zeitung"
"7885","Hc","Num. 120, 29. Julii 1789","1789","Zeitung"
"7884","Hc","Am Dienstage, den 10. Februar","1801","Zeitung"
"7874","Hc","Am Donnerstage, den 7 Juni","1832","Zeitung"
"7844","Hc","Am Freitage, den 1 Juni","1832","Zeitung"
"7822","Hc","Am Freitage, den 8 Juni","1832","Zeitung"
"7794","Hc","Am Mittewochen, den 6 Juni","1832","Zeitung"
"7706","Hc","Am Montage, den 4 Juni","1832","Zeitung"
"7687","Hc","Num. 62, 14. April 1790","1790","Zeitung"
"7564","Hc","Am Freytage, den 5. November","1813","Zeitung"
"7532","Hc","Am Dienstage, den 5 Juni","1832","Zeitung"
"7525","Hc","Am Mittewochen, den 20. Oktober","1813","Zeitung"
"7474","Hc","Am Mittewochen, den 3. November","1813","Zeitung"
"7460","Hc","Am Freytage, den 29. Oktober","1813","Zeitung"
"7409","Hc","Am Sonnabend, den 2 Juni","1832","Zeitung"
"7356","Hc","Am Mittewochen, den 27. Oktober","1813","Zeitung"
"7340","Hc","Am Mittewochen, den 28. Oktober","1812","Zeitung"
"7316","Hc","Am Dienstage, den 13. Oktober","1812","Zeitung"
"7304","Hc","Am Mittewochen, den 22. Oktober","1813","Zeitung"
"7259","Hc","Am Sonnabend, den 30. Oktober","1813","Zeitung"
"7225","Hc","Am Sonnabend, den 3. Oktober","1812","Zeitung"
"7205","Hc","Am Sonnabend, den 24. Oktober","1812","Zeitung"
"7195","Hc","Am Sonnabend, den 9 Juni","1832","Zeitung"
"7191","Hc","Am Sonntage, den 24. Oktober","1813","Zeitung"
"7165","Hc","Am Dienſtage, den 2 November.","1813","Zeitung"
"7163","Hc","Am Sonnabend, den 23. Oktober","1813","Zeitung"
"7154","Hc","Am Freytage, den 9. Oktober","1812","Zeitung"
"7138","Hc","Am Freytage, den 16. Oktober","1812","Zeitung"
"7114","Hc","Am Dienstage, den 27. Oktober","1812","Zeitung"
"6956","Hc","Am Dienstage, den 20. Oktober","1812","Zeitung"
"6936","Hc","Am Freytage, den 23. Oktober","1812","Zeitung"
"6869","Hc","Am Sonnabend, den 10. Oktober","1812","Zeitung"
"6813","Hc","Am Sonnabend, den 17. Oktober","1812","Zeitung"
"6118","Hc","Num. 112, 15. Julii 1789","1789","Zeitung"
"6079","Hc","XXXI. Stück/ am Dienstage/ den 12. August","1721","Zeitung"
"6069","Hc","Num. 114, 18. Julii 1789","1789","Zeitung"
"6032","Hc","Num. 123, 2. August 1771","1771","Zeitung"
"6007","Hc","Num. 115, 21. Julii 1789","1789","Zeitung"
"5967","Hc","Num. 113, 17. Julii 1789","1789","Zeitung"
"5935","Hc","Num. 121, 31. Julii 1789","1789","Zeitung"
"5921","Hc","Num. 136, 26. August 1789","1789","Zeitung"
"5916","Hc","Num. 101, 26. Junii 1789","1789","Zeitung"
"5864","Hc","Num. 119, 28. Julii 1789","1789","Zeitung"
"5855","Hc","Num. 137, 28. August 1789","1789","Zeitung"
"5803","Hc","Num. 111, 14. Julii 1789","1789","Zeitung"
"5792","Hc","Num. 69, 30. April 1790","1790","Zeitung"
"5738","Hc","Num. 93, 12. Junii 1789","1789","Zeitung"
"5707","Hc","Num. 131, 18. August 1789","1789","Zeitung"
"5703","Hc","Num. 133, 21. August 1789","1789","Zeitung"
"5618","Hc","Num. 63, 20. April 1790","1790","Zeitung"
"5617","Hc","Am Dienstag, den 17. Februar","1801","Zeitung"
"5604","Hc","Num. 139, 1. September 1789","1789","Zeitung"
"5535","Hc","Num. 11, 20. Januar 1801","1801","Zeitung"
"5516","Hc","Am Freytage, den 6. Februar","1801","Zeitung"
"5507","Hc","Num. 97, 19. Junii 1789","1789","Zeitung"
"5488","Hc","Num. 71, 4. May 1790","1790","Zeitung"
"5447","Hc","Num. 117, 24. Julii 1789","1789","Zeitung"
"5440","Hc","Num. 9, 16. Januar 1801","1801","Zeitung"
"5419","Hc","Num. 99, 23. Junii 1789","1789","Zeitung"
"5398","Hc","Num. 13, 23. Januar 1801","1801","Zeitung"
"5368","Hc","Am Freitag, den 13. Februar","1801","Zeitung"
"5355","Hc","Num. 156, 1. October 1751","1751","Zeitung"
"5339","Hc","Num. 67, 27. April 1790","1790","Zeitung"
"5194","Hc","Num. 153, 24. September 1751","1751","Zeitung"
"5003","Hc","Num. 160, 8. October 1751","1751","Zeitung"
"4419","Hc","XL. Stück/ am Freytage/ den 12. Sept.","1721","Zeitung"
"4349","Hc","XXXIX. Stück/ am Dienstage/ den 9. Sept.","1721","Zeitung"
"4338","Hc","XXXVI. Stück/ am Freytage/ den 29. August","1721","Zeitung"
"4326","Hc","XXXIV. Stück/ am Freytage/ den 22. August","1721","Zeitung"
"4322","Hc","XXXV. Stück/ am Dienstage/ den 26. August","1721","Zeitung"
"4311","Hc","XXXIII. Stück/ am Dienstage/ den 19. August","1721","Zeitung"
"4272","Hc","XXX. Stück/ am Freytage/ den 8. August","1721","Zeitung"
"4209","Hc","XXXVII. Stück/ am Dienstage/ den 2. Sept.","1721","Zeitung"
"4159","Hc","XXXII. Stück/ am Freytage/ den 15. August","1721","Zeitung"
"4074","Hc","XXXVIII. Stück/ am Freytage/ den 5. Sept.","1721","Zeitung"
"4023","Hc","Num. 122, 31. Julii 1771","1771","Zeitung"
"3992","Hc","Num. 117, 23. Julii 1771","1771","Zeitung"
"3921","Hc","Num. 121, 30. Julii 1771","1771","Zeitung"
"3896","Hc","Num. 111, 12. Julii 1771","1771","Zeitung"
"3894","Hc","Num. 125, 6. August 1771","1771","Zeitung"
"3894","Hc","Num. 126, 7. August 1771","1771","Zeitung"
"3886","Hc","Num. 115, 19. Julii 1771","1771","Zeitung"
"3886","Hc","Num. 118, 24. Julii 1771","1771","Zeitung"
"3870","Hc","Num. 120, 27. Julii 1771","1771","Zeitung"
"3869","Hc","Num. 110, 10. Julii 1771","1771","Zeitung"
"3859","Hc","Num. 114, 17. Julii 1771","1771","Zeitung"
"3819","Hc","Num. 109, 9. Julii 1771","1771","Zeitung"
"3799","Hc","Num. 119, 26. Julii 1771","1771","Zeitung"
"3792","Hc","Num. 112, 13. Julii 1771","1771","Zeitung"
