"token","author","title","year","textClass"
"388881","unknown","Lexikon der Kunst - B","1987","Wissenschaft"
"386335","unknown","Lexikon der Kunst - A","1987","Wissenschaft"
"338457","Neutsch, Erik","Spur der Steine","1964","Belletristik:Roman"
"235286","Klix, Friedhart","Information und Verhalten","1971","Wissenschaft:Psychologie"
"228774","Grahneis, Heinz / Horn, Karlwilhelm (Hg.)","Taschenbuch der Hygiene","1967","Gebrauchsliteratur:Wissenschaft"
"223999","Reimann, Brigitte","Franziska Linkerhand","1974","Belletristik:Roman"
"222517","unknown","Lexikon der Kunst - G","1989","Wissenschaft"
"221801","unknown","Lexikon der Kunst - F","1989","Wissenschaft"
"212396","Bloch, Ernst","Das Prinzip Hoffnung Band 2","1955","Wissenschaft"
"208466","Morgner, Irmtraud","Leben und Abenteuer der Trobadora Beatriz nach Zeugnissen ihrer Spielfrau Laura","1974","Belletristik"
"206970","Bloch, Ernst","Das Prinzip Hoffnung Band 3","1956","Wissenschaft"
"206339","Noll, Dieter","Die Abenteuer des Werner Holt","1960","Belletristik:Roman"
"204303","Marchwitza, Hans","Roheisen","1955","Belletristik"
"198805","unknown","Lexikon der Kunst - D","1989","Wissenschaft"
"194050","Strittmatter, Erwin","Der Laden","1983","Belletristik"
"190720","Bloch, Ernst","Das Prinzip Hoffnung Band 1","1954","Wissenschaft"
"183608","Noll, Dieter","Die Abenteuer des Werner Holt","1963","Belletristik:Roman"
"175300","Johnson, Uwe","Jahrestage","1970","Belletristik:Roman"
"173814","Autorenkoll. u. d. Leitung von J[ohannes] Reinhold","Ratgeber für den Feingemüsebau im Freiland","1962","Gebrauchsliteratur:Wissenschaft"
"167442","unknown","Lexikon der Kunst - E","1989","Wissenschaft"
"164898","Kant, Hermann","Die Aula","1965","Belletristik:Roman"
"146996","Apitz, Bruno","Nackt unter Wölfen","1958","Belletristik"
"142295","Kölling, Alfred","Fachbuch für Kellner","1956","Gebrauchsliteratur"
"134663","Schuder, Rosemarie","Agrippa und Das Schiff der Zufriedenen","1977","Belletristik:Roman"
"115377","Sandermann, Wilhelm","Grundlagen der Chemie und chemischen Technologie des Holzes","1956","Wissenschaft"
"113068","Autorenkollektiv","Chemie der Pseudohalogenide","1978","Wissenschaft:Chemie"
"111826","Morgner, Irmtraud","Rumba auf einen Herbst","1965","Belletristik:Roman"
"103680","Smolka, Karl","Gutes Benehmen von A - Z","1957","Gebrauchsliteratur:Umgangsformen"
"102325","unknown","Wir kochen gut","1963","Gebrauchsliteratur"
"102196","Brumme, Gertrud-Marie","Muttersprache im Kindergarten","1966","Gebrauchsliteratur"
"100998","unknown","Lexikon der Kunst - C","1987","Wissenschaft"
"99932","Becker, Jurek","Jakob der Lügner","1969","Belletristik:Roman"
"96488","Heym, Stefan","Ahasver","1981","Belletristik:Roman"
"94143","Borrmann, Günter / Mügge, Hans","Gerätturnen in der Schule","1957","Gebrauchsliteratur"
"92818","Loest, Erich","Völkerschlachtdenkmal","1984","Belletristik"
"90092","Fries, Fritz Rudolf","Der Weg nach Oobliadooh","1966","Belletristik:Roman"
"81593","Wolf, Christa","Der geteilte Himmel","1963","Belletristik:Erzählung"
"74887","Bobrowski, Johannes","Levins Mühle","1964","Belletristik:Roman"
"72800","Scherzer, Landolf","Der Erste","1988","Belletristik"
"70176","Dänhardt, Reimar","Fein oder nicht fein","1968","Gebrauchsliteratur:Umgangsformen"
"64405","Fühmann, Franz","Das Judenauto","1962","Belletristik:Roman"
"63369","Holtz-Baumert, Gerhard","Alfons Zitterbacke","1958","Belletristik:Kinderliteratur"
"55927","unknown","Lexikon der Kunst - C","1989","Wissenschaft"
"55766","Hein, Christoph","Der fremde Freund","1982","Belletristik"
"52058","Hermlin, Stephan","Die Zeit der Gemeinsamkeit","1951","Belletristik:Erzählung"
"51963","Klemperer, Victor","[Tagebuch] 1951","1951","Gebrauchsliteratur:Belletristik"
"49601","Klemperer, Victor","[Tagebuch] 1952","1952","Gebrauchsliteratur:Belletristik"
"49462","Klemperer, Victor","[Tagebuch] 1950","1950","Gebrauchsliteratur:Belletristik"
"48610","Zeiske, Wolfgang","Angle richtig!","1959","Gebrauchsliteratur"
"47422","Braun, Anne / Nell, Edith","Man muß sich nur zu helfen wissen","1971","Gebrauchsliteratur"
"42100","Frost, Margarete","Aus bunten Fäden","1986","Gebrauchsliteratur"
"41052","Klemperer, Victor","[Tagebuch] 1949","1949","Gebrauchsliteratur:Belletristik"
"41039","Uhse, Bodo","Die Patrioten","1953","Wissenschaft:Belletristik"
"31972","Janusch, Antonie","Unser Schneiderbuch","1965","Wissenschaft"
"31159","Klemperer, Victor","[Tagebuch] 1953","1953","Gebrauchsliteratur:Belletristik"
"30598","Klemperer, Victor","[Tagebuch] 1957","1957","Gebrauchsliteratur:Belletristik"
"29143","Neumann, Heinz / Scharfe, Adolf","Gekonnt serviert","1967","Gebrauchsliteratur"
"28845","Klemperer, Victor","[Tagebuch] 1956","1956","Gebrauchsliteratur:Belletristik"
"28421","Strittmatter, Erwin","Pony Pedro","1959","Belletristik"
"26743","Klemperer, Victor","[Tagebuch] 1955","1955","Gebrauchsliteratur:Belletristik"
"26433","Klemperer, Victor","[Tagebuch] 1958","1958","Gebrauchsliteratur:Belletristik"
"26213","Bierwisch, Manfred","Strukturalismus","1966","Wissenschaft"
"24468","Hermlin, Stephan","Abendlicht","1979","Belletristik"
