"token","author","title","year","textClass"
"1996273","Lohenstein, Daniel Caspar (#118574078)","Großmütiger Feldherr Arminius","1689","Belletristik::Roman"
"1232224","Ulrich, Anton (#118503472)","Die durchleuchtige Syrerin Aramena","1669","Belletristik::Roman"
"1229896","Buchholtz, Andreas Heinrich (#118516744)","Des Christliche Teutschen Herkules [...] Wunder-Geschichte","1659","Belletristik::Roman"
"1098975","Grässe, Johann Georg Theodor (#104076534)","Sagenbuch des Preußischen Staats","1868","Belletristik::Sagen"
"892965","Gutzkow, Karl (#118543830)","Der Zauberer von Rom","1858","Belletristik::Roman"
"886951","Gutzkow, Karl (#118543830)","Die Ritter vom Geiste","1850","Belletristik::Roman"
"716111","Tolstoj, Lev Nikolaevic (#11864291X)","Krieg und Frieden","1868","Belletristik::Roman"
"716098","Freytag, Gustav (#118535455)","Die Ahnen","1872","Belletristik::Roman"
"633647","Goedsche, Herrmann (Sir John Retcliffe; #118599879)","Sebastopol","1855","Belletristik::Roman"
"589606","Schnabel, Johann Gottfried (#118609475)","Wunderliche Fata einiger See-Fahrer","1731","Belletristik::Roman"
"568250","Auerbach, Berthold (#11865103X)","Schwarzwälder Dorfgeschichten","1843","Belletristik::Prosa"
"527199","Lewald, Fanny (#118572393)","Von Geschlecht zu Geschlecht","1864","Belletristik::Roman"
"501639","Reuter, Fritz (#118599976)","Olle Kamellen","1862","Belletristik::Roman; Autobiographie"
"474256","Hippel, Theodor Gottlieb (#11855137X)","Lebensläufe nach aufsteigender Linie","1778","Belletristik::Roman"
"472558","Schöppner, Alexander (#11915403X)","Sagenbuch der Bayerischen Lande","1852","Belletristik::Sagen"
"470315","Cervantes Saavedra, Miguel (#11851993X)","Don Quijote","1605","Belletristik::Roman"
"459494","Stifter, Adelbert (#118618156)","Studien","1844","Belletristik::Prosa"
"458624","Tolstoj, Lev Nikolaevic (#11864291X)","Anna Karenina","1875","Belletristik::Roman"
"452091","Fielding, Henry (#118532960)","Tom Jones. Die Geschichte eines Findlings","1749","Belletristik::Roman"
"442618","Hackländer, Friedrich Wilhelm (#118699962)","Europäisches Sklavenleben","1854","Belletristik::Roman"
"438873","Strackerjan, Ludwig (#117305553)","Aberglaube und Sagen aus dem Herzogtum Oldenburg","1867","Belletristik::Sagen"
"432937","Rosegger, Peter (#118602667)","Waldheimat. Erzählungen aus der Jugendzeit","1877","Belletristik::Prosa"
"426015","Bechstein, Ludwig (#118654292)","Deutsches Sagenbuch","1853","Belletristik::Sagen"
"395183","Gottsched, Johann Christoph (#118541013)","Versuch einer critischen Dichtkunst","1730","Gebrauchsliteratur::Theorie"
"385494","Alexis, Willibald (#118648071)","Ruhe ist die erste Bürgerpflicht","1852","Belletristik::Roman"
"383746","Stockfleth, Maria Katharina (#118010832)","Die Kunst- und Tugend-gezierte Macarie","1669","Belletristik::Roman"
"383618","Bartsch, Karl (#118506943)","Sagen, Märchen und Gebräuche aus Meklenburg","1879","Belletristik::Märchen; Sagen"
