"token","author","title","year","textClass"
"526894","Spengler, Oswald (#118616110)","Der Untergang des Abendlandes","1918","Philosophie"
"431136","Lange, Friedrich Albert (#118569333)","Geschichte des Materialismus und Kritik seiner Bedeutung in der Gegenwart","1873","Philosophie"
"379714","Windelband, Wilhelm (#118633635)","Lehrbuch der Geschichte der Philosophie","1892","Philosophie"
"361550","Deussen, Paul (#118671707; ed.)","Sechzig Upanishads des Veda","1897","Philosophie"
"302918","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1956","Philosophie"
"255646","Kierkegaard, Søren (#118562002)","Entweder-Oder","1885","Philosophie"
"253518","Buwei, Lü (#119012251)","Chunqiu: Frühling und Herbst des Lü Bu We","1928","Philosophie"
"249948","Simmel, Georg (#118614436)","Philosophie des Geldes","1900","Philosophie"
"236791","Marx, Karl (https://d-nb.info/gnd/118578537); Engels, Friedrich (#118530380)","Werke","1847","Philosophie"
"231157","Natorp, Paul (#118586548)","Platos Ideenlehre","1903","Philosophie"
"222983","Darwin, Charles (#118523813)","Über die Entstehung der Arten durch natürliche Zuchtwahl oder die Erhaltung der begünstigten Rassen im Kampfe um's Dasein","1876","Philosophie"
"221437","Leibniz, Gottfried Wilhelm (#118571249)","Neue Abhandlungen über den menschlichen Verstand","1873","Philosophie"
"201719","(#118594893)","Sämtliche Werke","1855","Philosophie"
"201656","Hegel, Georg Wilhelm Friedrich (#118547739)","Werke","1807","Philosophie"
"197839","Leibniz, Gottfried Wilhelm (#118571249)","Die Theodicee","1879","Philosophie"
"194060","Bayle, Pierre (#11850777X)","Verschiedene einem Doktor der Sorbonne mitgeteilte Gedanken über den Kometen, der im Monat Dezember 1680 erschienen ist","1871","Philosophie"
"191414","Dilthey, Wilhelm (#118525727)","Gesammelte Schriften","1883","Philosophie"
"191377","(#118976761)","Das Kāmasūtram des Vātsyāyana","1897","Philosophie"
"190058","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1878","Philosophie"
"189251","Rosenkranz, Karl (#118602721)","Von Magdeburg bis Königsberg","1873","Philosophie"
"186815","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1906","Philosophie"
"182502","Mach, Ernst (#118575767)","Erkenntnis und Irrtum","1905","Philosophie"
"155405","Spengler, Oswald (#118616110)","Frühzeit der Weltgeschichte","1966","Philosophie"
"151534","Schmidt, Joh. Kaspar (Max Stirner; #118618261)","Der Einzige und sein Eigentum","1845","Philosophie"
"151291","Böhme, Jakob (#118512579)","Aurora oder Morgenröte im Aufgang","1656","Philosophie"
"148689","Feuerbach, Ludwig (#118532758)","Geschichte der neuern Philosophie von Bacon bis Spinoza","1833","Philosophie"
"142217","(#118650130)","Metaphysik","1907","Philosophie"
"136954","Descartes, René (#118524844)","René Descartes' philosophische Werke","1870","Philosophie"
"134857","Deussen, Paul (#118671707)","Mein Leben","1922","Philosophie"
"131961","Ruben, Walter (#118603531)","Die Nyaya-Sutras","1928","Philosophie"
"130139","Schelling, Friedrich Wilhelm Joseph (#118607057)","Werke","1797","Philosophie"
"128994","Kant, Immanuel (#118559796)","Werke in zwölf Bänden","1790","Philosophie"
"128257","Fichte, Johann Gottlieb (#118532847)","Johann Gottlieb Fichtes sämmtliche Werke","1794","Philosophie"
"127991","Wilhelm, Richard (#118771876; ed.)","Li Gi","1930","Philosophie"
"127406","Hüttner, Joh. Christ. (#117053759; ed.)","Hindu Gesetzbuch oder Menu's Verordnungen nach Cullucas Erläuterung, ein Inbegriff des Indischen Systems religiöser und bürgerlicher Pflichten","1797","Philosophie"
"125086","Marx, Karl (https://d-nb.info/gnd/118578537); Engels, Friedrich (#118530380)","Werke","1925","Philosophie"
"123202","Montaigne, Michel (#118583573)","Essais [Versuche] nebst des Verfassers Leben","1754","Philosophie"
"122252","Haeckel, Ernst (#118544381)","Gemeinverständliche Werke","1899","Philosophie"
"120799","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1893","Philosophie"
"120288","Steiner, Rudolf (#118617443)","Mein Lebensgang","1925","Philosophie"
"120024","Strauß, Victor (#118755897; ed.)","Schī-kīng","1880","Philosophie"
"118973","Wilhelm, Richard (#118771876; ed.)","I Ging","1924","Philosophie"
"116806","Spengler, Oswald (#118616110)","Reden und Aufsätze","1937","Philosophie"
"114645","Spengler, Oswald (#118616110)","Politische Schriften","1932","Philosophie"
"113570","Hegel, Georg Wilhelm Friedrich (#118547739)","Werke","1802","Philosophie"
"109534","Schelling, Friedrich Wilhelm Joseph (#118607057)","Werke","1800","Philosophie"
"109154","Kant, Immanuel (#118559796)","Werke in zwölf Bänden","1797","Philosophie"
"108710","Fichte, Johann Gottlieb (#118532847)","Johann Gottlieb Fichtes sämmtliche Werke","1793","Philosophie"
"108223","(#118616242)","Theologisch-politische Abhandlung","1870","Philosophie"
"107747","(#118650130)","Nikomachische Ethik","1909","Philosophie"
"107435","Dsï, Mong (#118933558)","Die Lehrgespräche des Meisters Meng K'o","1916","Philosophie"
"106953","Kant, Immanuel (#118559796)","Werke in zwölf Bänden","1793","Philosophie"
"106278","Pascal, Blaise (#118591843)","Pascal's Gedanken über die Religion und einige andere Gegenstände","1840","Philosophie"
"104224","(#118616242)","Ethik","1888","Philosophie"
"102330","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1883","Philosophie"
"101135","Schelling, Friedrich Wilhelm Joseph (#118607057)","Werke","1856","Philosophie"
"98550","Garbe, Richard (#116420073)","Die Sâṃkhya-Philosophie","1894","Philosophie"
"97587","Hegel, Georg Wilhelm Friedrich (#118547739)","Werke","1820","Philosophie"
"97464","Fichte, Johann Gottlieb (#118532847)","Johann Gottlieb Fichtes sämmtliche Werke","1800","Philosophie"
"95485","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1881","Philosophie"
"95238","Bacon, Franz (#118505696); Kirchmann, J. H. (#118841726)","Franz Bacon's Neues Organon","1870","Philosophie"
"92547","Mauthner, Fritz (#118579304)","Erinnerungen","1918","Philosophie"
"91561","Nietzsche, Friedrich (#118587943)","Werke in drei Bänden","1882","Philosophie"
"90747","Hillebrandt, Alfred (#118976451; ed.)","Upanishaden","1958","Philosophie"
"90600","Marx, Karl (https://d-nb.info/gnd/118578537); Engels, Friedrich (#118530380)","Werke","1932","Philosophie"
