"token","author","title","year","textClass"
"476034","Passarge, Siegfried (#11605199X)","Die Die Kalahari: Versuch einer physisch-geographischen Darstellung der Sandfelder des südwestafrikanischen Beckens","1904","Wissenschaft::Geographie"
"448506","Stuhlmann, Franz","Mit Emin Pascha ins Herz von Afrika. Ein Reisebericht","1894","Gebrauchsliteratur::Reiseliteratur"
"408605","Krämer, Augustin (#116354496)","Die Die Samoa-Inseln: Entwurf einer Monographie mit besonderer Berücksichtigung Deutsch-Samoas","1902","Wissenschaft::Ethnologie"
"379883","Bornhardt, Wilhelm (#116255595)","Zur Oberflächengestaltung und Geologie Deutsch-Ostafrikas: Ergebnisse der von dem Bergassessor W. Bornhardt in den Jahren 1895 - 1897 in Ostafrika unternommenen Reisen ; Mit 27 Tafeln in Lithographie und Lichtdruck und zah"
"378839","Src/Dsdk","Das überseeische Deutschland: die deutschen Kolonien in Wort und Bild","1903","Gebrauchsliteratur::Soziologie"
"337064","Src/Dsdk","Handbuch des Deutschtums im Auslande: nebst einem Adressbuch der deutschen Auslandsschulen","1906","Gebrauchsliteratur::Handbuch"
"323120","Neuhauss, Richard (#117551244)","Deutsch-Neu-Guinea: in 3 Bänden","1911","Gebrauchsliteratur::Ethnologie"
"314204","Krämer, Augustin (#116354496)","Die Die Die Samoa-Inseln: Entwurf einer Monographie mit besonderer Berücksichtigung Deutsch-Samoas","1903","Wissenschaft::Ethnographie"
"301822","Src/Dsdk","Ergebnisse der Südsee-Expedition 1908 - 1910","1917","Wissenschaft::Ethnologie"
"300072","Src/Dsdk","Ergebnisse der Südsee-Expedition 1908 - 1910","1919","Wissenschaft::Ethnologie"
"288623","Src/Dsdk","Gesetzsammlung für das Schutzgebiet Deutsch-Neu-Guinea","1912","Gebrauchsliteratur::Amtsdruckschrift"
"278285","Src/Dsdk","Die Die Landes-Gesetzgebung des deutsch-ostafrikanischen Schutzgebiets","1911","Gebrauchsliteratur::Recht"
"274571","Stanley, Henry Morton (#118616781)","Wie ich Livingstone fand","1885","Gebrauchsliteratur::Reiseliteratur"
"270036","Src/Dsdk","Deutschland und seine Kolonien im Jahre 1896: amtlicher Bericht über die Erste Deutsche Kolonial-Ausstellung","1897","Gebrauchsliteratur::Bericht"
"269832","Oppel, Alwin (#117135747; ed.)","Die Baumwolle nach Geschichte, Anbau, Verarbeitung und Handel, sowie nach ihrer Stellung im Volksleben und in der Staatswirtschaft","1902","Gebrauchsliteratur::Landwirtschaft"
