"token","author","title","year","textClass"
"2082625","Brümmer, Franz (#116751460)","Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur Gegenwart","1913","Gebrauchsliteratur::Lexikon"
"1271501","Arnold, Gottfried (#118650386)","Gottfrid Arnolds Fortsetzung und Erläuterung Oder Dritter und Vierdter Theil der unpartheyischen Kirchen- und Ketzer-Historie: Bestehend In Beschreibung der noch übrigen Streitigkeiten im XVIIden Jahrhundert","1700","Wissensch"
"1196809","Brehm, Alfred Edmund (#118514814)","Illustrirtes Thierleben: Eine allgemeine Kunde des Thierreichs","1869","Wissenschaft::Zoologie"
"892961","Lohenstein, Daniel Casper von (#118574078)","Großmüthiger Feldherr Arminius oder Herrmann: Als Ein tapfferer Beschirmer der deutschen Freyheit/ Nebst seiner Durchlauchtigen Thußnelda Jn einer sinnreichen Staats- Liebes- und Helden-Geschichte Dem Vaterlan"
"812712","Lange, Joachim (#118569376)","Apostolisches Licht und Recht : oder Richtige und erbauliche Erklärung Der sämtlichen Apostolischen Briefe","1729","Gebrauchsliteratur::Erbauungsliteratur"
"783299","Lange, Joachim (#118569376)","Des Apostolischen Lichts und Rechts: Oder Der richtigen und erbaulichen Erklärung Uber die sämtlichen Apostolischen Briefe","1729","Gebrauchsliteratur::Erbauungsliteratur"
"770661","Francisci, Erasmus (#118534629)","Das eröffnete Lust-Haus Der Ober- und Nieder-Welt: Bey Mehrmaliger Unterredung/ Vor dißmal so wol/ Von der Natur/ Welt/ Himmel/ und dem Gestirn/ insgemein/ Als auch insonderheit von dem Mond/ der Sonnen/ und allen übrige"
"758202","Mattioli , Pietro Andrea (#118731912)","Theatrvm Botanicvm, Das ist: Neu Vollkommenes Kräuter-Buch: Worinnen Allerhand Erdgewächse der Bäumen/ Stauden und Kräutern/ welche in allen vier Theilen der Welt/ sonderlich aber in Europa herfür kommen/ neben i"
"682395","Hohberg, Wolf Helmhard von (#118774735)","Georgica Curiosa: Oder: Des auf alle in Teutschland übliche Land- und Haus-Wirthschafften gerichteten/ hin und wieder mit vielen untermengten raren Erfindungen und Experimenten versehenen/ auch einer mercklichen An"
"676089","Brehm, Alfred Edmund (#118514814)","Illustrirtes Thierleben: Eine allgemeine Kunde des Thierreichs","1867","Wissenschaft::Zoologie"
"665416","Ludovici, Carl Günther (#117281387)","Eröffnete Akademie der Kaufleute, oder vollständiges Kaufmanns-Lexicon: woraus sämmtliche Handlungen und Gewerbe, mit allen ihren Vortheilen, und der Art, sie zu treiben, erlernet werden können; Und worinnen alle S"
"650622","Hohberg, Wolf Helmhard von (#118774735)","Georgica Curiosa: Das ist: Umständlicher Bericht und klarer Unterricht von dem adelichen Land- und Feld-Leben","1682","Gebrauchsliteratur::Hausväterliteratur"
"631039","Bucholtz, Andreas Heinrich (#118516744)","Des Christlichen Teutschen Groß-Fürsten Herkules Und der Böhmischen Königlichen Fräulein Valjska Wunder-Geschichte: Jn acht Bücher und zween Teile abgefasset Und allen Gott- und Tugendliebenden Seelen zur Chri"
"628454","Brehm, Alfred Edmund (#118514814)","Illustrirtes Thierleben: Eine allgemeine Kunde des Thierreichs","1866","Wissenschaft::Zoologie"
"602624","Bucholtz, Andreas Heinrich (#118516744)","Des Christlich: Teutschen Königes Herkules und der Teutschen Königin Valiska Wunder-Geschicht","1660","Belletristik::Prosa"
