"token","author","title","year","textClass"
"99838","Humboldt, Alexander von","Voyage d’Espagne aux Canaries et à Cumaná Obs. astron. de Juin à Oct. 1799 [= Tagebücher der Amerikanischen Reise, Bd. I]","1799","Wissenschaft"
"79485","Humboldt, Alexander von","Fragmente des Sibirischen Reise-Journals 1829 [= Tagebücher der Russisch-Sibirischen Reise I]","1829","Wissenschaft"
"25428","Humboldt, Alexander von","Voyage de Paris en Italie avec Gay Lussac 1805 [= Tagebuch der Italien-Reise]","1805","Wissenschaft"
"16735","Humboldt, Alexander von","Isle de Cube. Antilles en général","0","Wissenschaft"
"16602","Ehrenberg, Christian Gottfried","Tagebuch der russisch-sibirischen Reise 1829","0","Wissenschaft"
"13607","Humboldt, Alexander von","Dresden, Wien, Salzburg [= Tagebuch der Reise 1797/98]","1797","Wissenschaft"
"9465","Humboldt, Alexander von","De Paris à Toulon[,] 1798. [= Tagebuch der Frankreich-Reise]","1798","Wissenschaft"
"9435","Schomburgk, Sir Robert Hermann","Robert Schomburgk an Alexander von Humboldt","1844","Wissenschaft"
"6666","Humboldt, Alexander von","Parallelismus der Schichten (1799)","1799","Wissenschaft"
"5665","Schomburgk, Sir Robert Hermann","Robert Hermann Schomburgk an Alexander von Humboldt","1838","Wissenschaft"
"5119","Hooker, Joseph Dalton","Joseph Dalton Hooker an Alexander von Humboldt","1849","Wissenschaft"
"4886","Humboldt, Alexander von","Alexander von Humboldt an Karl Ludwig Willdenow","1801","Wissenschaft"
"4453","Hooker, Joseph Dalton","Joseph Dalton Hooker an Alexander von Humboldt","1850","Wissenschaft"
"4287","Hooker, Joseph Dalton","Joseph Dalton Hooker an Alexander von Humboldt","1848","Wissenschaft"
"4072","Humboldt, Alexander von","Alexander von Humboldt an Samuel Thomas Soemmerring","1796","Wissenschaft"
"3613","Schlagintweit, Adolph von","Adolph Schlagintweit an Alexander von Humboldt","1855","Wissenschaft"
"3110","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1848","Wissenschaft"
"3093","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1836","Wissenschaft"
"3015","Hooker, Joseph Dalton","Joseph Dalton Hooker an Alexander von Humboldt","1847","Wissenschaft"
"2734","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1848","Wissenschaft"
"2719","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1844","Wissenschaft"
"2595","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1856","Wissenschaft"
"2564","Humboldt, Alexander von","Von Valencia nach Madrid. [= Tagebuch der Spanien-Reise 1799]","1799","Wissenschaft"
"2544","Humboldt, Alexander von","Alexander von Humboldt an Joseph Dalton Hooker","1854","Wissenschaft"
"2531","Schomburgk, Moritz Richard; Schomburgk, Otto Alfred","Otto Schomburgk und Richard Schomburgk an Alexander von Humboldt","1849","Wissenschaft"
"2505","Humboldt, Alexander von","Alexander von Humboldt an Joseph Dalton Hooker","1848","Wissenschaft"
"2489","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1833","Wissenschaft"
"2485","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1857","Wissenschaft"
"2466","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1839","Wissenschaft"
"2437","Humboldt, Alexander von","Alexander von Humboldt an Karl Ludwig Willdenow","1799","Wissenschaft"
"2280","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1849","Wissenschaft"
"2242","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1831","Wissenschaft"
"2150","Kunth, Carl Sigismund","Carl Sigismund Kunth an Alexander von Humboldt","1849","Wissenschaft"
"2135","Schlagintweit, Adolph von","Adolph Schlagintweit an Alexander von Humboldt","1854","Wissenschaft"
"2074","Humboldt, Alexander von","Reise. 1790. England. [= Tagebuch der England-Reise]","1790","Wissenschaft"
"2070","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1850","Wissenschaft"
"2061","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1858","Wissenschaft"
"1962","Schlagintweit, Robert, Freiherr von","Robert Schlagintweit an Alexander von Humboldt","1858","Wissenschaft"
"1913","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1829","Wissenschaft"
"1822","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1838","Wissenschaft"
"1814","Humboldt, Alexander von","Alexander von Humboldt an Adolphe de Polier","1829","Wissenschaft"
"1810","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1845","Wissenschaft"
"1740","Humboldt, Alexander von","Alexander von Humboldt an Carl Sigismund Kunth","1849","Wissenschaft"
"1735","Hooker, Joseph Dalton","Joseph Dalton Hooker an Alexander von Humboldt","1854","Wissenschaft"
"1719","Humboldt, Alexander von","Alexander von Humboldt an Miguel Maria Lisboa","1854","Wissenschaft"
"1718","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1826","Wissenschaft"
"1684","Schomburgk, Sir Robert Hermann","Robert Hermann Schomburgk an Alexander von Humboldt","1858","Wissenschaft"
"1672","Humboldt, Alexander von","Alexander von Humboldt an Samuel Thomas Soemmerring","1791","Wissenschaft"
"1648","Schomburgk, Sir Robert Hermann","Robert Hermann Schomburgk an Alexander von Humboldt","1839","Wissenschaft"
"1622","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1854","Wissenschaft"
"1537","Humboldt, Alexander von","Alexander von Humboldt an Samuel Thomas Soemmerring","1795","Wissenschaft"
"1526","Schlagintweit-Sakünlünski, Hermann","Hermann Schlagintweit an Alexander von Humboldt","1856","Wissenschaft"
"1515","Schomburgk, Otto Alfred","Otto Schomburgk an Alexander von Humboldt","1854","Wissenschaft"
"1453","Gottfried Ehrenberg, Christian","Christian Gottfried Ehrenberg an Alexander von Humboldt","1833","Wissenschaft"
"1405","Humboldt, Alexander von","Antike Marmorarten nach Zoega’s Bestimmungen[,] bearbeitet in Rom im Sommer 1805","1805","Wissenschaft"
"1402","Humboldt, Alexander von","Alexander von Humboldt an Joseph Dalton Hooker","1851","Wissenschaft"
"1390","Humboldt, Alexander von","Alexander von Humboldt an Christian Gottfried Ehrenberg","1849","Wissenschaft"
