"count","key1","key2","key3","key4"
"20197","Beyer, Conrad (#116159464)","Deutsche Poetik: Theoretisch-praktisches Handbuch der deutschen Dichtkunst nach den Anforderungen der Gegenwart","1882","Wissenschaft::Literaturwissenschaft"
"15384","Beyer, Conrad (#116159464)","Deutsche Poetik: Theoretisch-praktisches Handbuch der deutschen Dichtkunst nach den Anforderungen der Gegenwart","1883","Wissenschaft::Literaturwissenschaft"
"12958","Seidler, Herbert (#118760645)","Die Dichtung: Wesen, Form, Dasein","1959","Wissenschaft::Literaturwissenschaft"
"12542","Petersen, Julius (#118790544)","Die Wissenschaft von der Dichtung: System und Methodenlehre der Literaturwissenschaft","1944","Wissenschaft::Literaturwissenschaft"
"9962","Clodius, Christian August Heinrich (#104074361)","Entwurf einer systematischen Poetik: nebst Collectaneen zu ihrer Ausführung","1804","Wissenschaft::Literaturwissenschaft"
"8952","Baumgart, Hermann (#116090960)","Handbuch der Poetik: Eine kritisch-historische Darstellung der Theorie der Dichtkunst","1887","Wissenschaft::Literaturwissenschaft"
"6737","Gottschall, Rudolph (#119449072)","Poetik: Die Dichtkunst und ihre Technik","1858","Wissenschaft::Literaturwissenschaft"
"6715","Beyer, Conrad (#116159464)","Deutsche Poetik: Theoretisch-praktisches Handbuch der deutschen Dichtkunst nach den Anforderungen der Gegenwart","1884","Wissenschaft::Literaturwissenschaft"
"6079","Wackernagel, Wilhelm (#118805851)","Poetik Rhetorik und Stilistik: Academische Vorlesungen von","1873","Wissenschaft::Literaturwissenschaft"
"5576","Pölitz, Karl Heinrich Ludwig (#11624870X)","Das Gesamtgebiet der teutschen Sprache: nach Prosa, Dichtkunst und Beredsamkeit theoretisch und praktisch dargestellt","1825","Wissenschaft::Literaturwissenschaft"
"4949","Lehmann, Rudolf (#118779281)","Deutsche Poetik","1908","Wissenschaft::Literaturwissenschaft"
"4755","Wolff, Eugen (#117450022)","Poetik: Die Gesetze der Poesie in ihrer geschichtlichen Entwicklung: Ein Grundriß","1899","Wissenschaft::Literaturwissenschaft"
"4468","Müller-Freienfels, Richard (#118785249)","Poetik","1914","Wissenschaft::Literaturwissenschaft"
"3952","Vischer, Friedrich Theodor (#11862721X)","Aesthetik: oder Wissenschaft des Schönen","1857","Wissenschaft::Literaturwissenschaft"
"3808","Scherer, Wilhelm (#118607200)","Poetik","1888","Wissenschaft::Literaturwissenschaft"
"3574","Wehrli, Max (#118766090)","Allgemeine Literaturwissenschaft","1969","Wissenschaft::Literaturwissenschaft"
"3483","Engel, Johann Jakob (#11868468X)","Schriften: Elfter Band: Poetik","1806","Wissenschaft::Literaturwissenschaft"
"3240","Staiger, Emil (#118752588)","Grundbegriffe der Poetik","1946","Wissenschaft::Literaturwissenschaft"
"3239","Kleinpaul, Ernst (#12185096X)","Die Lehre von den Formen und Gattungen der deutschen Dichtkunst: Für höhere Lehranstalten, so wie zum Selbstunterricht","1843","Wissenschaft::Literaturwissenschaft"
"2342","Borinski, Karl (#116253037)","Deutsche Poetik","1895","Wissenschaft::Literaturwissenschaft"
"2221","Dilthey, Wilhelm (#118525727)","Die Einbildungskraft des Dichters: Bausteine für eine Poetik","1887","Wissenschaft::Literaturwissenschaft"
"1128","Körner, Josef (#116297271)","Einführung in die Poetik","1949","Wissenschaft::Literaturwissenschaft"
