"count","key1","key2","key3","key4"
"494","Herkner, H.","Das Frauenstudium der Nationalökonomie","1899","Gebrauchsliteratur::Gesellschaft"
"466","Ohr, Julie","Die Studentin der Gegenwart","1909","Gebrauchsliteratur::Gesellschaft"
"358","Franzos, Karl Emil","Weibliche Studenten","1881","Gebrauchsliteratur::Gesellschaft"
"325","Lehmann, Henni (#139656804)","Das Kunst-Studium der Frauen: Ein Vortrag von Henni Lehmann","1913","Gebrauchsliteratur::Gesellschaft"
"294","Martin, Marie","Soll die christliche Frau studieren?","1901","Gebrauchsliteratur::Gesellschaft"
"252","Kettler, Hedwig Johanna (#116616318)","Gleiche Bildung für Mann und Frau!: Vortrag, gehalten im „Deutschen Frauenverein Reform“ in Berlin am 24. April 1891.","1891","Gebrauchsliteratur::Gesellschaft"
"243","Buchner, Hans","Hygiene und Frauengymnasium","1900","Gebrauchsliteratur::Gesellschaft"
"238","Kuhnow, Anna (#123011469)","Gedanken und Erfahrungen über Frauenbildung und Frauenberuf","1896","Gebrauchsliteratur::Gesellschaft"
"238","Weber, Mathilde","Ein Besuch in Zürich bei den weiblichen Studierenden der Medizin: Ein Beitrag zur Klärung der Frage des Frauenstudiums","1888","Gebrauchsliteratur::Gesellschaft"
"229","Krukenberg-Conze, Elsbeth (#117550949)","Ueber Studium und Universitätsleben der Frauen","1903","Gebrauchsliteratur::Gesellschaft"
"216","Schubert-Feder, Cläre (#117116262)","Das Leben der Studentinnen in Zürich","1894","Gebrauchsliteratur::Gesellschaft"
"215","Buchner, Wilhelm (#116822317)","Das ärztliche Studium der Frauen","1892","Gebrauchsliteratur::Gesellschaft"
"204","Schleinitz, Alexandra von","Offener Brief einer Studirenden an die Gegner der „Studentinnen“ unter den Studenten und Berichtigung dieses Schreibens","1872","Gebrauchsliteratur::Gesellschaft"
"174","von Bistram, Ottilie","Frauenbildung – Frauenstudium","1900","Gebrauchsliteratur::Gesellschaft"
"155","Binder, Sidonie (#1110913125)","Zum Wiesbadener Ärztetag","1898","Gebrauchsliteratur::Gesellschaft"
"129","Weber, Mathilde (#119148633)","Über den heutigen Stand der Ärztinnenfrage","1892","Gebrauchsliteratur::Gesellschaft"
"126","Lange, Helene (#11856935X)","Der vierte Weg zur Universität","1909","Gebrauchsliteratur::Gesellschaft"
"41","Ichenhaeuser, Eliza (#117614580)","Das Universitätsstudium der Frauen","1895","Gebrauchsliteratur::Gesellschaft"
"33","Ichenhaeuser, Eliza (#117614580)","Das preußische Abgeordnetenhaus und das Frauenstudium","1897","Gebrauchsliteratur::Gesellschaft"
