"token","author","title","year","textClass"
"1132374","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 8 (1860)","1860","Zeitung"
"1130934","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.); Keil, Ernst (#11750727X; ed.)","Jg. 10 (1862)","1862","Zeitung"
"1129994","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 9 (1861)","1861","Zeitung"
"1123735","Keil, Ernst (#11750727X; ed.)","Jg. 12 (1864)","1864","Zeitung"
"1111001","Keil, Ernst (#11750727X; ed.)","Jg. 11 (1863)","1863","Zeitung"
"1103127","Keil, Ernst (#11750727X; ed.)","Jg. 13 (1865)","1865","Zeitung"
"1096825","Keil, Ernst (#11750727X; ed.)","Jg. 15 (1867)","1867","Zeitung"
"1096780","Keil, Ernst (#11750727X; ed.)","Jg. 14 (1866)","1866","Zeitung"
"1034975","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 7 (1859)","1859","Zeitung"
"984209","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 6 (1858)","1858","Zeitung"
"935414","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 5 (1857)","1857","Zeitung"
"930568","Stolle, Ferdinand (#117286877; ed.); Diezmann, August (#10114606X; ed.)","Jg. 4 (1856)","1856","Zeitung"
"898029","Stolle, Ferdinand (#117286877; ed.)","Jg. 3 (1855)","1855","Zeitung"
"855538","Stolle, Ferdinand (#117286877; ed.)","Jg. 2 (1854)","1854","Zeitung"
"516098","Stolle, Ferdinand (#117286877; ed.)","Jg. 1 (1853)","1853","Zeitung"
