"token","author","title","year","textClass"
"1453368","Hederich, Benjamin","Reales Schul-Lexicon ; Andere und vermehrtere Aufl.","1731","Gebrauchsliteratur::Schulbuch"
"1433992","Lübker, Friedrich","Reallexikon des classischen Alterthums für Gymnasien ; 5., verb. Aufl.","1877","Gebrauchsliteratur::Schulbuch"
"904033","Weber, Georg","Lehrbuch der Weltgeschichte. [Bd. 2] ; Bd. 2","1883","Gebrauchsliteratur::Schulbuch"
"865992","Völter, Daniel","Lehrbuch der Geographie. Besonderer Theil ; 2 ; 2., verm. und verb. Aufl.","1856","Gebrauchsliteratur::Schulbuch"
"808468","Schneider, Karl Friedrich Robert","Handbuch der Erdbeschreibung und Staatenkunde in ihrer Verbindung mit Natur- und Menschenkunde. Die europäisch-germanischen Staaten ; Theil 1, Abth. 2, 1, A","1857","Gebrauchsliteratur::Schulbuch"
"773348","Weber, Georg","Lehrbuch der Weltgeschichte. [Bd. 1] ; Bd. 1 ; 19. Aufl., durchgängig rev. und bis zum J. 1882 fortgef.","1883","Gebrauchsliteratur::Schulbuch"
"652251","Schacht, Theodor:Rohmeder, Wilhelm","Theodor Schachts Lehrbuch der Geographie alter und neuer Zeit ; von Wilhelm Rohmeder","1874","Gebrauchsliteratur::Schulbuch"
"632924","Clauß, O.:Friedrich, E.:Reinhard, Rudolf:Seydlitz, Ernst von","E. v. Seydlitz'sche Geographie. Handbuch der Geographie ; [Ausg. C] ; 26. Bearb. d. ""Großen Seydlitz""","1914","Gebrauchsliteratur::Schulbuch"
"597185","Bone, Heinrich","Deutsches Lesebuch. Handbuch für den deutschen Unterricht in den oberen Klassen der Gymnasien ; Theil 2 ; 9. Aufl.","1872","Gebrauchsliteratur::Schulbuch"
"583732","","Vaterländisches Lesebuch für die Evangelische Volksschule Norddeutschlands","1868","Gebrauchsliteratur::Schulbuch"
"525793","Preuß, August Eduard:Vetter, J. A.","Preußischer Kinderfreund ; 214., d. neuen umgearb. Ausg. 100., berichtigte Aufl.","1876","Gebrauchsliteratur::Schulbuch"
"517644","Schwarz, Eduard:Behr, Friedrich:Frohnmeyer, Immanuel","Lesebuch der Erdkunde","1884","Gebrauchsliteratur::Schulbuch"
"493980","Cannabich, Johann Günther Friedrich","Hülfsbuch beim Unterrichte in der Geographie. [Bd. 2] ; Bd. 2","1837","Gebrauchsliteratur::Schulbuch"
"482319","Meurer, Hubert","Lehrbuch der Geographie","1867","Gebrauchsliteratur::Schulbuch"
"482170","Cannabich, Johann Günther Friedrich","Hülfsbuch beim Unterrichte in der Geographie. [Bd. 1] ; Bd. 1","1835","Gebrauchsliteratur::Schulbuch"
"480241","Weber, Georg","Lehrbuch der Weltgeschichte. [Bd. 2] ; Bd. 2 ; 6., verb. und bis auf die Gegenwart fortgef. Aufl.","1854","Gebrauchsliteratur::Schulbuch"
"476770","Meineke, Wilhelm","Lehrbuch der Geographie ; 2., umgearb. u. verm. Aufl.","1827","Gebrauchsliteratur::Schulbuch"
"468615","Richter, Julius Wilhelm Otto","Das Deutsche Reich ; 2. Aufl., wohlfeile Ausg.","1900","Gebrauchsliteratur::Schulbuch"
"462634","Mager, Karl","Deutsches Elementarwerk. [Band 3, [Schülerband]] ; Band 3, [Schülerband] ; Sechste Auflage","1876","Gebrauchsliteratur::Schulbuch"
"452755","Schumann, Gottlob:Heinze, Wilhelm","Lehrbuch der deutschen Geschichte für Seminare und höhere Lehranstalten","1878","Gebrauchsliteratur::Schulbuch"
"450147","Förster, Eduard","Deutsches Lesebuch für Lehrer- und Lehrerinnen-Seminarien ; Neunte Auflage","1906","Gebrauchsliteratur::Schulbuch"
"446507","Roon, Albrecht von","Grundzüge der Erd-, Völker- und Staatenkunde. Die Völker und Staaten der Erde ; II","1845","Gebrauchsliteratur::Schulbuch"
"440120","Zeiß, Gustav","Lehrbuch der allgemeinen Geschichte vom Standpunkte der Kultur. Geschichte der neueren und neuesten Zeit ; Theil 3","1858","Gebrauchsliteratur::Schulbuch"
"436297","","Deutsches Lesebuch für höhere Lehranstalten. [Abteilung 2 = Für die mittleren Klassen, [Schülerband]] ; Abteilung 2 = Für die mittleren Klassen, [Schülerband] ; Zehnte, vermehrte und verbreitete Auflage","1895","Gebrauchsliteratur::Schulbuch"
"434922","Blanc, Ludwig Gottfried:Lange, Henry","Handbuch des Wissenswürdigsten aus der Natur und Geschichte der Erde und ihrer Bewohner. Skandinavisches Reich, Deutschland, Oesterreich, Italien, Griechenland, Russisches Reich ; Bd. 2","1869","Gebrauchsliteratur::Schulb"
"433285","Weber, Georg","Lehrbuch der Weltgeschichte ; 2., unveränd. Abdr.","1847","Gebrauchsliteratur::Schulbuch"
"431641","Förster, Eduard","Deutsches Lesebuch für höhere Lehranstalten","1878","Gebrauchsliteratur::Schulbuch"
"430408","","Deutsches Lesebuch für Lehrer- und Lehrerinnen-Seminare ; Zweite, verbesserte Auflage","1887","Gebrauchsliteratur::Schulbuch"
"429183","Schacht, Theodor","Lehrbuch der Geographie alter und neuer Zeit ; 6. Aufl., verb. u. theilweis neu gearb., nebst 3 Kt. u. 3 Figurentaf.","1855","Gebrauchsliteratur::Schulbuch"
"426941","Stein, Christian Gottfried Daniel","Handbuch der Geographie und Statistik. [Bd. 3] ; Bd. 3 ; 4., verm. u. verb. Aufl.","1820","Gebrauchsliteratur::Schulbuch"
"419463","Hahn, Ludwig","Geschichte des preußischen Vaterlandes ; 21. Aufl., fortgef. bis zur Gegenwart","1888","Gebrauchsliteratur::Schulbuch"
"418397","Böttiger, Carl Wilhelm","Geschichte des deutschen Volkes und des deutschen Landes ; 2., durchgängig verb. Aufl.","1839","Gebrauchsliteratur::Schulbuch"
"417471","Besta, Johann:Wimmers, Peter:Weinstock, Adolf","Deutsches Lese- und Bildungsbuch für katholische Schullehrer-Seminare ; Siebente Auflage","1895","Gebrauchsliteratur::Schulbuch"
"417041","Kröger, Johann Christoph","Lehr- und Lesebuch für Schule und Haus. Für die dritte Bildungsstufe ; Theil 3","1855","Gebrauchsliteratur::Schulbuch"
"415771","Abicht, Karl:Dittmar, Heinrich","Die Weltgeschichte ; verb. u. bis auf d. neueste Zeit fortgef. von K[arl] Abicht","1881","Gebrauchsliteratur::Schulbuch"
