"token","author","title","year","textClass"
"342583","","Sozialgesetzbuch (SGB) Fünftes Buch (V) - Gesetzliche Krankenversicherung - (Artikel 1 des Gesetzes v. 20. Dezember 1988, BGBl. I S. 2477)","2025","Gebrauchsliteratur:Verordnung"
"234335","","Bürgerliches Gesetzbuch","2025","Gebrauchsliteratur:Verordnung"
"168912","","Einkommensteuergesetz","2025","Gebrauchsliteratur:Verordnung"
"152198","","Kapitalanlagegesetzbuch","2024","Gebrauchsliteratur:Verordnung"
"128967","","Gesetz über die Elektrizitäts- und Gasversorgung","2005","Gebrauchsliteratur:Verordnung"
"120451","","Handelsgesetzbuch","2025","Gebrauchsliteratur:Verordnung"
"119710","","Gesetz über das Kreditwesen","2025","Gebrauchsliteratur:Verordnung"
"109711","","Zivilprozessordnung","2019","Gebrauchsliteratur:Verordnung"
"103213","","Gesetz über die Beaufsichtigung der Versicherungsunternehmen","2024","Gebrauchsliteratur:Verordnung"
"101467","","Strafprozeßordnung","2019","Gebrauchsliteratur:Verordnung"
"101344","","Sozialgesetzbuch (SGB) Sechstes Buch (VI) - Gesetzliche Rentenversicherung - (Artikel 1 des Gesetzes v. 18. Dezember 1989, BGBl. I S. 2261, 1990 I S. 1337)","2024","Gebrauchsliteratur:Verordnung"
"97991","","Abgabenordnung","2025","Gebrauchsliteratur:Verordnung"
"94513","","Sozialgesetzbuch (SGB) - Elftes Buch (XI) - Soziale Pflegeversicherung (Artikel 1 des Gesetzes vom 26. Mai 1994, BGBl. I S. 1014)","2024","Gebrauchsliteratur:Verordnung"
"88729","","Gesetz über den Aufenthalt, die Erwerbstätigkeit und die Integration von Ausländern im Bundesgebiet","2023","Gebrauchsliteratur:Verordnung"
"87916","","Gesetz über den Wertpapierhandel","2025","Gebrauchsliteratur:Verordnung"
"80175","","Strafgesetzbuch","2024","Gebrauchsliteratur:Verordnung"
"80068","","Telekommunikationsgesetz","2025","Gebrauchsliteratur:Verordnung"
"77464","","Gesetz über den Verkehr mit Arzneimitteln","2024","Gebrauchsliteratur:Verordnung"
"75003","","Aktiengesetz","2024","Gebrauchsliteratur:Verordnung"
"70933","","Gesetz zur Sanierung und Abwicklung von Instituten und Finanzgruppen","2014","Gebrauchsliteratur:Verordnung"
"70860","","Baugesetzbuch","2025","Gebrauchsliteratur:Verordnung"
"69551","","Binnenschifffahrtsstraßen-Ordnung","2025","Gebrauchsliteratur:Verordnung"
"69246","","Sozialgesetzbuch (SGB) Drittes Buch (III) - Arbeitsförderung - (Artikel 1 des Gesetzes vom 24. März 1997, BGBl. I S. 594)","2025","Gebrauchsliteratur:Verordnung"
"63715","","Gesetz für den Ausbau erneuerbarer Energien","2025","Gebrauchsliteratur:Verordnung"
"62176","","Gesetz gegen Wettbewerbsbeschränkungen","2004","Gebrauchsliteratur:Verordnung"
"61160","","Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung","2024","Gebrauchsliteratur:Verordnung"
"57836","","Gesetz über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit","2019","Gebrauchsliteratur:Verordnung"
"56295","","Umsatzsteuergesetz","2024","Gebrauchsliteratur:Verordnung"
"54406","","Sozialgesetzbuch Neuntes Buch – Rehabilitation und Teilhabe von Menschen mit Behinderungen – (Artikel 1 des Gesetzes v. 23. Dezember 2016, BGBl. I S. 3234)","2023","Gebrauchsliteratur:Verordnung"
"54223","","Sozialgesetzbuch (SGB) Viertes Buch (IV) - Gemeinsame Vorschriften für die Sozialversicherung - (Artikel I des Gesetzes vom 23. Dezember 1976, BGBl. I S. 3845)","2025","Gebrauchsliteratur:Verordnung"
"49877","","Verordnung zum Schutz vor der schädlichen Wirkung ionisierender Strahlung","2024","Gebrauchsliteratur:Verordnung"
"47955","","Straßenverkehrs-Zulassungs-Ordnung","2024","Gebrauchsliteratur:Verordnung"
"47633","","Insolvenzordnung","2024","Gebrauchsliteratur:Verordnung"
"46921","","Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)","2024","Gebrauchsliteratur:Verordnung"
"44709","","Gesetz zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen","2023","Gebrauchsliteratur:Verordnung"
"44462","","Gesetz über die internationale Rechtshilfe in Strafsachen","2024","Gebrauchsliteratur:Verordnung"
"44448","","Gewerbeordnung","2024","Gebrauchsliteratur:Verordnung"
"43742","","Verordnung zur Durchführung des Energiesteuergesetzes","2024","Gebrauchsliteratur:Verordnung"
"42510","","Gesetz über das Aufspüren von Gewinnen aus schweren Straftaten","2019","Gebrauchsliteratur:Verordnung"
"42084","","Straßenverkehrsgesetz","2019","Gebrauchsliteratur:Verordnung"
"41194","","Gesetz über die Versorgung der früheren Soldatinnen und früheren Soldaten und ihrer Hinterbliebenen","2025","Gebrauchsliteratur:Verordnung"
"40964","","Verordnung über die Zulassung von Fahrzeugen zum Straßenverkehr","2024","Gebrauchsliteratur:Verordnung"
"40935","","Umwandlungsgesetz","2024","Gebrauchsliteratur:Verordnung"
"40569","","Sozialgesetzbuch (SGB) Zwölftes Buch (XII) - Sozialhilfe - (Artikel 1 des Gesetzes vom 27. Dezember 2003, BGBl. I S. 3022)","2024","Gebrauchsliteratur:Verordnung"
"40087","","Einführungsgesetz zum Bürgerlichen Gesetzbuche","2025","Gebrauchsliteratur:Verordnung"
"40017","","Bundesberggesetz","2024","Gebrauchsliteratur:Verordnung"
"39856","","Gesetz zur wirtschaftlichen Sicherung der Krankenhäuser und zur Regelung der Krankenhauspflegesätze","2025","Gebrauchsliteratur:Verordnung"
"39454","","Gesetz zur Beaufsichtigung von Wertpapierinstituten","2024","Gebrauchsliteratur:Verordnung"
"39020","","Steuerberatungsgesetz","2024","Gebrauchsliteratur:Verordnung"
"38632","","Gesetz über den Lastenausgleich","2024","Gebrauchsliteratur:Verordnung"
"38320","","Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch","2024","Gebrauchsliteratur:Verordnung"
"37005","","Gesetz zum Schutz vor schädlichen Umwelteinwirkungen durch Luftverunreinigungen, Geräusche, Erschütterungen und ähnliche Vorgänge","2025","Gebrauchsliteratur:Verordnung"
"36987","","Sozialgesetzbuch (SGB) - Achtes Buch (VIII) - Kinder- und Jugendhilfe - (Artikel 1 des Gesetzes v. 26. Juni 1990, BGBl. I S. 1163)","2025","Gebrauchsliteratur:Verordnung"
"36943","","Sozialgesetzbuch (SGB) Zweites Buch (II) - Bürgergeld, Grundsicherung für Arbeitsuchende - (Artikel 1 des Gesetzes vom 24. Dezember 2003, BGBl. I S. 2954)","2025","Gebrauchsliteratur:Verordnung"
