"token","author","title","year","textClass"
"2004563","","","1903","Zeitung"
"1834368","","","1904","Zeitung"
"1717524","","","1905","Zeitung"
"1713953","","","1902","Zeitung"
"1606736","","","1906","Zeitung"
"1501459","","","1907","Zeitung"
"1455714","","","1899","Zeitung"
"1432719","","","1900","Zeitung"
"1410005","","","1883","Zeitung"
"1408861","","","1901","Zeitung"
"1388083","","","1908","Zeitung"
"1387914","","","1898","Zeitung"
"1386342","","","1909","Zeitung"
"1355997","","","1911","Zeitung"
"1349650","","","1910","Zeitung"
"1335614","","","1885","Zeitung"
"1330444","","","1897","Zeitung"
"1323699","","","1882","Zeitung"
"1317965","","","1895","Zeitung"
"1314014","","","1884","Zeitung"
"1307988","","","1896","Zeitung"
"1293635","","","1912","Zeitung"
"1288131","","","1893","Zeitung"
"1287246","","","1887","Zeitung"
"1284209","","","1892","Zeitung"
"1275604","","","1888","Zeitung"
"1271165","","","1886","Zeitung"
"1268894","","","1890","Zeitung"
"1245855","","","1891","Zeitung"
"1245788","","","1913","Zeitung"
"1233096","","","1889","Zeitung"
"1134288","","","1881","Zeitung"
"1131663","","","1848","Zeitung"
"1096404","","","1852","Zeitung"
"1081675","","","1851","Zeitung"
"1080414","","","1880","Zeitung"
"1067240","","","1850","Zeitung"
"1058832","","","1853","Zeitung"
"1046945","","","1854","Zeitung"
"1036548","","","1849","Zeitung"
"1030505","","","1879","Zeitung"
"1023684","","","1914","Zeitung"
"1022335","","","1856","Zeitung"
"1021217","","","1855","Zeitung"
"1020573","","","1857","Zeitung"
"1014112","","","1859","Zeitung"
"1012343","","","1858","Zeitung"
"1000275","","","1862","Zeitung"
"994194","","","1863","Zeitung"
"992347","","","1860","Zeitung"
"990386","","","1861","Zeitung"
"988287","","","1865","Zeitung"
"985692","","","1919","Zeitung"
"983640","","","1867","Zeitung"
"983526","","","1864","Zeitung"
"976544","","","1871","Zeitung"
"974166","","","1866","Zeitung"
"970757","","","1845","Zeitung"
"969461","","","1876","Zeitung"
"968351","","","1870","Zeitung"
"967480","","","1877","Zeitung"
"967082","","","1868","Zeitung"
"964063","","","1846","Zeitung"
"963319","","","1873","Zeitung"
"961416","","","1874","Zeitung"
"961304","","","1875","Zeitung"
"960228","","","1872","Zeitung"
"952962","","","1878","Zeitung"
"940028","","","1869","Zeitung"
"853952","","","1847","Zeitung"
"826594","","","1918","Zeitung"
"826413","","","1920","Zeitung"
"819543","","","1921","Zeitung"
"810038","","","1844","Zeitung"
"783587","","","1916","Zeitung"
"776485","","","1915","Zeitung"
"771678","","","1917","Zeitung"
"533255","","","1842","Zeitung"
"362984","","","1841","Zeitung"
