"count","key1","key2","key3","key4"
"150","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Jena, Weimar, Naumburg und Leipzig, 22. August 1798 bis 6. September 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"147","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Johann Adam Lorenz von Oerthel. Hof, 22. Juni bis 19. Juli 1783.","1783","Gebrauchsliteratur::Korrespondenz"
"144","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 20. Januar 1800 bis 6. Februar 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"134","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Erhard Friedrich Vogel. Leipzig, November 1781.","1781","Gebrauchsliteratur::Korrespondenz"
"126","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 12. Dezember 1798 bis 30. Dezember 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"107","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 14. März 1800 bis 28. März 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"106","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Berlin und Weimar, 13. Juni 1800 bis 7. Juli 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"105","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Leipzig, 28. November 1797 bis 29. November 1797.","1797","Gebrauchsliteratur::Korrespondenz"
"103","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Hildburghausen und Weimar, 7. Oktober 1799 bis 17. Oktober 1799.","1799","Gebrauchsliteratur::Korrespondenz"
"103","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Erhard Friedrich Vogel. Leipzig, 20. Februar 1783.","1783","Gebrauchsliteratur::Korrespondenz"
"102","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Berlin, 1800 oder 1801.","1800","Gebrauchsliteratur::Korrespondenz"
"102","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 21. August 1800 bis 31. August 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"91","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 17. Juni 1796 bis 19. Juni 1796.","1796","Gebrauchsliteratur::Korrespondenz"
"89","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 30. November 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"88","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Johann Adam Lorenz von Oerthel. Hof, 17. Juni 1783.","1783","Gebrauchsliteratur::Korrespondenz"
"85","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Johann Gottfried von Herder. Weimar, 23. November 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"84","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Friedrich Heinrich Jacobi. Hildburghausen und Weimar, 4. Oktober 1799 bis 11. November 1799.","1799","Gebrauchsliteratur::Korrespondenz"
"83","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Frankfurt a. M., 6. Juni 1818 bis 8. Juni 1818.","1818","Gebrauchsliteratur::Korrespondenz"
"83","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Heidelberg, 18. Juni 1818 bis 20.Juni 1818.","1818","Gebrauchsliteratur::Korrespondenz"
"83","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Berlin, 10. Dezember 1800 bis 26. Dezember 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"83","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Johann Adam Lorenz von Oerthel. Hof, 1. August 1783 bis 7. August 1783.","1783","Gebrauchsliteratur::Korrespondenz"
"82","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 27. Januar 1799 bis 5. Februar 1799.","1799","Gebrauchsliteratur::Korrespondenz"
"82","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Emma und Caroline Richter. Stuttgart, 20. Juni 1819 bis 22. Juni 1819.","1819","Gebrauchsliteratur::Korrespondenz"
"82","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Friedrich Heinrich Jacobi. Meiningen, 13. August 1802 bis 16. August 1802.","1802","Gebrauchsliteratur::Korrespondenz"
"82","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Johann Adam Lorenz von Oerthel. Hof, 5. Dezember 1784.","1784","Gebrauchsliteratur::Korrespondenz"
"81","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Heidelberg, 23. Juni 1818 bis 28. Juni 1818.","1818","Gebrauchsliteratur::Korrespondenz"
"79","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Friedrich Heinrich Jacobi. Weimar, 21. Februar 1800 bis 6. März 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"78","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Heidelberg, 23. Juli 1817 bis 30. Juli 1817.","1817","Gebrauchsliteratur::Korrespondenz"
"78","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Schwarzenbach a. d. Saale, 13. Februar 94.","1794","Gebrauchsliteratur::Korrespondenz"
"78","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Emanuel. Coburg, 18. Februar 1804 bis 26. Februar 1804.","1804","Gebrauchsliteratur::Korrespondenz"
"78","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Friedrich Heinrich Jacobi. Meiningen und Coburg, 14. Mai 1803 bis 8. September 1803..","1803","Gebrauchsliteratur::Korrespondenz"
"76","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Giebichenstein bei Halle, Halberstadt und Leipzig, 18. Juli 1798 bis 1. August 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"74","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Erhard Friedrich Vogel. Hof, 22. Juli 1783.","1783","Gebrauchsliteratur::Korrespondenz"
"73","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Heidelberg, 18. Juli 1817 bis 20. Juli 1817.","1817","Gebrauchsliteratur::Korrespondenz"
"72","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Berlin, 24. Oktober 1800 bis 29. Oktober 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"72","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Meiningen, 15. Juli 1802 bis 21. Juli 1802.","1802","Gebrauchsliteratur::Korrespondenz"
"72","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Meiningen, 21. November 1801 bis 22. November 1801.","1801","Gebrauchsliteratur::Korrespondenz"
"72","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Heinrich Voß. Bayreuth, 30. August 1818 bis 2. September 1818.","1818","Gebrauchsliteratur::Korrespondenz"
"71","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Leipzig, 21. Februar 1798 bis 27. Februar 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"71","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Weimar, 11. September 1800 bis 18. September 1800.","1800","Gebrauchsliteratur::Korrespondenz"
"70","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. München, 13. Juni 1820 bis 14. Juni 1820.","1820","Gebrauchsliteratur::Korrespondenz"
"70","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Friedrich Heinrich Jacobi. Weimar, 3. Dezember 1798 bis 8. Dezember 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"69","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Bayreuth, 23. Januar 1796 bis 24. Januar 1796.","1796","Gebrauchsliteratur::Korrespondenz"
"68","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Hof, 9. Oktober 1795.","1795","Gebrauchsliteratur::Korrespondenz"
"67","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Caroline Richter. Erlangen, 16. Juni 1811 bis 18. Juni, Um 11 Uhr.","1811","Gebrauchsliteratur::Korrespondenz"
"67","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Christian Otto. Leipzig, 12. Januar 1798 bis 17. Januar 1798.","1798","Gebrauchsliteratur::Korrespondenz"
"67","Berend, Eduard (#118655795; ed.)","Von Jean Paul an Emanuel. Coburg, 2. Dezember 1803 bis 2. Dezember 1803.","1803","Gebrauchsliteratur::Korrespondenz"
