"token","author","title","year","textClass"
"252583","Ingo Schulze","Neue Leben","2005","Belletristik:Roman"
"250584","Name","Grand Tour","2002","Belletristik:Roman"
"241822","Raoul Schrott","Tristan da Cunha oder die Hälfte der Erde","2006","Belletristik:Roman"
"229602","Karl Schlögel","Petersburg","2002","Wissenschaft:Geschichtswissenschaft"
"218968","Rüdiger Safranski","Friedrich Schiller","2004","Wissenschaft:Biographie"
"176213","Cornelia Funke","Tintenherz","2003","Belletristik:Roman"
"129983","Wolf Lepenies","Kultur und Politik","2006","Wissenschaft:Soziologie"
"124350","Gall, Lothar","Krupp","2000","Wissenschaft:Biografie"
"120026","Thomas Glavinic","Die Arbeit der Nacht","2006","Belletristik:Roman"
"118086","Tippach-Schneider, Sabine","Das große Lexikon der DDR-Werbung","2002","Gebrauchsliteratur"
"116542","Schwanitz, Dietrich","Männer","2001","Gebrauchsliteratur"
"113614","Thomas Hettche","Der Fall Arbogast","2001","Belletristik:Roman"
"105582","Frank Goosen","Liegen lernen","2000","Belletristik:Roman"
"104878","Kirsten Boie","Skogland","2005","Belletristik:Roman"
"104432","Franz Schuh","Schreibkräfte","2000","Belletristik:Roman"
"103967","Regula Venske","Marthes Vision","2006","Belletristik:Roman"
"101629","Name","Sehnsucht","2002","Belletristik:Roman"
"101078","Helmut Krausser","Eros","2006","Belletristik:Roman"
"99193","Julia Knoepke","Lagerfeuer","2003","Belletristik:Roman"
"97096","Name","Spione","2000","Belletristik:Roman"
"93435","Sven Regener","Herr Lehmann","2001","Belletristik:Roman"
"92837","Name","Houwelandt","2004","Belletristik:Roman"
"90200","Name","Paul Schatz im Uhrenkasten","2000","Belletristik:Roman"
"88704","Name","Lenas Liebe","2002","Belletristik:Roman"
"86494","John von Düffel","Vom Wasser","2006","Belletristik:Roman"
"85168","Martin Suter","Lila, Lila","2004","Belletristik:Roman"
"83891","Name","Unscharfe Bilder","2003","Belletristik:Roman"
"82490","Name","Malka Mai","2001","Belletristik:Roman"
"76282","Name","Eine Frau aus Amerika","2003","Belletristik:Roman"
"71503","Name","Hör auf zu trommeln, Herz","2003","Belletristik:Roman"
"66391","Ingrid Noll","Ladylike","2006","Belletristik:Roman"
"65495","Urs Widmer","Das Buch des Vaters","2004","Belletristik:Roman"
"59593","Marcus Braun","Hochzeitsvorbereitungen","2003","Belletristik:Roman"
"57706","Herta Müller","Der König verneigt sich und tötet","2003","Belletristik:Roman"
"57528","Hans-Peter Schwarz","Anmerkungen zu Adenauer","2004","Belletristik:Roman"
"57186","Wilhelm Genazino","Die Liebesblödigkeit","2005","Belletristik:Roman"
"48892","Richard von Weizsäcker","Dreimal Stunde Null? 1949 1969 1989","2001","Wissenschaft:Politik"
"48811","unknown","Redaktion","2000","Zeitung:Impressum"
"48528","unknown","Redaktion","2001","Zeitung:Impressum"
"45919","Jakob Arjouni","Chez Max","2006","Belletristik:Roman"
"45176","Illies, Florian","Generation Golf","2000","Belletristik"
"44343","Krämer, Walter / Sauer, Wolfgang","Lexikon der populären Sprachirrtümer","2001","Gebrauchsliteratur"
"43432","Wolf Wondratschek","Mozarts Friseur","2002","Belletristik:Roman"
"42722","Elke Schmitter","Frau Sartoris","2000","Belletristik:Roman"
"41206","Name","Marsmädchen","2003","Belletristik:Roman"
"37186","Barbara Honigmann","Ein Kapitel aus meinem Leben","2004","Belletristik:Roman"
"34589","de Bruyn, Günter","Unter den Linden","2002","Wissenschaft:Geschichtswissenschaft"
"34435","unknown","DirectDelphi","2000","Zeitung:Know-how"
"33708","Jenny Erpenbeck","Wörterbuch","2010","Belletristik:Roman"
"29039","unknown","Prozessorgeflüster","2000","Zeitung:aktuell"
"25842","unknown","Prozessorgeflüster","2001","Zeitung:aktuell"
"25635","","Regierungserklärung Schröders; Feier zum 10. Jahrestag der Wiedervereinigung; antisemitisch motivierte Anschläge; Kontroverse über NPD-Verbot; neuer CDU-Generalsekretär; Expo beendet","2000","Zeitung:DEUTSCHLAND."
"23747","unknown","Freie Auswahl?","2000","Zeitung:Prüfstand"
"22672","unknown","Einrichtungshelfer","2000","Zeitung:Praxis"
"21681","","","2000","Zeitung:Politik"
"21511","unknown","Katzen im Sack","2000","Zeitung:Prüfstand"
"21428","","Haushalt 2001 verabschiedet; Bundestag beantragt NPD-Verbot; Rentenkonzept geändert; Ausweitung der BSE-Seuche","2000","Zeitung:DEUTSCHLAND."
