"token","author","title","year","textClass"
"6482","Nn","Nr. 27, 1673","1673","Zeitung"
"5845","Nn","Nr. 28, 1673","1673","Zeitung"
"5757","Nn","Nr. 26, 1698","1698","Zeitung"
"5306","Nn","Nr. 25, 1673","1673","Zeitung"
"5152","Nn","Nr. 27, 1698","1698","Zeitung"
"4977","Nn","Nr. 24, 1673","1673","Zeitung"
"4408","Nn","Nr. 26, 1673","1673","Zeitung"
"4116","Nn","Nr. 20, 1673","1673","Zeitung"
"4066","Nn","Nr. 30, 1673","1673","Zeitung"
"3850","Nn","Nr. 22, 1673","1673","Zeitung"
"3712","Nn","Nr. 21, 1673","1673","Zeitung"
"3700","Nn","Nr. 95, 1699","1699","Zeitung"
"3467","Nn","Nr. 29, 1673","1673","Zeitung"
"3431","Nn","Nr. 31, 1673","1673","Zeitung"
"3336","Nn","Nr. 34, 1673","1673","Zeitung"
"3203","Nn","Nr. 6, 1696","1696","Zeitung"
"3136","Nn","Nr. 7b, 1696","1696","Zeitung"
"3130","Nn","Nr. 10a, 1696","1696","Zeitung"
"3117","Nn","Nr. 52, 1698","1698","Zeitung"
"3116","Nn","Nr. 33a, 1698","1698","Zeitung"
"3087","Nn","Nr. 5, 1696","1696","Zeitung"
"3079","Nn","Nr. 23, 1673","1673","Zeitung"
"3066","Nn","Nr. 10b, 1696","1696","Zeitung"
"3041","Nn","Nr. 39, 1698","1698","Zeitung"
"3034","Nn","Nr. 7a, 1696","1696","Zeitung"
"3023","Nn","Nr. 4, 1696","1696","Zeitung"
"3001","Nn","Nr. 94, 1698","1698","Zeitung"
"2994","Nn","Nr. 37b, 1698","1698","Zeitung"
"2992","Nn","Nr. 41a, 1698","1698","Zeitung"
"2983","Nn","Nr. 49, 1698","1698","Zeitung"
"2978","Nn","Nr. 47, 1698","1698","Zeitung"
"2963","Nn","Nr. 63, 1698","1698","Zeitung"
"2948","Nn","Nr. 46, 1698","1698","Zeitung"
"2925","Nn","Nr. 37a, 1698","1698","Zeitung"
"2905","Nn","Nr. 41b, 1698","1698","Zeitung"
"2893","Nn","Nr. 42, 1698","1698","Zeitung"
"2892","Nn","Nr. 33b, 1698","1698","Zeitung"
"2847","Nn","Nr. 19, 1698","1698","Zeitung"
"2847","Nn","Nr. 43, 1685","1685","Zeitung"
"2748","Nn","Nr. 17, 1673","1673","Zeitung"
"2683","Nn","Nr. 45, 1685","1685","Zeitung"
"2674","Nn","Nr. 16, 1698","1698","Zeitung"
"2638","Nn","Nr. 44, 1685","1685","Zeitung"
"2577","Nn","Nr. 26, 1672","1672","Zeitung"
"2556","Nn","Nr. 33, 1673","1673","Zeitung"
"2503","Nn","Nr. 32, 1673","1673","Zeitung"
"2452","Nn","Nr. 27, 1672","1672","Zeitung"
"2401","Nn","Nr. 34, 1671","1671","Zeitung"
"2394","Nn","Nr. 42, 1685","1685","Zeitung"
"2374","Nn","Nr. 17, 1671","1671","Zeitung"
"2371","Nn","Nr. 23, 1672","1672","Zeitung"
"2345","Nn","Nr. 28, 1672","1672","Zeitung"
"2343","Nn","Nr. 49, 1673","1673","Zeitung"
"2295","Nn","Nr. 6, 1671","1671","Zeitung"
"2262","Nn","Nr. 19, 1672","1672","Zeitung"
"2241","Nn","Nr. 15, 1673","1673","Zeitung"
"2236","Nn","Nr. 31, 1699","1699","Zeitung"
"2223","Nn","Nr. 41, 1672","1672","Zeitung"
"2214","Nn","Nr. 24, 1671","1671","Zeitung"
"2211","Nn","Nr. 40, 1672","1672","Zeitung"
"2209","Nn","Nr. 16, 1671","1671","Zeitung"
