"token","author","title","year","textClass"
"534364","Nn","Die Bayerische Presse: Eine constitutionell-monarchische Zeitung.","1850","Zeitung"
"225424","Nn","Allgemeine Auswanderungs-Zeitung: Organ für Kunde aus deutschen Ansiedlungen, für Rath und That zu Gunsten der fortziehenden Brüder, sowie für Oeffentlichkeit in Auswanderungssachen überhaupt.","1847","Zeitung"
"148070","Nn","Der Arbeitgeber: Archiv für Volkswirthschaft und neue Erfindungen, Central-Anzeiger für den Arbeitsmarkt","1877","Zeitung"
"123668","Nn","Europa: Wochenschrift für Kultur und Politik","1905","Gebrauchsliteratur::Zeitschrift"
"113176","Nn","Der Arbeitgeber: Archiv für die gesammte Volkswirthschaft, Central-Anzeiger für Stellen- und Arbeitergesuche","1870","Zeitung"
"108549","Nn","Allgemeine Auswanderungs-Zeitung: Organ für Kunde aus deutschen Ansiedlungen, für Rath und That zu Gunsten der fortziehenden Brüder, sowie für Oeffentlichkeit in Auswanderungssachen überhaupt.","1848","Zeitung"
"72760","Nn","Märkische Blätter: Wochenblatt für belehrende und angenehme Unterhaltung","1850","Zeitung"
"29254","Nn","Allgemeine Zeitung: Nr. 68","1871","Zeitung"
"28761","Hasenclever, Wilhelm (#119099411; ed.); Hasselmann, Wilhelm (#133292800; ed.)","Social-politische Blätter: 1. Lieferung","1874","Gebrauchsliteratur::Zeitschrift"
"28173","Hasenclever, Wilhelm (#119099411; ed.); Hasselmann, Wilhelm (#133292800; ed.)","Social-politische Blätter: 4. Lieferung","1873","Gebrauchsliteratur::Zeitschrift"
"27813","Hasenclever, Wilhelm (#119099411; ed.); Hasselmann, Wilhelm (#133292800; ed.)","Social-politische Blätter: 3. Lieferung","1873","Gebrauchsliteratur::Zeitschrift"
"27666","Hasenclever, Wilhelm (#119099411; ed.); Hasselmann, Wilhelm (#133292800; ed.)","Social-politische Blätter: 2. Lieferung","1873","Gebrauchsliteratur::Zeitschrift"
"23262","Nn","Allgemeine Zeitung: Nr. 74","1871","Zeitung"
"22630","Nn","Allgemeine Zeitung: Nr. 69","1871","Zeitung"
"22236","Nn","Allgemeine Zeitung: Nr. 80","1871","Zeitung"
"21823","Nn","Allgemeine Zeitung: Nr. 64","1871","Zeitung"
"21226","Nn","Morgenblatt für gebildete Leser: Nr. 48","1856","Gebrauchsliteratur::Zeitschrift"
"21008","Nn","Allgemeine Zeitung: Nr. 75","1871","Zeitung"
"20593","Nn","Morgenblatt für gebildete Leser: Nr. 36","1856","Gebrauchsliteratur::Zeitschrift"
"20562","Nn","Morgenblatt für gebildete Leser: Nr. 30","1856","Gebrauchsliteratur::Zeitschrift"
