"token","author","title","year","textClass"
"34799","Nn","Nr. 117, 28.04.1908.","1908","Zeitung"
"31011","Nn","Nr. 308, 04.07.1914.","1914","Zeitung"
"24083","Nn","Nr. 168, 26.07.1900.","1900","Zeitung"
"23355","Nn","Nr. 227, 05.10.1906.","1906","Zeitung"
"23206","Nn","Nr. 18, 22.01.1901.","1901","Zeitung"
"22898","Nn","Nr. 143, 26.06.1900.","1900","Zeitung"
"22849","Nn","Nr. 212, 18.09.1906.","1906","Zeitung"
"22581","Nn","Nr. 19, 24.01.1899.","1899","Zeitung"
"22280","Nn","Nr. 284, 14.12.1898.","1898","Zeitung"
"21927","Nn","Nr. 133, 14.06.1898.","1898","Zeitung"
"21491","Nn","Nr. 140, 21.06.1904.","1904","Zeitung"
"21191","Nn","Nr. 7, 10.01.1905.","1905","Zeitung"
"21158","Nn","Nr. 179, 08.08.1905.","1905","Zeitung"
"20846","Nn","Nr. 233, 12.10.1897.","1897","Zeitung"
"20449","Nn","Nr. 78, 06.04.1897.","1897","Zeitung"
"19965","Nn","Nr. 219, 26.09.1899.","1899","Zeitung"
"19335","Nn","Nr. 3, 04.01.1901.","1901","Zeitung"
"18083","Nn","Nr. 6, 08.01.1895.","1895","Zeitung"
"17087","Nn","Nr. 280, 06.12.1894.","1894","Zeitung"
"17070","Nn","Nr. 27, 28.01.1896.","1896","Zeitung"
"16727","Nn","Nr. 105, 08.05.1894.","1894","Zeitung"
"16699","Nn","Nr. 41, 11.02.1896.","1896","Zeitung"
"16415","Nn","Nr. 495, 20.10.1913.","1913","Zeitung"
"15355","Nn","Nr. 108, 12.05.1897.","1898","Zeitung"
"15078","Nn","Nr. 299, 31.12.1888.","1888","Zeitung"
"14621","Nn","Nr. 130, 11.05.1908.","1908","Zeitung"
"14318","Nn","Nr. 56, 03.02.1913.","1913","Zeitung"
"13819","Nn","Nr. 17, 21.01.1889.","1889","Zeitung"
"13598","Nn","Nr. 40, 18.02.1889.","1889","Zeitung"
"13510","Nn","Nr. 273, 11.11.1907.","1907","Zeitung"
"13495","Nn","Nr. 189, 20.08.1894.","1894","Zeitung"
"13427","Nn","Nr. 207, 06.09.1904.","1904","Zeitung"
"13309","Nn","Nr. 116, 18.05.1904.","1904","Zeitung"
"13267","Nn","Nr. 6, 05.01.1904.","1904","Zeitung"
"13266","Nn","Nr. 204, 06.09.1895.","1895","Zeitung"
"13236","Nn","Nr. 25, 25.03.1908.","1908","Zeitung"
"13231","Nn","Nr. 106, 18.04.1910.","1910","Zeitung"
"13158","Nn","Nr. 118, 22.05.1896.","1896","Zeitung"
"13016","Nn","Nr. 134, 14.06.1897.","1897","Zeitung"
"12988","Nn","Nr. 595, 24.12.1912.","1912","Zeitung"
"12973","Nn","Nr. 3502, 22.07.1914.","1914","Zeitung"
"12953","Nn","Nr. 1082, 22.08.1907.","1907","Zeitung"
"12924","Nn","Nr. 165, 20.07.1896.","1896","Zeitung"
"12916","Nn","Nr. 119, 24.05.1895.","1895","Zeitung"
"12902","Nn","Nr. 67, 08.03.1909.","1909","Zeitung"
"12881","Nn","Nr. 266, 21.11.1892.","1892","Zeitung"
"12870","Nn","Nr. 23, 21.03.1900.","1900","Zeitung"
"12852","Nn","Nr. 29, 07.02.1887.","1887","Zeitung"
"12837","Nn","Nr. 167, 24.07.1889.","1889","Zeitung"
"12825","Nn","Nr. 370, 12.08.1912.","1912","Zeitung"
"12780","Nn","Nr. 198, 31.08.1885.","1885","Zeitung"
"12780","Nn","Nr. 933, 20.02.1907.","1907","Zeitung"
"12747","Nn","Nr. 271, 28.11.1887.","1887","Zeitung"
"12715","Nn","Nr. 166, 24.07.1893.","1893","Zeitung"
"12699","Nn","Nr. 283, 10.12.1895.","1895","Zeitung"
"12619","Nn","Nr. 122, 28.05.1895.","1895","Zeitung"
"12512","Nn","Nr. 175, 03.08.1885.","1885","Zeitung"
"12489","Nn","Nr. 243, 24.10.1892.","1892","Zeitung"
"12473","Nn","Nr. 53, 22.02.1909.","1909","Zeitung"
"12468","Nn","Nr. 18, 24.01.1898.","1898","Zeitung"
"12411","Nn","Nr. 20, 26.01.1891.","1891","Zeitung"
"12342","Nn","Nr. 17, 22.01.1894.","1894","Zeitung"
"12327","Nn","Nr. 206, 10.09.1897.","1897","Zeitung"
"12320","Nn","Nr. 1369, 04.08.1908.","1908","Zeitung"
"12298","Nn","Nr. 6, 10.01.1887.","1887","Zeitung"
"12247","Nn","Nr. 201, 04.09.1893.","1893","Zeitung"
"12214","Nn","Nr. 300, 30.12.1896.","1896","Zeitung"
"12188","Nn","Nr. 124, 01.06.1894.","1894","Zeitung"
"12175","Nn","Nr. 1684, 25.08.1909.","1909","Zeitung"
"12167","Nn","Nr. 132, 12.06.1891.","1891","Zeitung"
"12157","Nn","Nr. 784, 21.08.1906.","1906","Zeitung"
"12151","Nn","Nr. 1069, 06.08.1907.","1907","Zeitung"
"12140","Nn","Nr. 458, 12.07.1905.","1905","Zeitung"
"12105","Nn","Nr. 41, 21.02.1898.","1898","Zeitung"
"12042","Nn","Nr. 72, 13.02.1911.","1911","Zeitung"
"12024","Nn","Nr. 421, 25.05.1905.","1905","Zeitung"
"12017","Nn","Nr. 379, 04.04.1905.","1905","Zeitung"
"12006","Nn","Nr. 204, 05.09.1888.","1888","Zeitung"
"11960","Nn","Nr. 91, 14.11.1900.","1900","Zeitung"
"11936","Nn","Nr. 572, 28.11.1905.","1905","Zeitung"
"11881","Nn","Nr. 19, 24.01.1890.","1890","Zeitung"
