"token","author","title","year","textClass"
"76498","Auerbach, Berthold (#11865103X)","Die Geschichte des Diethelm von Buchenberg","1910","Belletristik::Novelle"
"71940","Wesemael, Adele (Wild, Hermine; #11730834X)","Eure Wege sind nicht meine Wege","1910","Belletristik::Novelle"
"57338","Meyr, Melchior (#118783688)","Der Sieg des Schwachen","1910","Belletristik::Novelle"
"52615","Kompert, Leopold (#118713868)","Eine Verlorene","1910","Belletristik::Novelle"
"52258","Albert, Bitzius (Gotthelf, Jeremias; #118540963)","Kurt von Koppigen","1910","Belletristik::Novelle"
"42525","Mügge, Theodor (#119044765)","Am Malanger Fjord","1910","Belletristik::Novelle"
"38603","Zschokke, Heinrich (#127874208)","Der todte Gast","1910","Belletristik::Novelle"
"37547","Heyse, Paul (#118550772)","Der Weinhüter von Meran","1910","Belletristik::Novelle"
"35826","Immermann, Karl (#118555553)","Der Carneval und die Somnambüle","1910","Belletristik::Novelle"
"34726","Müller, Wilhelm (#11858524X)","Debora","1910","Belletristik::Novelle"
"33306","Grosse, Julius (#118718983)","Vetter Isidor","1910","Belletristik::Novelle"
"32180","Lewald, Fanny (#118572393)","Die Tante","1910","Belletristik::Novelle"
"32111","Tieck, Ludwig (#12989432X)","Die Gemälde","1910","Belletristik::Novelle"
"30709","Adelheid, Reinbold (Berthold, Franz; #119420147)","Irrwisch-Fritze","1910","Belletristik::Novelle"
"30693","Kurz, Hermann (#118778277)","Die beiden Tubus","1910","Belletristik::Novelle"
"30598","Keller, Gottfried (#11856109X)","Romeo und Julia auf dem Dorfe","1910","Belletristik::Novelle"
"30586","Schefer, Leopold (#118606824)","Die Düvecke, oder die Leiden einer Königin","1910","Belletristik::Novelle"
"29317","Hoffmann, E.T.A. (#118552465)","Das Fräulein von Scuderi","1871","Belletristik::Novelle"
"29032","Roquette, Otto (#119034883)","Die Schlangenkönigin","1910","Belletristik::Novelle"
"28892","Schücking, Levin (#118762109)","Die Schwester","1910","Belletristik::Novelle"
"27623","Alexis, Willibald (#118648071)","Herr von Sacken","1910","Belletristik::Novelle"
"27079","Wichert, Ernst (#11733555X)","Ansas und Grita","1910","Belletristik::Novelle"
"26863","Tesche, Walter (#1033492248)","Der Enten-Piet","1910","Belletristik::Novelle"
"25995","Ungern-Sternberg, Alexander von (Traun, Julius von der; #118763733)","Scholastika","1910","Belletristik::Novelle"
"25895","Frey, Jacob (#131405330)","Das erfüllte Versprechen","1910","Belletristik::Novelle"
"25043","von Chamisso, Adelbert (#118520040)","Peter Schlemihl's wundersame Geschichte","1910","Belletristik::Novelle"
"25004","Kruse, Laurids (#178621854)","Nordische Freundschaft","1910","Belletristik::Novelle"
"24997","Schreyvogel, Joseph (#119368579)","Samuel Brinks letzte Liebesgeschichte","1910","Belletristik::Novelle"
"24260","Mörike, Eduard (#118583107)","Mozart auf der Reise nach Prag","1910","Belletristik::Novelle"
"23785","Stifter, Adalbert (#118618156)","Brigitta","1910","Belletristik::Novelle"
"23372","Abeken, Bernhard (Andolt, Ernst; #116001089)","Eine Nacht","1910","Belletristik::Novelle"
"23060","Schmid, Hermann (#100801919)","Mohrenfranzl","1910","Belletristik::Novelle"
"22949","Meißner, Alfred (#118580310)","Der Müller vom Höft","1910","Belletristik::Novelle"
"22140","Wilbrandt, Adolph (#118807250)","Johann Ohlerich","1910","Belletristik::Novelle"
"21745","Duboc, Charles Edouard (Waldmüller, Robert; #11623010X)","Es ist nicht gut, daß der Mensch allein sei","1910","Belletristik::Novelle"
"21652","Rumohr, Karl Friedrich (#118987224)","Der letzte Savello","1910","Belletristik::Novelle"
"21594","Grimm, Herman (#118697773)","Das Kind","1910","Belletristik::Novelle"
"21578","Homberger, Heinrich (Horner, Heinrich; #116975199)","Der Säugling: Eine toscanische Geschichte","1910","Belletristik::Novelle"
"21519","Wolff, Margarethe von (F. v. W.; #178629340)","Gemüth und Selbstsucht","1910","Belletristik::Novelle"
"21038","Tieck, Ludwig (#12989432X)","Des Lebens Überfluß","1910","Belletristik::Novelle"
"20905","Pichler, Adolf (#131085824)","Der Flüchtling","1910","Belletristik::Novelle"
"20861","von Sacher-Masoch, Leopold (#118604570)","Don Juan von Kolomea","1910","Belletristik::Novelle"
"20404","Hauff, Wilhelm (#118546864)","Phantasien im Bremer Ratskeller","1910","Belletristik::Novelle"
"19894","von Droste-Hülshoff, Annette (#118527533)","Die Judenbuche","1910","Belletristik::Novelle"
"19463","Varnhagen von Ense, Karl August (#118626167)","Reiz und Liebe","1910","Belletristik::Novelle"
"19184","Lohmann, Friederike (#172769191)","Die Entscheidung von Hochkirch","1910","Belletristik::Novelle"
"18406","Grillparzer, Franz (#118542192)","Der arme Spielmann","1910","Belletristik::Novelle"
"18204","Widmann, Adolf (#117338907)","Die katholische Mühle","1910","Belletristik::Novelle"
"17952","Raabe, Wilhelm (#118597442)","Das letzte Recht","1910","Belletristik::Novelle"
"17778","von Glümer, Claire (#116682477)","Reich zu reich und arm zu arm","1910","Belletristik::Novelle"
"17666","von Eichendorff, Joseph (#118529390)","Die Glücksritter","1910","Belletristik::Novelle"
"17562","von Münch Bellinghausen, Eligius Franz Joseph (Halm, Friedrich; #118720074)","Die Marzipan-Lise","1910","Belletristik::Novelle"
"17216","Spindler, Karl (#119164043)","Die Engel-Ehe","1910","Belletristik::Novelle"
"17177","Kopisch, August (#118983776)","Der Träumer","1910","Belletristik::Novelle"
"17111","Kinkel, Johanna (#118562258)","Musikalische Orthodoxie","1910","Belletristik::Novelle"
"16997","Ziegler, Franz Wilhelm (#116987286)","Saat und Ernte","1910","Belletristik::Novelle"
"16920","Hoefer, Edmund (#119289989)","Rolof, der Rekrut","1910","Belletristik::Novelle"
"16493","von Kleist, Heinrich (#118563076)","Die Verlobung von St. Domingo","1871","Belletristik::Novelle"
"16236","von Gall, Luise (#119079402)","Eine fromme Lüge","1910","Belletristik::Novelle"
"15766","Kugler, Franz (#11877820X)","Die Incantada","1910","Belletristik::Novelle"
"15750","Hackländer, Friedrich Wilhelm (#118699962)","Zwei Nächte","1910","Belletristik::Novelle"
"15701","Albert, Bitzius (Gotthelf, Jeremias; #118540963)","Der Notar in der Falle","1910","Belletristik::Novelle"
"15686","Kinkel, Gottfried (#11856224X)","Margret","1910","Belletristik::Novelle"
"15305","Brentano, Clemens (#118515055)","Geschichte vom braven Kasperl und dem schönen Annerl","1871","Belletristik::Novelle"
"15274","Kopisch, August (#118983776)","Ein Carnevalsfest auf Ischia","1910","Belletristik::Novelle"
"14903","Kürnberger, Ferdinand (#118567764)","Der Drache","1910","Belletristik::Novelle"
"13418","Ludwig, Julie (#117283355)","Das Gericht im Walde","1910","Belletristik::Novelle"
"13114","Kähler, Ludwig August (#116013311)","Die drei Schwestern","1910","Belletristik::Novelle"
"12713","von Heyden, Friedrich (#11678699X)","Der graue John","1910","Belletristik::Novelle"
"12002","Reich, Moses Josef (#116394714)","Mammon im Gebirge","1910","Belletristik::Novelle"
"11632","Gerstäcker, Friedrich (#118538810)","Germelshausen","1910","Belletristik::Novelle"
"11562","Landesmann, Heinrich (#11872911X)","Ein adeliges Fräulein","1910","Belletristik::Novelle"
"11386","Storm, Theodor (#118618725)","Eine Malerarbeit","1910","Belletristik::Novelle"
"10774","Goethe, Johann Wolfgang von (#118540238)","Die neue Melusine","1871","Belletristik::Novelle"
"10570","Hartmann, Moritz (#118773348)","Das Schloß im Gebirge","1910","Belletristik::Novelle"
"10488","von Arnim, Achim (#116345462)","Der tolle Invalide auf dem Fort Ratonneau","1871","Belletristik::Novelle"
"9492","von Dincklage, Emmy (#116137312)","Der Striethast","1910","Belletristik::Novelle"
"8778","Wildermuth, Ottilie (Wild, Hermine; #118632833)","Streit in der Liebe und Liebe im Streit","1910","Belletristik::Novelle"
"8445","Schindler, Alexander Julius (Traun, Julius von der; #115749845)","Der Gebirgspfarrer","1910","Belletristik::Novelle"
"8324","von Holtei, Karl (#118706640)","'s Muhme-Leutnant-Saloppel","1910","Belletristik::Novelle"
"6935","Goldammer, Leo (#101139861)","Auf Wiedersehen!","1910","Belletristik::Novelle"
