"token","author","title","year","textClass"
"27386","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 195, Sonntag, 14. Januar 1849","1848","Zeitung"
"25830","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 123, Sonntag, 22. Oktober 1848","1848","Zeitung"
"14923","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 126, Donnerstag, 26. Oktober 1848","1848","Zeitung"
"14923","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 196, Dienstag, 16. Januar 1849","1848","Zeitung"
"14794","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 139, Freitag, 10. November 1848","1848","Zeitung"
"14771","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 128, Samstag, 28. Oktober 1848","1848","Zeitung"
"14770","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 118, Montag, 16. Oktober 1848","1848","Zeitung"
"14729","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 291, Sonntag, 6. Mai 1849. Zweite Ausgabe","1848","Zeitung"
"14705","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 121, Freitag, 20. Oktober 1848","1848","Zeitung"
"14684","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 117, Sonntag, 15. Oktober 1848","1848","Zeitung"
"14608","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 297, Sonntag, 13. Mai 1849. Zweite Ausgabe","1848","Zeitung"
"14534","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 157, Freitag, 1. Dezember 1848","1848","Zeitung"
"14533","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 159, Sonntag, 3. Dezember 1848","1848","Zeitung"
"14512","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 159, Sonntag, 3. Dezember 1848. Zweite Ausgabe","1848","Zeitung"
"14503","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 83, Mittwoch, 23. August 1848","1848","Zeitung"
"14493","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 80, Samstag, 19. August 1848","1848","Zeitung"
"14461","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 120, Donnerstag, 19. Oktober 1848","1848","Zeitung"
"14437","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 125, Mittwoch, 25. Oktober 1848","1848","Zeitung"
"14431","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 211, Freitag, 2. Februar 1849","1848","Zeitung"
"14414","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 199, Freitag, 19. Januar 1849","1848","Zeitung"
"14372","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 112, Dienstag, 26. September 1848","1848","Zeitung"
"14342","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 132, Donnerstag, 2. November 1848","1848","Zeitung"
"14275","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 243, Sonntag, 11. März 1849","1848","Zeitung"
"14262","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 294, Donnerstag, 10. Mai 1849","1848","Zeitung"
"14249","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 119, Mittwoch, 18. Oktober 1848","1848","Zeitung"
"14215","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 258, Donnerstag, 29. März 1849","1848","Zeitung"
"14180","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 127, Freitag, 27. Oktober 1848","1848","Zeitung"
"14142","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 254, Samstag, 24. März 1849","1848","Zeitung"
"14131","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 297, Sonntag, 13. Mai 1849","1848","Zeitung"
"14123","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 216, Donnerstag, 8. Februar 1849","1848","Zeitung"
"14094","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 170, Samstag, 16. Dezember 1848","1848","Zeitung"
"14071","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 134, Samstag, 4. November 1848","1848","Zeitung"
"14038","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 106, Dienstag, 19. September 1848","1848","Zeitung"
"14035","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 203, Mittwoch, 24. Januar 1849","1848","Zeitung"
"14029","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 192, Donnerstag, 11. Januar 1849","1848","Zeitung"
"14021","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 79, Freitag, 18. August 1848","1848","Zeitung"
"14016","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 124, Dienstag, 24. Oktober 1848","1848","Zeitung"
"13987","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 200, Samstag, 20. Januar 1849","1848","Zeitung"
"13981","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 173, Mittwoch, 20. Dezember 1848","1848","Zeitung"
"13959","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 58, Freitag, 28. Juli 1848","1848","Zeitung"
"13943","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 158, Samstag, 2. Dezember 1848","1848","Zeitung"
"13935","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 85, Freitag, 25. August 1848","1848","Zeitung"
"13932","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 188, Samstag, 6. Januar 1849","1848","Zeitung"
"13920","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 46, Sonntag, 16. Juli 1848","1848","Zeitung"
"13893","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 71, Donnerstag, 10. August 1848","1848","Zeitung"
"13892","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 270, Donnerstag, 12. April 1849","1848","Zeitung"
"13890","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 185, Mittwoch, 3. Januar 1849","1848","Zeitung"
"13890","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 296, Samstag, 12. Mai 1849","1848","Zeitung"
"13873","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 74, Sonntag, 13. August 1848","1848","Zeitung"
"13864","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 180, Donnerstag, 28. Dezember 1848","1848","Zeitung"
"13857","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 137, Mittwoch, 8. November 1848","1848","Zeitung"
"13849","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 290, Samstag, 5. Mai 1849","1848","Zeitung"
"13844","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 136, Dienstag, 7. November 1848","1848","Zeitung"
"13843","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 88/89, Mittwoch, 30. August 1848","1848","Zeitung"
"13842","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 122, Samstag, 21. Oktober 1848","1848","Zeitung"
"13832","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 281, Mittwoch, 25. April 1849","1848","Zeitung"
"13823","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 174, Donnerstag, 21. Dezember 1848","1848","Zeitung"
"13797","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 45, Samstag, 15. Juli 1848","1848","Zeitung"
"13793","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 99, Sonntag, 10. September 1848","1848","Zeitung"
"13789","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 244, Dienstag, 13. März 1849","1848","Zeitung"
"13782","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 151, Freitag, 24. November 1848","1848","Zeitung"
"13774","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 75, Montag, 14. August 1848","1848","Zeitung"
"13760","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 206, Samstag, 27. Januar 1849","1848","Zeitung"
"13745","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 9, Freitag, 9. Juni 1848","1848","Zeitung"
"13726","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 186, Donnerstag, 4. Januar 1849","1848","Zeitung"
"13713","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 152, Samstag, 25. November 1848","1848","Zeitung"
"13702","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 100, Dienstag, 12. September 1848","1848","Zeitung"
"13691","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 144, Donnerstag, 16. November 1848","1848","Zeitung"
"13691","Nn","Neue Rheinische Zeitung: Organ der Demokratie: Nr. 204, Donnerstag, 25. Januar 1849","1848","Zeitung"
