"token","author","title","year","textClass"
"59762","Starklof, Karl Christian Ludwig (#118616846)","Sirene","1846","Belletristik::Novelle"
"58897","Schweichel, Georg Julius Robert (#117397032)","Der Uhrmacher vom Lac de Joux","1865","Belletristik::Novelle"
"54524","Scherr, Johannes (#118794957)","Rosi Zurflüh","1860","Belletristik::Novelle"
"51838","Bernstein, Aron David (#119083787)","Mendel Gibbor","1860","Belletristik::Novelle"
"44280","Vacano, Emil Alois Mario (#117324795)","Das Brod der Engel","1887","Belletristik::Novelle"
"43454","Zitelmann, Katharina (#117006823)","Was wird sie thun?","1884","Belletristik::Novelle"
"42681","Hermann Pantenius, Theodor (#118973606)","Um ein Ei","1881","Belletristik::Novelle"
"40877","Floerke, Gustav (#116616652)","Die Volskerin","1873","Belletristik::Novelle"
"40202","Böhm, Gottfried (#101057997)","Das Opfer","1879","Belletristik::Novelle"
"40017","Postl, Karl (#1070181080)","Die Prairie am Jacinto","1841","Belletristik::Novelle"
"38945","Fontane, Theodor (#118534262)","Grete Minde","1880","Belletristik::Novelle"
"35884","Böhlau, Helene (#118878484)","Salin Kaliske","1883","Belletristik::Novelle"
"35207","Puttkammer, Emil Freiherr von (#139741240)","Reden oder Schweigen?","1871","Belletristik::Novelle"
"33639","Ganghofer, Ludwig (#118537490)","Der Herrgottschnitzer von Ammergau","1880","Belletristik::Novelle"
"33475","Frenzel, Karl (#119139812)","Der Schmuck des Inka","1871","Belletristik::Novelle"
"32480","Laistner, Gottlieb Friedrich Eberhard Ludwig (#116648163)","Bezauberte Welt","1884","Belletristik::Novelle"
"32151","Gaudy, Franz Freiherrn (#104234431)","Aus dem Tagebuche eines wandernden Schneidergesellen","1836","Belletristik::Novelle"
"31507","Ludwig, Otto (#118574973)","Aus dem Regen in die Traufe","1870","Belletristik::Novelle"
"31505","Widmann, Joseph Victor (#118632302)","Ein Doppelleben","1884","Belletristik::Novelle"
"30650","Müller, Otto (#117609145)","Münchhausen im Vogelsberg","1876","Belletristik::Novelle"
"29461","Kulke, Eduard (#101205570)","Der Kunstenmacher","1869","Belletristik::Novelle"
"29254","Kirchbach, Wolfgang (#118989480)","Elysium in Leipzig","1883","Belletristik::Novelle"
"29016","Dingelstedt, Franz (#118525751)","Die Schule der Welt","1842","Belletristik::Novelle"
"28376","Kirschner, Lula (#117116955)","Die Geschichte eines Genies","1884","Belletristik::Novelle"
"28371","Trautmann, Franz (#119026058)","Der Wettermacher von Frankfurt","1855","Belletristik::Novelle"
"28032","Storm, Theodor (#118618725)","Aquis Submersus","1876","Belletristik::Novelle"
"27747","Spielhagen, Friedrich (#118616196)","Die Dorfkokette","1868","Belletristik::Novelle"
"26635","Lindau, Rudolph (#117014613)","Die kleine Welt","1880","Belletristik::Novelle"
"26297","Weber, Adelheid (#117156574)","Cezar Grawinsky","1887","Belletristik::Novelle"
"25153","Düringsfeld, Ida von (#101142072)","Wer?","1873","Belletristik::Novelle"
"24473","Silberstein, August (#11738464X)","Der Gerhab","1863","Belletristik::Novelle"
"23798","Artaria, R. (#11642284X)","Manuela","1884","Belletristik::Novelle"
"22127","Putlitz, Gustav Heinrich Gans zu (#116350660)","Die Dame mit den Hirschzähnen","1872","Belletristik::Novelle"
"21868","Friedmann, Alfred (#116802014)","Kirchenraub","1887","Belletristik::Novelle"
"20920","Hopfen, Hans (#116981385)","Trudel's Ball","1880","Belletristik::Novelle"
"20168","Frapan, Ilse (#1063133041)","Die Last","1887","Belletristik::Novelle"
"19783","Jensen, Wilhelm (#11855736X)","Lycaena Silene","1881","Belletristik::Novelle"
"19413","Hirsch, Marie (#116905514)","Frau Antje","1885","Belletristik::Novelle"
"19348","Heiberg, Hermann (#11657299X)","Emmy Genze","1883","Belletristik::Novelle"
"19347","Lentner, Joseph Friedrich (#116910283)","Diebsgelüste","1841","Belletristik::Novelle"
"19110","Wildenbruch, Ernst Adam von (#118771760)","Die Danaide","1885","Belletristik::Novelle"
"18694","Godin, A. (#115341080)","Eine schwarze Kugel","1877","Belletristik::Novelle"
"18052","Boy-Ed, Ida (#118662473)","Der alte Randolph","1887","Belletristik::Novelle"
"17804","Ebner-Eschenbach, Marie von (#118528661)","Die Freiherren von Gemperlein","1879","Belletristik::Novelle"
"17453","Bülow, Clara Bertha Friederike von (#116363207)","Verzaubert","1886","Belletristik::Novelle"
"17296","Heyse, Paul (#118550772)","Der verlorene Sohn","1871","Belletristik::Novelle"
"16454","Meyer, Conrad Ferdinand (#118581775)","Gustav Adolf's Page","1882","Belletristik::Novelle"
"16370","Mosenthal, Salomon Hermann (#101363184)","Jephtha's Tochter","1878","Belletristik::Novelle"
"15463","Lindau, Paul (#118780034)","In Folge einer Wette","1870","Belletristik::Novelle"
"14361","Marbach, Karl Hans (#116758449)","Saläthus","1877","Belletristik::Novelle"
"14133","Franzos, Karl Emil (#118702599)","Nach dem höheren Gesetz","1877","Belletristik::Novelle"
"13439","Bülow, Margarethe von (#117067040)","Herr im Hause","1885","Belletristik::Novelle"
"13202","Burow, Julie (#116142855)","Ein Grab an der Kirchhofsmauer","1854","Belletristik::Novelle"
"13042","Anzengruber, Ludwig (#11850357X)","Das Sündkind","1879","Belletristik::Novelle"
"12951","Schöne, Alfred Curt Immanuel (#116864982)","Der blaue Schleier","1880","Belletristik::Novelle"
"12807","Rosegger, Peter Kettenfeier (#118602667)","Maria im Elend","1876","Belletristik::Novelle"
"12732","Weitbrecht, Richard (#117306770)","D Stadtjompfer","1877","Belletristik::Novelle"
"12355","Gutzkow, Karl Ferdinand (#118543830)","Die Curstauben","1879","Belletristik::Novelle"
"12233","Voß, Richard (#117450944)","Der Hamlet von Tusculum","1884","Belletristik::Novelle"
"11785","Reuter, Fritz (#118599976)","Woans ik tau 'ne Fru kam","1860","Belletristik::Novelle"
"11573","Saar, Ferdinand Ludwig Adam von (#118604449)","Marianne","1873","Belletristik::Novelle"
"10578","Hoffmann, Hans (#101152159)","Peerke von Helgoland","1883","Belletristik::Novelle"
"9289","Mosen, Julius (#118584375)","Die italienische Novelle","1863","Belletristik::Novelle"
"8895","Stern, Adolf (#110700805)","Die Flut des Lebens","1875","Belletristik::Novelle"
"8872","Schiller, Friedrich (#118607626)","Der Verbrecher aus verlorener Ehre","1786","Belletristik::Novelle"
"7308","Smidt, Heinrich (#117435619)","Das Feuerschiff","1855","Belletristik::Novelle"
"6659","Rosenthal-Bonin, Hugo (#116626577)","Der Fächermaler von Nagasaki","1879","Belletristik::Novelle"
