"token","author","title","year","textClass"
"74014","","Marschall Bazaine.","1874","Gebrauchsliteratur::Kriminalistik"
"69009","","Graf Bocarmé und seine Gattin. 1850—1851.","1852","Gebrauchsliteratur::Kriminalistik"
"64776","","Der Bruder Léotade. 1847—1848.","1855","Gebrauchsliteratur::Kriminalistik"
"63524","","Die Gräfin von Görlitz und ihr Diener. 1847—1850.","1851","Gebrauchsliteratur::Kriminalistik"
"61990","","Die Ermordung des Hrn. v. Marcellange. 1840—1842.","1847","Gebrauchsliteratur::Kriminalistik"
"60151","","Der Proceß Arnim.","1876","Gebrauchsliteratur::Kriminalistik"
"56484","","Cagliostro. 17..—1785—1791.","1845","Gebrauchsliteratur::Kriminalistik"
"50214","","Der Leuenmord in Luzern. 1845.","1848","Gebrauchsliteratur::Kriminalistik"
"49920","","Königin Karoline von England. 1820.","1849","Gebrauchsliteratur::Kriminalistik"
"47942","","James Blomfield Rush. 1848—1849.","1850","Gebrauchsliteratur::Kriminalistik"
"46166","","Die Herzogin von Choiseul-Praslin. 1847.","1849","Gebrauchsliteratur::Kriminalistik"
"45051","","Don Antonio Perez und die Prinzessin Eboli. 1578—1612.","1846","Gebrauchsliteratur::Kriminalistik"
"44984","","Jochim Hinrich Ramcke. 1837—1843.","1845","Gebrauchsliteratur::Kriminalistik"
"44577","","Bernhard Hartung. 1850—1852—1853.","1854","Gebrauchsliteratur::Kriminalistik"
"43997","","Tilton wider Beecher.","1878","Gebrauchsliteratur::Kriminalistik"
"43716","","Franz Schall. 1849—1853.","1853","Gebrauchsliteratur::Kriminalistik"
"39434","","John Brown, ein Vorkämpfer der Sklavenemancipation in Nordamerika.","1863","Gebrauchsliteratur::Kriminalistik"
"39421","","Charles Julius Guiteau, der Mörder von James Abraham Garfield, Präsidenten der Vereinigten Staaten von Amerika.","1882","Gebrauchsliteratur::Kriminalistik"
"39246","","Warren Hastings. 1786—1788—1795—1813.","1844","Gebrauchsliteratur::Kriminalistik"
"38527","","Karl Friedrich Masch, sein Räuberleben und seine Genossen.","1867","Gebrauchsliteratur::Kriminalistik"
"37726","","Der Doctor Jahn.","1862","Gebrauchsliteratur::Kriminalistik"
"37511","","Die Stiftsdame Julie Ebergenyi von Telekes und der Graf Gustav Chorinsky Freiherr von Ledske.","1868","Gebrauchsliteratur::Kriminalistik"
"37461","","Friseur Dombrowsky. 1853.","1854","Gebrauchsliteratur::Kriminalistik"
"37447","","﻿Der Raubmörder und der Stillwächter in Eldagsen.","1859","Gebrauchsliteratur::Kriminalistik"
"37013","","Karl Ludwig Sand. 1820.","1842","Gebrauchsliteratur::Kriminalistik"
"36492","","Admiral Graf Karl Pellion di Persano vor dem Gericht des italienischen Senats in Florenz.","1868","Gebrauchsliteratur::Kriminalistik"
"36406","","Der Chirurg Ernst Kühn von Ohrdruf.","1871","Gebrauchsliteratur::Kriminalistik"
"36155","","George Frederick Manning und Maria Manning. 1849.","1850","Gebrauchsliteratur::Kriminalistik"
"35704","","Die Ermordung des Präsidenten Abraham Lincoln, die Verschwörung in Washington nnd Jefferson Davis.","1866","Gebrauchsliteratur::Kriminalistik"
"35617","","Professor Webster. 1849—1850.","1852","Gebrauchsliteratur::Kriminalistik"
"34697","","Der Proceß wider Victor von Ofenheim, Ritter von Ponteuxin.","1876","Gebrauchsliteratur::Kriminalistik"
"34249","","La Roncière und Marie Morell. 1835.","1844","Gebrauchsliteratur::Kriminalistik"
"34008","","Nickel List und seine Gesellen. 1698—1700.","1843","Gebrauchsliteratur::Kriminalistik"
"34001","","Der Eisenbahnmord in London.","1865","Gebrauchsliteratur::Kriminalistik"
"33926","","Kaspar Trümpy aus Bern.","1867","Gebrauchsliteratur::Kriminalistik"
"33798","","Der Doctor Castaing. 1822—1823.","1844","Gebrauchsliteratur::Kriminalistik"
"33614","","Freifrau Luise von Baumbach und ihre Dienstboten.","1862","Gebrauchsliteratur::Kriminalistik"
"33510","","Anna Böckler.","1874","Gebrauchsliteratur::Kriminalistik"
"33383","","Die Ermordung des Hofmarschalls von Minutoli. 1848.","1856","Gebrauchsliteratur::Kriminalistik"
"33072","","Der Proceß Sonzogno.","1877","Gebrauchsliteratur::Kriminalistik"
"33008","","Das Drama von Auteuil.","1870","Gebrauchsliteratur::Kriminalistik"
"32736","","Johann van Oldenbarneveldt.","1879","Gebrauchsliteratur::Kriminalistik"
"32375","","Die Molly-Maguires in Pennsylvanien.","1881","Gebrauchsliteratur::Kriminalistik"
"32274","","Die Fenier-Verschwörung.","1869","Gebrauchsliteratur::Kriminalistik"
"32126","","Jean Baptiste Troppmann.","1870","Gebrauchsliteratur::Kriminalistik"
"31890","","Die Tragödie von Ketzin. Lenore Metzger.","1858","Gebrauchsliteratur::Kriminalistik"
"31566","","Dr. theol. Alois Pichler.","1875","Gebrauchsliteratur::Kriminalistik"
"31257","","Gesche Margaretha Gottfried. 1831.","1842","Gebrauchsliteratur::Kriminalistik"
"31163","","Helene Jegado oder Die Frau mit der weißen Leber. 18—?—1834—1850—51—52.","1854","Gebrauchsliteratur::Kriminalistik"
"30818","","Die Ermordung der Witwe Dellbrück, geb. Hahnemann.","1860","Gebrauchsliteratur::Kriminalistik"
"30788","","Die Halsbandgeschichte. 1785—1786.","1845","Gebrauchsliteratur::Kriminalistik"
"30773","","Der Pfarrer Joseph Schäffer. 1803.","1853","Gebrauchsliteratur::Kriminalistik"
