"token","author","title","year","textClass"
"19591","Angela Merkel","Regierungserklärung von Bundeskanzlerin Merkel","2015","gesprochen:Rede"
"16373","Luis Durnwalder","Regierungserklärung des designiertes Landeshauptmanns in der 3. Sitzung des Südtiroler Landtags","1999","gesprochen:Rede"
"16369","Helmut Kohl","Rede des Bundeskanzlers vor dem Deutschen Bundestag zur Aussprache über den Bundeshaushalt 1996","1995","gesprochen:Rede"
"16163","Helmut Kohl","Rede vor dem Deutschen Bundestag anlässlich der Aussprache über den Bundeshaushalt 1997","1996","gesprochen:Rede"
"15075","Luis Durnwalder","Verlesung der Regierungserklärung durch den designierten Landeshauptmann Luis Durnwalder","1999","gesprochen:Rede"
"14450","Hans Eichel","Rede des Bundesministers der Finanzen, Hans Eichel, zum Haushaltsgesetz 2004","2003","gesprochen:Rede"
"14289","Luis Durnwalder","Replik des designierten Landeshauptmanns Luis Durnwalder nach der Debatte um die Verlesung der Regierungserklärung (2)","1994","gesprochen:Rede"
"14007","Peer Steinbrück","Rede des Bundesministers der Finanzen, Peer Steinbrück, zum Haushaltsgesetz 2007","2006","gesprochen:Rede"
"13905","Gerhard Schröder","Regierungserklärung des Bundeskanzlers vor dem Deutschen Bundestag zum Thema ""Weil wir Deutschlands Kraft vertrauen ...""","1998","gesprochen:Rede"
"13502","Angela Merkel","Regierungserklärung von Bundeskanzlerin Merkel","2014","gesprochen:Rede"
"13410","Angela Merkel","Regierungserklärung von Bundeskanzlerin Merkel","2016","gesprochen:Rede"
"13269","Didier Burkhalter","Rede von Bundesrat Didier Burkhalter","2010","gesprochen:Rede"
"12819","Peer Steinbrück","Rede des Bundesministers der Finanzen, Peer Steinbrück, zum Haushaltsgesetz 2009","2008","gesprochen:Rede"
"12708","Arno Kompatscher","Rede von Landeshauptmann Arno Kompatscher an den Südtiroler Landtag zum Haushalt 2020","2019","gesprochen:Rede"
"12518","Luis Durnwalder","Regierungserklärung des designiertes Landeshauptmanns in der 3. Sitzung des Südtiroler Landtags","1994","gesprochen:Rede"
"12203","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2012 durch den Landeshauptmann Luis Durnwalder","2011","gesprochen:Rede"
"12193","Helmut Kohl","Rede vor dem Deutschen Bundestag anlässlich der Aussprache über den Bundeshaushalt 1999","1998","gesprochen:Rede"
"11956","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2008 durch den Landeshauptmann Luis Durnwalder","2007","gesprochen:Rede"
"11843","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2006 durch den Landeshauptmann Luis Durnwalder","2005","gesprochen:Rede"
"11839","Arno Kompatscher","Rede von Landeshauptmann Arno Kompatscher an den Südtiroler Landtag zum Haushalt 2017","2016","gesprochen:Rede"
"11671","Luis Durnwalder","Verlesung der Regierungserklärung durch den designierten Landeshauptmann Luis Durnwalder","1994","gesprochen:Rede"
"11653","Gerhard Schröder","Pressekonferenz mit Bundeskanzler Gerhard Schröder am 25.07.2000 in Berlin zum Thema: Bilanz und Ausblick","2000","gesprochen:Rede"
"11455","Luis Durnwalder","Replik des designierten Landeshauptmanns Luis Durnwalder nach der Debatte um die Verlesung der Regierungserklärung","1999","gesprochen:Rede"
"11356","Peer Steinbrück","Regierungserklärung des Bundesministers der Finanzen, Peer Steinbrück, zur Lage der Finanzmärkte","2008","gesprochen:Rede"
"11238","Hans Eichel","Rede des Bundesministers der Finanzen, Hans Eichel, zum Haushaltsgesetz 2005","2004","gesprochen:Rede"
"11099","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2007 durch den Landeshauptmann Luis Durnwalder","2006","gesprochen:Rede"
"11033","Angela Merkel","Rede von Bundeskanzlerin Dr. Angela Merkel zum Haushaltsgesetz 2020","2019","gesprochen:Rede"
"10843","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2011 durch den Landeshauptmann Luis Durnwalder","2010","gesprochen:Rede"
"10742","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2010 durch den Landeshauptmann Luis Durnwalder","2009","gesprochen:Rede"
"10711","Angela Merkel","Rede von Bundeskanzlerin Dr. Angela Merkel zum Haushaltsgesetz 2018","2018","gesprochen:Rede"
"10618","Olaf Scholz","Rede des Bundesministers der Finanzen, Olaf Scholz, zum Haushaltsgesetz 2019","2018","gesprochen:Rede"
"10464","Helmut Kohl","Rede auf dem 2. Parteitag der CDU in Dresden","1991","gesprochen:Rede"
"10202","Arno Kompatscher","Rede von Landeshauptmann Arno Kompatscher an den Südtiroler Landtag zum Haushalt 2018","2017","gesprochen:Rede"
"10078","Helmut Kohl","Rede vor dem Deutschen Bundestag anlässlich der Aussprache über den Bundeshaushalt 1998","1997","gesprochen:Rede"
"10044","Wolfgang Schäuble","Rede des Bundesministers der Finanzen, Dr. Wolfgang Schäuble, zum Haushaltsgesetz 2013","2012","gesprochen:Rede"
"10037","Angela Merkel","Rede von Bundeskanzlerin Merkel im Deutschen Bundestag","2014","gesprochen:Rede"
"10028","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2003 durch den Landeshauptmann Luis Durnwalder","2002","gesprochen:Rede"
"9786","Peer Steinbrück","Rede des Bundesministers der Finanzen, Peer Steinbrück, zum Haushaltsgesetz 2008","2007","gesprochen:Rede"
"9663","Helmut Kohl","Rede auf dem 31. Bundesparteitag der CDU in Köln","1983","gesprochen:Rede"
"9652","Luis Durnwalder","Regierungserklärung des designiertes Landeshauptmanns in der 2. Sitzung des Südtiroler Landtags","2008","gesprochen:Rede"
"9584","Hans Eichel","Rede des Bundesministers der Finanzen, Hans Eichel, zum Finanzplan des Bundes 2001 bis 2005","2001","gesprochen:Rede"
"9523","Angela Merkel","Regierungserklärung von Bundeskanzlerin Merkel vor dem Bundestag","2014","gesprochen:Rede"
"9429","Luis Durnwalder","Verlesung des programmatischen Berichts zum Haushalt 2013 durch den Landeshauptmann Luis Durnwalder","2012","gesprochen:Rede"
"9418","Gerhard Schröder","Regierungserklärung von Bundeskanzler Gerhard Schröder vor dem Deutschen Bundestag","2004","gesprochen:Rede"
"9352","Luis Durnwalder","Regierungserklärung des designiertes Landeshauptmanns in der 2. Sitzung des Südtiroler Landtags","2003","gesprochen:Rede"
"9263","Luis Durnwalder","Verlesung der Regierungserklärung durch den designierten Landeshauptmann Luis Durnwalder","2008","gesprochen:Rede"
"9250","Helmut Kohl","Rede auf dem 36. Bundesparteitag der CDU in Wiesbaden","1988","gesprochen:Rede"
"9231","Johann Schneider-Ammann","Rede von Bundesrat Johann N. Schneider-Ammann, Vorsteher des Eidgenössischen Departements für Wirtschaft, Bildung und Forschung WBF","2015","gesprochen:Rede"
"9226","Helmut Kohl","Rede auf dem 32. CDU-Parteitag in Stuttgart","1984","gesprochen:Rede"
"8971","Wolfgang Schüssel","Rede in der 7. Sitzung des Nationalrates zur Erklärung der Bundesregierung","2003","gesprochen:Rede"
"8819","Angela Merkel","Rede von Bundeskanzlerin Angela Merkel im Europäischen Parlament","2007","gesprochen:Rede"
"8781","Wolfgang Schäuble","Rede des Bundesministers der Finanzen, Dr. Wolfgang Schäuble, zum Haushaltsgesetz 2011","2010","gesprochen:Rede"
"8735","Luis Durnwalder","Verlesung der Regierungserklärung durch den designierten Landeshauptmann Luis Durnwalder","2003","gesprochen:Rede"
"8649","Frank-Walter Steinmeier","Rede von Außenminister Frank-Walter Steinmeier bei der Ringvorlesung der Justus-Liebig-Universität Gießen","2014","gesprochen:Rede"
"8637","Angela Merkel","Rede von Bundeskanzlerin Dr. Angela Merkel zum Haushaltsgesetz 2019","2018","gesprochen:Rede"
"8625","Sigmar Gabriel","Rede des Bundesministers für Wirtschaft und Energie, Sigmar Gabriel, zum Haushaltsgesetz 2015","2014","gesprochen:Rede"
"8559","Horst Köhler","Berliner Rede 2008 von Bundespräsident Horst Köhler","2008","gesprochen:Rede"
"8550","Arno Kompatscher","Rede von Landeshauptmann Arno Kompatscher an den Südtiroler Landtag zum Haushalt 2016","2015","gesprochen:Rede"
