"token","author","title","year","textClass"
"298305","Bleuler, Eugen (#121096416)","Lehrbuch der Psychiatrie","1918","Wissenschaft::Psychologie"
"192679","Bille, Karl Christian (#1053439636)","Esquirol’s allgemeine und specielle Pathologie und Therapie der Seelenstörungen","1827","Wissenschaft::Psychologie"
"178183","Herbart, Johann Friedrich (#11854943X)","Psychologie als Wissenschaft: neu gegründet auf Erfahrung, Metaphysik, und Mathematik","1825","Wissenschaft::Psychologie"
"173684","Heinroth, Johann Christian August (#118548549)","System der psychisch-gerichtlichen Medizin, oder theoretisch-praktische Anweisung zur wissenschaftlichen Erkenntniß und gutachtlichen Darstellung der krankhaften persönlichen Zustände, welche vor Gericht i"
"169555","Griesinger, Wilhelm (#11854215X)","Die Pathologie und Therapie der psychischen Krankheiten, für Aerzte und Studirende","1845","Wissenschaft::Medizin"
"164609","Jacobi, Maximilian (#117603511)","Sammlungen für die Heilkunde der Gemüthskrankheiten","1830","Wissenschaft::Psychologie"
"157062","Carus, Carl Gustav (#118519352)","Psyche: Zur Entwicklungsgeschichte der Seele","1846","Wissenschaft::Medizin"
"119932","Birnbaum, Karl (#104070277)","Kriminal-Psychopathologie und psychobiologische Verbrecherkunde","1931","Wissenschaft::Psychologie"
"117877","Herbart, Johann Friedrich (#11854943X)","Psychologie als Wissenschaft: neu gegründet auf Erfahrung, Metaphysik, und Mathematik","1824","Wissenschaft::Psychologie"
"116239","Kraepelin, Emil (#118565915)","Compendium der Psychiatrie. Zum Gebrauche für Studirende und Aerzte","1883","Wissenschaft::Psychologie"
"111364","Reil, Johann Christian (#118599224)","Rhapsodieen über die Anwendung der psychischen Curmethode auf Geisteszerrüttungen","1803","Wissenschaft::Medizin"
"110925","Wundt, Wilhelm (#11863562X)","Grundriss der Psychologie","1896","Wissenschaft::Psychologie"
"91423","Kraepelin, Emil (#118565915)","Ueber die Beeinflussung einfacher psychischer Vorgänge durch einige Arzneimittel: Experimentelle Untersuchungen","1892","Wissenschaft::Medizin"
"83777","Ideler, Karl Wilhelm (#118555316)","Der religiöse Wahnsinn: erläutert durch Krankengeschichten. Ein Beitrag zur Geschichte der religiösen Wirren der Gegenwart","1847","Wissenschaft::Psychologie"
"83118","Schletter, Hermann Theodor (#117326690)","Dr. J.C.A. Heinroth’s Gerichtsärztliche u. Privat-Gutachten hauptsächlich in Betreff zweifelhafter Seelenzustände","1847","Wissenschaft::Psychologie"
"76171","Ideler, Karl Wilhelm (#118555316)","Neue Auswahl medicinisch-gerichtlicher Gutachten mit Genehmigung des Herrn Ministers der geistlichen, Unterrichts- und Medicinal-Angelegenheiten. Zweite Lieferung: Zur gerichtlichen Psychologie. Eine Auswahl von Entscheid"
"70961","Koch, Julius Ludwig August (#116279893)","Die psychopathischen Minderwertigkeiten. Erste Abteilung. Einleitung. – Die angeborenen andauernden psychopathischen Minderwertigkeiten","1891","Wissenschaft::Psychologie"
"57797","Herbart, Johann Friedrich (#11854943X)","Lehrbuch zur Psychologie","1834","Wissenschaft::Psychologie"
"18602","Schaumann, Johann Christian Gottlieb (#117112534)","Ideen zu einer Kriminalpsychologie","1792","Wissenschaft::Psychologie"
