"count","key1","key2","key3","key4"
"818304","","Verhandlungen des Reichstages","1924","Gebrauchsliteratur::Politik::Rede"
"775369","","Verhandlungen des Reichstages","1911","Gebrauchsliteratur::Politik::Rede"
"676808","","Verhandlungen des Reichstages","1920","Gebrauchsliteratur::Politik::Rede"
"601550","","Verhandlungen des Reichstages","1909","Gebrauchsliteratur::Politik::Rede"
"570830","","Verhandlungen des Reichstages","1914","Gebrauchsliteratur::Politik::Rede"
"523684","","Verhandlungen des Reichstages","1928","Gebrauchsliteratur::Politik::Rede"
"500757","","Verhandlungen des Reichstages","1906","Gebrauchsliteratur::Politik::Rede"
"463347","","Verhandlungen des Reichstages","1918","Gebrauchsliteratur::Politik::Rede"
"440814","","Verhandlungen des Reichstages","1925","Gebrauchsliteratur::Politik::Rede"
"429714","","Verhandlungen des Reichstages","1926","Gebrauchsliteratur::Politik::Rede"
"424585","","Verhandlungen des Reichstages","1927","Gebrauchsliteratur::Politik::Rede"
"401270","","Verhandlungen des Reichstages","1897","Gebrauchsliteratur::Politik::Rede"
"395430","","Verhandlungen des Reichstages","1930","Gebrauchsliteratur::Politik::Rede"
"361547","","Verhandlungen des Reichstages","1905","Gebrauchsliteratur::Politik::Rede"
"358316","","Verhandlungen des Reichstages","1900","Gebrauchsliteratur::Politik::Rede"
"356896","","Verhandlungen des Reichstages","1908","Gebrauchsliteratur::Politik::Rede"
"318844","","Verhandlungen des Reichstages","1902","Gebrauchsliteratur::Politik::Rede"
"318217","","Verhandlungen des Reichstages","1903","Gebrauchsliteratur::Politik::Rede"
"285053","","Verhandlungen des Reichstages","1932","Gebrauchsliteratur::Politik::Rede"
"284882","","Verhandlungen des Reichstages","1901","Gebrauchsliteratur::Politik::Rede"
"282185","","Verhandlungen des Reichstages","1921","Gebrauchsliteratur::Politik::Rede"
"269836","","Verhandlungen des Reichstages","1899","Gebrauchsliteratur::Politik::Rede"
"266479","","Verhandlungen des Reichstages","1904","Gebrauchsliteratur::Politik::Rede"
"255800","","Verhandlungen des Reichstages","1896","Gebrauchsliteratur::Politik::Rede"
"252724","","Verhandlungen des Reichstages","1885","Gebrauchsliteratur::Politik::Rede"
"250245","","Verhandlungen des Reichstages","1922","Gebrauchsliteratur::Politik::Rede"
"242619","","Verhandlungen des Reichstages","1883","Gebrauchsliteratur::Politik::Rede"
"232594","","Verhandlungen des Reichstages","1898","Gebrauchsliteratur::Politik::Rede"
"223189","","Verhandlungen des Reichstages","1907","Gebrauchsliteratur::Politik::Rede"
"220828","","Verhandlungen des Reichstages","1879","Gebrauchsliteratur::Politik::Rede"
"219426","","Verhandlungen des Reichstages","1892","Gebrauchsliteratur::Politik::Rede"
"212136","","Verhandlungen des Reichstages","1891","Gebrauchsliteratur::Politik::Rede"
"210541","","Verhandlungen des Reichstages","1876","Gebrauchsliteratur::Politik::Rede"
"210349","","Verhandlungen des Reichstages","1895","Gebrauchsliteratur::Politik::Rede"
"206006","","Verhandlungen des Reichstages","1913","Gebrauchsliteratur::Politik::Rede"
"205040","","Verhandlungen des Reichstages","1929","Gebrauchsliteratur::Politik::Rede"
"201794","","Verhandlungen des Reichstages","1886","Gebrauchsliteratur::Politik::Rede"
"201228","","Verhandlungen des Reichstages","1893","Gebrauchsliteratur::Politik::Rede"
"195799","","Verhandlungen des Reichstages","1887","Gebrauchsliteratur::Politik::Rede"
"192512","","Verhandlungen des Reichstages","1889","Gebrauchsliteratur::Politik::Rede"
"189436","","Verhandlungen des Reichstages","1894","Gebrauchsliteratur::Politik::Rede"
"181902","","Verhandlungen des Reichstages","1890","Gebrauchsliteratur::Politik::Rede"
"178862","","Verhandlungen des Reichstages","1923","Gebrauchsliteratur::Politik::Rede"
"176899","","Verhandlungen des Reichstages","1878","Gebrauchsliteratur::Politik::Rede"
"167510","","Verhandlungen des Reichstages","1910","Gebrauchsliteratur::Politik::Rede"
"156274","","Verhandlungen des Reichstages","1875","Gebrauchsliteratur::Politik::Rede"
"150023","","Verhandlungen des Reichstages des Norddeutschen Bundes","1870","Gebrauchsliteratur::Politik::Rede"
"143821","","Verhandlungen des Reichstages","1871","Gebrauchsliteratur::Politik::Rede"
"140312","","Verhandlungen des Reichstages","1881","Gebrauchsliteratur::Politik::Rede"
"133173","","Verhandlungen des Reichstages","1916","Gebrauchsliteratur::Politik::Rede"
"129180","","Verhandlungen des Reichstages","1912","Gebrauchsliteratur::Politik::Rede"
"129054","","Verhandlungen des Reichstages","1888","Gebrauchsliteratur::Politik::Rede"
"126352","","Verhandlungen des Reichstages","1884","Gebrauchsliteratur::Politik::Rede"
"120204","","Verhandlungen des Reichstages des Norddeutschen Bundes","1869","Gebrauchsliteratur::Politik::Rede"
"115362","","Verhandlungen des Reichstages","1873","Gebrauchsliteratur::Politik::Rede"
"113712","","Verhandlungen des Reichstages","1931","Gebrauchsliteratur::Politik::Rede"
"112150","","Verhandlungen des Reichstages","1880","Gebrauchsliteratur::Politik::Rede"
"106754","","Verhandlungen des Reichstages des Norddeutschen Bundes","1867","Gebrauchsliteratur::Politik::Rede"
"95032","","Verhandlungen des Reichstages","1872","Gebrauchsliteratur::Politik::Rede"
"93695","","Verhandlungen des Reichstages","1919","Gebrauchsliteratur::Politik::Rede"
"88261","","Verhandlungen des Reichstages","1877","Gebrauchsliteratur::Politik::Rede"
"87402","","Verhandlungen des Reichstages","1917","Gebrauchsliteratur::Politik::Rede"
"85932","","Verhandlungen des Reichstages","1874","Gebrauchsliteratur::Politik::Rede"
"77838","","Verhandlungen des Reichstages","1882","Gebrauchsliteratur::Politik::Rede"
"69643","","Verhandlungen des Reichstages","1933","Gebrauchsliteratur::Politik::Rede"
"65052","","Verhandlungen des Reichstages des Norddeutschen Bundes","1868","Gebrauchsliteratur::Politik::Rede"
"39608","","Verhandlungen des Reichstages","1934","Gebrauchsliteratur::Politik::Rede"
"33753","","Hirth's Parlaments-Almanach","1867","Gebrauchsliteratur::Politik::Rede"
"25617","","Stenographische Berichte über die Verhandlungen des durch die allerhöchste Verordnung vom ... einberufenen Deutschen Zoll-Parlaments","1868","Gebrauchsliteratur::Politik::Rede"
"22080","","Reichstags-Handbuch Wahlperiode ...","1933","Gebrauchsliteratur::Politik::Rede"
"20063","","Der Reichshaushalts-Etat für das Rechnungsjahr ..., nebst dem Nachtrags-Etat und dem Haushalts-Etat für die Schutzgebiete ; nach den Verhandlungen des Reichstags","1895","Gebrauchsliteratur::Politik::Rede"
"19687","","Stenographische Berichte über die Verhandlungen des durch die allerhöchste Verordnung vom ... einberufenen Deutschen Zoll-Parlaments","1869","Gebrauchsliteratur::Politik::Rede"
"18598","","Der Reichshaushalts-Etat für das Rechnungsjahr ..., nebst dem Nachtrags-Etat und dem Haushalts-Etat für die Schutzgebiete ; nach den Verhandlungen des Reichstags","1894","Gebrauchsliteratur::Politik::Rede"
"17693","","Der Reichshaushalts-Etat für das Rechnungsjahr ..., nebst dem Nachtrags-Etat und dem Haushalts-Etat für die Schutzgebiete ; nach den Verhandlungen des Reichstags","1893","Gebrauchsliteratur::Politik::Rede"
"16709","","Der deutsche Reichstag 1936. 3. Wahlperiode nach d. 30. Jan. 1933. Mit Zustimmg d. Herrn Reichstagspräsidenten hrsg. v. E[rnst] Kienast, Dir. beim Reichstag","1938","Gebrauchsliteratur::Politik::Rede"
"15974","","Reichstags-Handbuch Wahlperiode ...","1930","Gebrauchsliteratur::Politik::Rede"
"15885","","Stenographische Berichte über die Verhandlungen des durch die allerhöchste Verordnung vom ... einberufenen Deutschen Zoll-Parlaments","1870","Gebrauchsliteratur::Politik::Rede"
"15540","","Deutscher Parlaments-Almanach","1874","Gebrauchsliteratur::Politik::Rede"
"14839","","Reichstags-Handbuch Wahlperiode ...","1928","Gebrauchsliteratur::Politik::Rede"
"14764","","Reichstags-Handbuch Wahlperiode ...","1924","Gebrauchsliteratur::Politik::Rede"
"13633","","Der Reichshaushalts-Etat für das Rechnungsjahr ..., nebst dem Nachtrags-Etat und dem Haushalts-Etat für die Schutzgebiete ; nach den Verhandlungen des Reichstags","1892","Gebrauchsliteratur::Politik::Rede"
"12896","","Der Reichshaushalts-Etat für das Rechnungsjahr ..., nebst dem Nachtrags-Etat und dem Haushalts-Etat für die Schutzgebiete ; nach den Verhandlungen des Reichstags","1891","Gebrauchsliteratur::Politik::Rede"
"12490","","Reichstags-Handbuch Wahlperiode ...","1925","Gebrauchsliteratur::Politik::Rede"
"12410","","Reichstags-Handbuch Wahlperiode ...","1907","Gebrauchsliteratur::Politik::Rede"
"12039","","Der Deutsche Reichstag Wahlperiode nach d. 30. Jan. 1933","1936","Gebrauchsliteratur::Politik::Rede"
"10882","","Reichstags-Handbuch Wahlperiode ...","1912","Gebrauchsliteratur::Politik::Rede"
"10532","","Reichstags-Handbuch Wahlperiode ...","1920","Gebrauchsliteratur::Politik::Rede"
"10384","","Bürgerliches Gesetzbuch und Einführungsgesetz zum Bürgerlichen Gesetzbuche nach den Beschlüssen des Reichstages in dritter Berathung ; [Reichstag, 9. Legislatur-Periode, 4. Session 1895/96]","1896","Gebrauchsliteratur::Politik::Rede"
"9166","","Reichstags-Handbuch Wahlperiode ...","1934","Gebrauchsliteratur::Politik::Rede"
"8883","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1903","Gebrauchsliteratur::Politik::Rede"
"8697","","Reichstags-Handbuch Wahlperiode ...","1932","Gebrauchsliteratur::Politik::Rede"
"8647","","Ergebnisse der Erhebungen über die Beschäftigung gewerblicher Arbeiter an Sonn- und Festtagen","1887","Gebrauchsliteratur::Politik::Rede"
"8353","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1898","Gebrauchsliteratur::Politik::Rede"
"8271","","Deutscher Parlaments-Almanach","1871","Gebrauchsliteratur::Politik::Rede"
"8055","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1890","Gebrauchsliteratur::Politik::Rede"
"7786","","Hirth's Parlaments-Almanach","1868","Gebrauchsliteratur::Politik::Rede"
"7420","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1893","Gebrauchsliteratur::Politik::Rede"
"7213","","Handbuch der verfassunggebenden deutschen Nationalversammlung Weimar 1919 ; biographische Notizen und Bilder","1919","Gebrauchsliteratur::Politik::Rede"
"7091","","Verhandlungen des Reichstags: 4. Wahlperiode 1939","1942","Gebrauchsliteratur::Politik::Rede"
"6943","","Hirth's Parlaments-Almanach","1869","Gebrauchsliteratur::Politik::Rede"
"6009","","Deutscher Parlaments-Almanach","1878","Gebrauchsliteratur::Politik::Rede"
"5897","","Deutscher Parlaments-Almanach","1884","Gebrauchsliteratur::Politik::Rede"
"5590","","Deutscher Parlaments-Almanach","1887","Gebrauchsliteratur::Politik::Rede"
"5458","","Deutscher Parlaments-Almanach","1881","Gebrauchsliteratur::Politik::Rede"
"5287","","Verhandlungen des Reichstages","1936","Gebrauchsliteratur::Politik::Rede"
"5213","","Deutscher Parlaments-Almanach","1877","Gebrauchsliteratur::Politik::Rede"
"4325","","Verhandlungen des Reichstages","1938","Gebrauchsliteratur::Politik::Rede"
"1498","","Der deutsche Reichstag 1936. 3. Wahlperiode nach d. 30. Jan. 1933. Mit Zustimmg d. Herrn Reichstagspräsidenten hrsg. v. E[rnst] Kienast, Dir. beim Reichstag","1939","Gebrauchsliteratur::Politik::Rede"
"1242","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1896","Gebrauchsliteratur::Politik::Rede"
"1133","","Amtliches Reichstags-Handbuch Legislaturperiode ...","1902","Gebrauchsliteratur::Politik::Rede"
"991","","Reichstags-Handbuch Wahlperiode ...","1916","Gebrauchsliteratur::Politik::Rede"
