"token","author","title","year","textClass"
"193300","","Umweltblaetter","1989","Zeitung"
"145911","","Kontext","1989","Zeitung"
"141167","","Umweltblaetter","1988","Zeitung"
"137319","","Ostkreuz","1989","Zeitung"
"117084","","Kontext","1988","Zeitung"
"103251","","Umweltblaetter","1987","Zeitung"
"97952","","Grenzfall","1987","Zeitung"
"85064","","Wendezeit","1988","Zeitung"
"79587","","Forum für Kirche & Menschenrechte","1989","Zeitung"
"78083","","Friedensnetz","1988","Zeitung"
"72443","","Das Informationsblatt der Ökologischen Arbeitsgruppe beim ev. Kirchenkreis Halle/Saale","1989","Zeitung"
"68473","","Streiflichter der Arbeitsgruppe Umweltschutz Leipzig am Stadtjugendpfarramt Leipzig","1988","Zeitung"
"66914","","Friedensnetz","1989","Zeitung"
"66854","","Arche nova","1989","Zeitung"
"64665","","Telegraph","1989","Zeitung"
"57577","","Urkunde 40 Jahre","1989","Zeitung"
"55297","Ökumenischer Friedenskreis der Region Forst","Aufbruch","1988","Zeitung"
"54288","","Spuren: zur Geschichte der Friedensbewegung in der DDR ; zum Seminar ""Frieden konkret VI"" (Cottbus, 26.-28.2.1988)","1988","Zeitung"
"48273","","Ich zeige an: Berichte von Betroffenen zu den Ereignissen am 7. und 8. Oktober 1989 in Berlin","1989","Zeitung"
"48035","","Frau anders","1989","Zeitung"
"47120","","Friedrichsfelder Feuermelder","1989","Zeitung"
"45880","","Arche nova","1988","Zeitung"
"45174","","Über das Nein hinaus: Aufrisse Zwei","1988","Zeitung"
"43149","","Friedrichsfelder Feuermelder","1988","Zeitung"
"41202","","Streiflichter der Arbeitsgruppe Umweltschutz Leipzig am Stadtjugendpfarramt Leipzig","1989","Zeitung"
"39926","","Friedensreader","1985","Zeitung"
"39283","","Fußnote 3: eine Dokumentation","1988","Zeitung"
"37638","Heyme, Thorsten","Gespräche mit Jugendlichen","1989","Zeitung"
"37563","","Raster: Strukturen von Macht, Herrschaft, Gewalt ; Dokumentation der Sommerakademie des Arbeitskreises Solidarische Kirche „Raster im Kopf“, Juli 1988","1989","Zeitung"
"37475","","Jiskor: eine Textsammlung : zum Gedenken an den 50. Jahrestag des Novemberpogroms in Deutschland","1988","Zeitung"
"37406","","Aktuell","1987","Zeitung"
"35393","Tautz, Lothar; Radeke, Christian","[Wolf Biermann]","1977","Zeitung"
"34717","","Umweltblaetter","1986","Zeitung"
"34402","Šatrov, Michail","Weiter ..... weiter ..... weiter!: die Ereignisse vom 24. Oktober 1917 und was danach geschah, aus der Sicht des Autors","1987","Zeitung"
"33489","","Informationsblatt des Arbeitskreises für Umwelt und Frieden ""Grubenkante"" der Neustadtgemeinde Hoyerswerda im Martin-Luther-King-Haus","1989","Zeitung"
"32990","","Arche nova","1990","Zeitung"
"32562","","Arche-Info","1989","Zeitung"
"31378","","Grenzfall","1989","Zeitung"
"31151","Mühsam, Erich","Das Weltbild des Anarchismus","1988","Zeitung"
"30823","","Oder: literarische Texte","1987","Zeitung"
"30335","","Aufrisse: Absage an Praxis und Prinzip der Abgrenzung","1987","Zeitung"
"30197","Bahr, Egon; Edvardson, Cordelia; Walser, Martin; Richter, Edelbert","Nachdenken über das eigene Land","1989","Zeitung"
"28472","","Das Informationsblatt der Ökologischen Arbeitsgruppe beim ev. Kirchenkreis Halle/Saale","1988","Zeitung"
"28392","Ökumenischer Friedenskreis der Region Forst","Aufbruch","1989","Zeitung"
"28127","","Brief aus der Haltestelle","1989","Zeitung"
"27528","","Bekenntnis","1989","Zeitung"
"26645","","[Gedächtnisprotokolle und Notizen zu Polizeiübergriffen 1982/83 in der DDR]","1983","Zeitung"
"26609","","Solidarische Kirche","1989","Zeitung"
"26388","","Wendezeit","1987","Zeitung"
"25186","Link, Johanna","Anmerkungen zu einer politischen Ökonomie des Widerstandes","1989","Zeitung"
"24467","Beleites, Michael","Pechblende: der Uranbergbau in der DDR und seine Folgen","1988","Zeitung"
"23709","","Schalom","1984","Zeitung"
"23514","","Kroppenstedter Kirchenblättchen","1988","Zeitung"
"23321","","Vaclav Havel","1989","Zeitung"
"22855","","Nachdruck","1988","Zeitung"
"22499","","Friedensnetz","1987","Zeitung"
"22009","","Friedrichsfelder Feuermelder","1987","Zeitung"
"21648","","Aktuell","1986","Zeitung"
"21584","","Unkraut","1989","Zeitung"
"21140","","Die neue Grüne","1989","Zeitung"
"20833","Neubert, Ehrhart","Gesellschaftliche Kommunikation im sozialen Wandel","1989","Zeitung"
"20815","","Morsche Meiler: Atomkraft in der DDR : Reader zum 3. Ostberliner Ökologieseminar","1987","Zeitung"
"20729","","Aufbruch","1988","Zeitung"
"20668","","Info-Brief","1986","Zeitung"
"19963","","Wegzehrung","1988","Zeitung"
"19829","","Bringt die Birne aus der Fassung","1989","Zeitung"
"19635","","Ausblick","1989","Zeitung"
"19591","","Art. 27: für einen demokratischen Frieden","1987","Zeitung"
"19432","","Moaning star","1989","Zeitung"
"19366","","Wahlfall 89: eine Dokumentation","1989","Zeitung"
"19354","","Schuldenkrise","1988","Zeitung"
"18927","","Unsere Zukunft hat schon begonnen: Deutzen 12. Juni 1988","1988","Zeitung"
"18678","","Anarchismus und politische Praxis der Alternativbewegung","1990","Zeitung"
"18140","","Wendezeit","1989","Zeitung"
"17800","","Kroppenstedter Kirchenblättchen","1989","Zeitung"
"17658","","Friedensnetz","1984","Zeitung"
"17608","","Am Anfang war das AM","1989","Zeitung"
"17460","","Ausblick","1988","Zeitung"
"17402","","Friedrichsfelder Extrablatt","1989","Zeitung"
"17358","Stötzer, Gabriele","Dabeisein und nicht Schweigen","1977","Zeitung"
"17055","Malatesta, Errico","Anarchie","1988","Zeitung"
"16683","","Grenzfall","1988","Zeitung"
"16627","","IHN-Post","1986","Zeitung"
"16601","","Dokumenta Zion","1988","Zeitung"
"16334","","Öffnungszeit","1986","Zeitung"
"16247","","Das Erfurter Filterpapier","1989","Zeitung"
"15882","","Ein nächster Schritt auf dem Weg zur menschlichen Emanzipation: 1949 - 1989: Gedanken über die Weiterentwicklung des demokratischen Charakters der DDR : ein Memorandum zum 40. Gründungsjubiläum","1989","Zeitung"
"15490","","Der Mensch als handelndes Subjekt in der Geschichte","1989","Zeitung"
"15230","","Die Mücke: Dokumentation der Ereignisse in Leipzig","1989","Zeitung"
"14871","","Friedensreader","1984","Zeitung"
"14600","","Verhütet Euch: eine Auseinandersetzung mit Methoden der Geburtenregelung","1989","Zeitung"
"14573","","Eine Mark für Espenhain oder: Ein Protest bekommt Flügel","1987","Zeitung"
"14011","","Info-Brief","1988","Zeitung"
"13888","","Arche-Info","1988","Zeitung"
"13809","","Friedrichsfelder Extrablatt","1988","Zeitung"
"13743","","Friedensnetz","1985","Zeitung"
"13466","Mißlitz, Herbert","Lieber ein Ende den Schuldigen, als endlose Schulden: Auswirkungen ungerechter Strukturen in der Weltwirtschaft ; Beiträge, Thesen und Berichte von der Aktionswoche zur Jahrestagung von IWF und Weltbank 1988 ; ein Reader","1988","Zeitung"
"13401","","Die neue Grüne","1988","Zeitung"
"13115","","Neue Weißenseer Blätter: Arche-Info der Arbeitsgruppe Sozial-Ökologische Partnerschaft in den Evangelischen Kirchen der DDR Region Berlin-Brandenburg","1989","Zeitung"
"13113","","Was ist eigentlich Anarchie??","1989","Zeitung"
"12976","","Das Elend hat Tradition","1989","Zeitung"
"12965","","Info-Brief","1987","Zeitung"
"12711","","Bekenntnis","1988","Zeitung"
"12651","","IHN-Post","1989","Zeitung"
"12637","","Informationsbrief für unsere Mitarbeiter","1985","Zeitung"
"12323","Garstecki, Joachim","Frieden konkret II: Referat ... anläßlich des Friedensseminars in Eisenach am 3./4. März 1984","1984","Zeitung"
"12293","","Deserteure","1989","Zeitung"
"12276","","[Wir sind in die Irre gegangen ... 1933 - 1983]: [Anstöße zum Nachdenken bei kirchlichen ""Gedenkfeiern"" im Jahre 1983]","1983","Zeitung"
"12271","","Wohnsinn: zum Berliner Kirchentag 1987 : Textsammlung","1987","Zeitung"
"12267","","Demokratie grün + konkret","1989","Zeitung"
"12153","","Umweltschutz im Haushalt: tägliche Umweltsünden und mögliche Alternativen","1985","Zeitung"
"12043","","Wege zum Frieden: Material der Arbeitsgruppe Frieden der Ev.-luth. Landeskirche Mecklenburgs","1989","Zeitung"
"11910","","Zu Paul Celan: Schattenverschlüsse","1986","Zeitung"
"11755","","IHN-Post","1988","Zeitung"
"11691","","Grenzfall","1986","Zeitung"
"11661","Morsche Meiler","Wirtschaftlichkeitsdenken in der Energiepolitik","1987","Zeitung"
"11659","","Kriegsdienstverweigerung in Südafrika","1989","Zeitung"
"11530","","Streiflichter der Arbeitsgruppe Umweltschutz Leipzig am Stadtjugendpfarramt Leipzig","1983","Zeitung"
"11497","","Kontakte","1989","Zeitung"
"10923","","Abschließendes Dokument des Wiener KSZE-Treffens 1989","1989","Zeitung"
