"token","author","title","year","textClass"
"3807","Sanders, Daniel (#119242044)","Brief an Joachim Meyer","1859","Gebrauchsliteratur::Brief"
"2465","Sanders, Daniel (#119242044)","Brief an Julius Campe","1871","Gebrauchsliteratur::Brief"
"2185","Sanders, Daniel (#119242044)","Brief an Wilhelm Scherer","1876","Gebrauchsliteratur::Brief"
"2145","Sanders, Daniel (#119242044)","Brief an Joseph Kehrein","1860","Gebrauchsliteratur::Brief"
"1876","Sanders, Daniel (#119242044)","Brief an Johann Baptist Heindl","1857","Gebrauchsliteratur::Brief"
"1626","Sanders, Daniel (#119242044)","Brief an Karl Gutzkow","1875","Gebrauchsliteratur::Brief"
"1367","Sanders, Daniel (#119242044)","Brief an Ernst Ziel","1881","Gebrauchsliteratur::Brief"
"1335","Sanders, Daniel (#119242044)","Brief an Adolf Glaßbrenner","1870","Gebrauchsliteratur::Brief"
"1314","Sanders, Daniel (#119242044)","Brief an Wilhelm Scherer","1880","Gebrauchsliteratur::Brief"
"1284","Sanders, Daniel (#119242044)","Brief an Berthold Auerbach.","1878","Gebrauchsliteratur::Brief"
"1155","Sanders, Daniel (#119242044)","Brief an Edgar Vincent D'Abernon","1880","Gebrauchsliteratur::Brief"
"1154","Sanders, Daniel (#119242044)","Brief an Friedrich Hofmann","1845","Gebrauchsliteratur::Brief"
"1154","Sanders, Daniel (#119242044)","Brief an Karl Gutzkow","1876","Gebrauchsliteratur::Brief"
"1117","Sanders, Daniel (#119242044)","Brief an das Reichskanzleramt","1877","Gebrauchsliteratur::Brief"
"1022","Sanders, Daniel (#119242044)","Brief an Heinrich Schliemann","1881","Gebrauchsliteratur::Brief"
"998","Sanders, Daniel (#119242044)","Brief an Karl Gutzkow","1856","Gebrauchsliteratur::Brief"
"996","Sanders, Daniel (#119242044)","Brief an Moritz Lazarus","1882","Gebrauchsliteratur::Brief"
"992","Sanders, Daniel (#119242044)","Brief an Heinrich von Löbell","1880","Gebrauchsliteratur::Brief"
"973","Sanders, Daniel (#119242044)","Brief an Adolf Glaßbrenner","1868","Gebrauchsliteratur::Brief"
"943","Sanders, Daniel (#119242044)","Brief an Berthold Auerbach.","1869","Gebrauchsliteratur::Brief"
"936","Sanders, Daniel (#119242044)","Brief an Heinrich Schliemann","1889","Gebrauchsliteratur::Brief"
"934","Sanders, Daniel (#119242044)","Brief an Adolf Friedrich V., Großherzog von Mecklenburg-Strelitz","1894","Gebrauchsliteratur::Brief"
"902","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1879","Gebrauchsliteratur::Brief"
"889","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1878","Gebrauchsliteratur::Brief"
"887","Sanders, Daniel (#119242044)","Brief an Adolf Glaßbrenner","1871","Gebrauchsliteratur::Brief"
"868","Sanders, Daniel (#119242044)","Brief an Moritz Lazarus","1881","Gebrauchsliteratur::Brief"
"836","Sanders, Daniel (#119242044)","Brief an Berthold Auerbach.","1876","Gebrauchsliteratur::Brief"
"814","Auerbach, Berthold (#11865103X)","Brief an Daniel Sanders","1869","Gebrauchsliteratur::Brief"
"795","Sanders, Daniel (#119242044)","Brief an Otto Volger","1881","Gebrauchsliteratur::Brief"
"794","Sanders, Daniel (#119242044)","Brief an Wilhelm Scherer","1877","Gebrauchsliteratur::Brief"
"774","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1876","Gebrauchsliteratur::Brief"
"774","Sanders, Daniel (#119242044)","Brief an James Heckscher","1893","Gebrauchsliteratur::Brief"
"751","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1890","Gebrauchsliteratur::Brief"
"748","Sanders, Daniel (#119242044)","Brief an Joachim Meyer","1861","Gebrauchsliteratur::Brief"
"727","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1877","Gebrauchsliteratur::Brief"
"721","Sanders, Daniel (#119242044)","Brief an die Literaturarchivgesellschaft","1892","Gebrauchsliteratur::Brief"
"686","Sanders, Daniel (#119242044)","Brief an Adele Glaßbrenner","1885","Gebrauchsliteratur::Brief"
"674","Sanders, Daniel (#119242044)","Brief an Ernst Ziel","1880","Gebrauchsliteratur::Brief"
"668","Sanders, Daniel (#119242044)","Brief an Otto Volger","1880","Gebrauchsliteratur::Brief"
"635","Sanders, Daniel (#119242044)","Brief an Moritz Lazarus","1884","Gebrauchsliteratur::Brief"
"627","Sanders, Daniel (#119242044)","Brief an Georg Karl Frommann","1859","Gebrauchsliteratur::Brief"
"604","Sanders, Daniel (#119242044)","Brief an Karl Gutzkow","1853","Gebrauchsliteratur::Brief"
"572","Sanders, Daniel (#119242044)","Brief an Adolf Glaßbrenner","1876","Gebrauchsliteratur::Brief"
"556","Sanders, Daniel (#119242044)","Brief an Ernst Ziel","1883","Gebrauchsliteratur::Brief"
