"count","key1","key2"
"59","Dach, Simon (#11852321X)","Auff seligen wiewol hochbetrawerlichen Hintritt aus dieser Welt/ Des weiland HochEdelgebornen und Mannhafften Herrn/ Hn. Christoff Rappen: Welcher 1607. 22. Newjahrsmon. gebohren und 1657. 27. Wintermon. in hertzlicher Anruffung s"
"57","Dach, Simon (#11852321X)","Schmertzliche Klage und einfältiger Trost/ Bey dem unverhofften und recht hochbetrawerlichen wiewol seligen Abschied aus dieser Welt/ Des ... Herrn Daniel Beckhers/ Der Artzney D. und in dieser löblichen Hohen-Schulen Professors"
"55","Dach, Simon (#11852321X)","Schuldiges Ehrengedächtnis Dem Weyland Erlauchten/ Hochgebohrnen und Großmächtigen Herrn Herrn Gerharden Graffen zu Dönhoff/ Pommerellischen Woywoden/ der Lande Preüssen Schatzmeistern/ Starosten zu Marienburg ...: nachdem Se"
"51","Dach, Simon (#11852321X)","Christliche Sterb-Reime/ Bey seligem wiewol sehnlichem Ableiben Des ... Hn. Andres Rodemans/ Vornehmen Bürgers dieser löbl. Stadt Kneiphoff Königsberg/ und der ThumKirchen daselbst wolverdienten Kirchen-Vaters: Welcher/ nach de"
"50","Dach, Simon (#11852321X)","Letztes Ehren-Gedächtniß Dem Weiland HochEdelgebohrnen/ Gestrengen Vesten und Mannhafften H. Heinrich von Sacken Fürstlicher Durchleuchtigkeit zu Churland und Semgallen wolverdienten Oberraht und Land-Hoffmeister etc. etc.: Wel"
"48","Dach, Simon (#11852321X )","Die Lehrer werden leuchten wie des Himmels Glantz: Das ist: Schuldiges wiewol Einfaltiges Gedächtniß Dem Weiland ehrwürdigen/ Achtbarn und Wolgelarten Herrn Babatio","1656","Gebrauchsliteratur::Gelegenheitsschrift:Tod; Lyrik"
"48","Dach, Simon (#11852321X)","Christlicher Trost Welchen Bey frühzeitigem und kläglichem wiewol seligem Ableiben Der ... Fr. Catharinen Hawestättin/ Des ... Herrn Michael Eberts ... HaußFrawen: Welche im 24sten Jahr Ihres Alters/ nachdem Sie 1657. 20. Wein"
"46","Dach, Simon (#11852321X)","Christlicher Trost Welchen bey unverhofftem allzufrühzeitigem und dannenhero hochbetrübtem wiewol seligem Ableiben Des ... Herrn Friedrich Krintzen/ &c.: Welcher/ nachdem Er 22. und drey viertel Jahr in dieser Welt gelebet/ 1657"
"46","Dach, Simon (#11852321X)","Wolverdientes Denck- und Ehrenmahl Dem ... Herrn Johann Friesen/ dieser löblichen Stadt Kneiphoff Königsberg ... Bürgermeister: Welcher in seinem besten Alter ... 47. Jahr 7. Monat und 17. Tage gelebt/ 1655. den 18. Augustmon."
"45","Dach, Simon (#11852321X)","Einfältige Klag und Trost bey hochbetrawerlichem wiewol seligem Ableiben Des weiland WolEhrenvesten/ Achtbarn Nahmhafften und Wolweisen Hn. Joachim Löbels/ der löblichen Altenstad Königsberg wolverordneten vornehmen Rahtsverwa"
"45","Dach, Simon (#11852321X)","Einfältige Trost-Reimchen/ Dem Weyland holdseligen lieben Kinde Christian/ Des ... Herrn M. Christian Heiligendörffers Der Christlichen Gemeine auff dem Haberberge ... Seel-Sorgers und Pfar-Herrn ... Sönchen: Welches 1657. 16."
"45","Dach, Simon (#11852321X)","Einfältige und Wolgemeinte Trostreimchen bey sehr betrawerlichem aber seligem Hintritt aus dieser Welt Des Weiland WolEdlen und Vesten Hn. Sigismund Scharffen/ Königl. Mayst. in Pohlen und Schweden Secretarien etc.: Welcher 1652"
"44","Dach, Simon (#11852321X)","Christliche Sterbens-Reime Bey seligem Hintritt aus dieser Welt Der ... Fr. Gertrud Hertwichinn Des auch nunmehr Seel. Herrn Eberhards von Dühren etc. hinterlassenen Witwen: Welche 1587. 3. Martii gebohren und 1652. 31. Jul. sanf"
"44","Dach, Simon (#11852321X)","Einfältige Klag- und Trost-Reimchen Bey sehr betrawerlichem wiewol seligem Abschied aus dieser Welt Deß ... Herrn Heinrich Rohthausens/ Churfl. Durchl. zu Brandenb. wolbestalten Rentschreibers und Zollverwalters in dero Hertzogt"
"44","Dach, Simon (#11852321X)","Einfältige Trost-Reimchen Bey seligem wiewol trawerhafften Ableiben Der weiland VielEhr und Tugendsamen Frawen Elisabeth gebohrnen Polkeininn/ Des Ehrenvesten/ Namhafften und Wolweisen Herrn Christoff Ranischen/ Dieser löblichen"
"44","Dach, Simon (#11852321X)","Einfältiges Denckmal Dem weiland Ehrenvesten/ Vornehmgeachten und Wohlbenahmten H. Michael Lindnern/ Churf. Brandenb. Preuss. wolbestalten Cantzeley-Verwandten: Welcher/ nach dem er 43. Jahr/ 5. Monat/ 16. Tage gelebt 1643. den 1"
"43","Dach, Simon (#11852321X)","Hertzliches und Christliches Mitleiden Bey seligem wiewol sehr betrawerlichem Ableiben Der Weiland VielEhr und Tugendreichen Frawen Catharina gebohrnen Halbachinn von der Pforten Des Wol-Ehrn-Vesten und Hochgelahrten Herrn Sigismu"
"43","Dach, Simon (#11852321X)","Letztes Ehren-Gedächtniß Der Weyland VielEhr und Tugendreichen Frawen Barbaren/ gebohrnen Bierwolffin/ Des auch ... Herrn Jacob Schultzen/ Dieser löbl. Stad Kneiphoff Königsberg vornehmen Rahtsverwandten [et]c. hinterlassenen"
"43","Dach, Simon (#11852321X)","Wolverdientes Denckmahl Der ... Frawen Marien gebornen von Mülheim/ Des ... Herrn Heinrich von Oppens/ ErbHerrn auff Friederichsdorff etc. Sein: Churfl. Durchl. zu Brandenb. bey dero LeibRegiment ... Obristen Wachtmeisters ... Ha"
"42","Dach, Simon (#11852321X)","Einfältiger Trost/ Bey frühzeitigem und trawerhofftem wiewol seligem Abschied aus dieser Welt Des ... Herrn Georg Freylings/ Kauffgesellen: Welcher/ nach dem Er in dieser Welt 26. Jahr 6. Wochen 6. Tage Christlich gelebet/ 1654."
"42","Dach, Simon (#11852321X)","Klag- und Trost-Reimchen An die Hochbetrübte Eltern Den ... H. Michel Behmen/ Der H. Schrifft Doctor etc. und Die ... Fr. Sophia Lepnerinn: als sie Ihr Erstgebohrnes einigs Kindchen Maria Eleonora/ eines Jahres alt schmertzlich Z"
"42","Dach, Simon (#11852321X)","Schuldige Trost-Reime Bey sehr frühzeitigem und dannenher hochbetraurlichem wiewol seligem Ableiben Des weiland Lieb- und Hoffnung-reichen Knaben Albrechts/ Des ... Herrn Valentin Thilen/ Philosoph. M. auff hiesiger löblichen Ho"
"42","Dach, Simon (#11852321X)","Schuldigste Hertzliche Trawrigkeit/ Welche über dem seligen zwar Höchstbetrübten Hintritt aus dieser Welt Des ... Herrn Hn. Wilhelm Heinrichen Marggraffen und ChurErben zu Brandenb. in Preüssen ... Unsers gewesenen gnädigsten"
"42","Dach, Simon (#11852321X)","Tugend-Gebühr Welche Dem Weiland WolEdlen Vesten und Mannhafften Hn. Stephan Braden Churfürstl. Preussischen wolbestallten Majorn in dero Vestung Pillaw etc. Welcher 1649. 28. Mey. sanfft und selig in der Pillaw eingeschlaffen u"
"42","Dach, Simon (#11852321X)","Wolverdientes Denck- und Ehren-Mahl/ Dem ... Herrn Christian Winter/ von Sternfeld/ Churf. Brand. Preuss. wolverordneter Raht und Ober-Secretario/ [et]c.: Welcher/ nach dem er in dieser Welt 71. Jahr weniger 3. Tage gelebet/ 1653."
"41","Dach, Simon (#11852321X)","Christliches Ehren-Gedächtniß Der Weiland Viel Ehr und Tugendreichen Frawen Sophien/ gebohrnen Gretschinn Des ... Herrn Martin Bierwolffs ... Rahtsverwandten der löblichen Stadt Kneiphoff Königsberg [et]c. hertzlieben Ehgenoss"
"41","Dach, Simon (#11852321X)","Christliches Gedächtniß Der ... Annen Jeschkinn/ Seel. Herrn Johann Niclas Demmingers/ Churfürstl. Durchl. in Preussen wolbestallten Bernstein-Meisters hinterlassenen Witwen: Welche/ nach dem sie gelebet 95. Jahr 10. Monat 3. T"
"41","Dach, Simon (#11852321X)","Der König sprach zu seinen Knechten: Die Hochzeit ist zwar bereitet/ aber die Gäste warens nicht wehrt. Das ist: Christliche Leich-Reime/ Bey seligem wiewol betrübtem Ableiben Des ... Hn. M. Georg Bodendorffs/ Der Christlichen"
"41","Dach, Simon (#11852321X)","Moritur veluti rosa verna iuventus. Das ist Einfältige Leich-Reime Der ... Jungfr. Marien Kreischnerinn: Welche im 19. Jahr Ihres Alters im Jahr 1658. 9. Weinmon. ... entschlaffen/ und darauff den 14. in der Pfarrkirchen ... zur"
"40","Dach, Simon (#11852321X)","Billige Klage/ Welche bey frühzeitigem und dannenhero schmertzlichem Ableiben Des ... Hn. Ludwig Wilhelms von Pudewels/ Uff Rickgarben ErbHerrn: Welcher in der ersten Blüte seines Alters und Studirens/ nach dem er sein vierzehen"
"40","Dach, Simon (#11852321X)","Christlicher Trost/ Bey dem gehäufften Leide und hochbetrübten Fall/ Des ... Hn. Valentin Thielen/ Der WolRedenheit bey dieser löblichen Hohen Schulen ... Professoris Publici und Senatoris, Und seiner ... Ehfrawen Catharinen ge"
"40","Dach, Simon (#11852321X)","Einfältige Betrachtung der Ewigkeit/ Bey seligem wiewol trauerhafften Hintritt auß dieser Welt Der ... Frauen Reginen/ Gebornen Göbelinn/ Deß ... Herrn Andreas Thegen/ In der löblichen Altstadt Königsberg vornehmen Gerichts-"
"40","Dach, Simon (#11852321X)","Gedächtnis bey adelicher Leichbestattung Dem Weiland HochEdlen Gestrengen und Vesten Herrn Balthasar von Brunnen/ Seiner Churfürstl. Durchl. zu Brandenburg Friedrich Wilhelmen ... Geheimen Rahte: Gestellet 1643. 24. Wintermonat",""
