"token","author","title","year","textClass"
"2605","Schütte, Johann P. W.","[SB-Nr. 38: Johann P. W. Schütte (Unteroffizier), 02.07.1815, Norddeutsch]","1815","Gebrauchsliteratur::Brief"
"2159","Cleve, H. U.","[SB-Nr. 14: H. U. Cleve (Offizier), 11.03.1777, Norddeutsch]","1777","Gebrauchsliteratur::Brief"
"1631","Isendahl, Adolf","[SB-Nr. 57: Adolf Isendahl (Offizier), 11.06.1849, Norddeutsch]","1849","Gebrauchsliteratur::Brief"
"1626","Hoffmann, Friedrich","[SB-Nr. 44: Friedrich Hoffmann (Offizier), 07.12.1832, Ostoberdeutsch]","1832","Gebrauchsliteratur::Brief"
"1591","Freiherr von Schaezler, Edmund","[SB-Nr. 78: Edmund Freiherr von Schaezler (Unteroffizier), 09.06.1866, Ostoberdeutsch]","1866","Gebrauchsliteratur::Brief"
"1585","Zuckerschwedt, Johann B.","[SB-Nr. 20: Johann B. Zuckerschwedt (Mannschaften), 25.03.1809, Norddeutsch]","1809","Gebrauchsliteratur::Brief"
"1533","Kaufhold, Franz","[SB-Nr. 84: Franz Kaufhold (Mannschaften?), 10.07.1866, Norddeutsch]","1866","Gebrauchsliteratur::Brief"
"1487","Pogge, Carl F.","[SB-Nr. 116: Dr. Carl F. Pogge (Offizier), 17.08.1870, Norddeutsch]","1870","Gebrauchsliteratur::Brief"
"1475","Schacht, Ernst C.","[SB-Nr. 40: Ernst C. Schacht (Unteroffizier), 25.08.1815, Norddeutsch]","1815","Gebrauchsliteratur::Brief"
"1430","Schoepffer sen., Hubert","[SB-Nr. 73: Hubert Schoepffer sen. (Offizier), 09.11.1865, Ostmitteldeutsch]","1865","Gebrauchsliteratur::Brief"
"1411","Potier des Echelles, Rudolf","[SB-Nr. 66: Rudolf Potier des Echelles (Offizier), 23.02.1864, Ostoberdeutsch]","1864","Gebrauchsliteratur::Brief"
"1285","Sachse, Oscar","[SB-Nr. 64: Oscar Sachse (Offizier), 08.01.1864, Ostmitteldeutsch]","1864","Gebrauchsliteratur::Brief"
"1247","Münchhoff, Carl","[SB-Nr. 50: Carl Münchhoff (Offizier), 12.09.1848, Ostoberdeutsch]","1848","Gebrauchsliteratur::Brief"
"1240","Barby, Adalbert","[SB-Nr. 161: Adalbert von Barby (Offizier), 30.04.1871, Norddeutsch]","1871","Gebrauchsliteratur::Brief"
"1239","Lippelt, Heinrich","[SB-Nr. 62: Heinrich Lippelt (Offizier), 28.09.1861, Norddeutsch]","1861","Gebrauchsliteratur::Brief"
"1010","Anderten, E. P.","[SB-Nr. 12: E. P. von Anderten (Offizier?), 30.09.1762, Norddeutsch]","1762","Gebrauchsliteratur::Brief"
"1009","Strombeck, Johann H. T.","[SB-Nr. 31: Johann H. T. von Strombeck (Offizier), 10.05.1813, Norddeutsch]","1813","Gebrauchsliteratur::Brief"
"1008","Kubel, August","[SB-Nr. 37: August Kubel (Unteroffizier), 22.06.1815, Norddeutsch]","1815","Gebrauchsliteratur::Brief"
"968","Schulze, Julius","[SB-Nr. 81: Julius Schulze (Mannschaften), 20.06.1866, Norddeutsch]","1866","Gebrauchsliteratur::Brief"
"944","Marx, Jakob","[SB-Nr. 129: Jakob Marx (Mannschaften), 30.10.1870, Ostoberdeutsch]","1870","Gebrauchsliteratur::Brief"
"888","Reinhard, Friedrich","[SB-Nr. 18: Friedrich Reinhard (Offizier), 03.08.1798, Westoberdeutsch]","1798","Gebrauchsliteratur::Brief"
"877","Barby, Adalbert","[SB-Nr. 128: Adalbert von Barby (Offizier), 22.10.1870, Norddeutsch]","1870","Gebrauchsliteratur::Brief"
"871","Tettschlag, Carl","[SB-Nr. 89: Carl Tettschlag (Mannschaften?), 30.07.1866, Norddeutsch]","1866","Gebrauchsliteratur::Brief"
