"token","author","title","year","textClass"
"81740","","","1950","gesprochen"
"67158","Runge, Erika","Bottroper Protokolle","1968","gesprochen"
"65775","","Plenarprotokoll 14/3","1998","gesprochen"
"60357","","Plenarprotokoll 14/40","1999","gesprochen"
"53866","","Plenarprotokoll 14/56","1999","gesprochen"
"42696","","","1955","gesprochen"
"35596","","Plenarprotokoll 14/17","1999","gesprochen"
"35331","unknown","","1989","gesprochen"
"31223","unknown","","1992","gesprochen"
"30759","","","1947","gesprochen"
"26082","unknown","","1994","gesprochen"
"25320","unknown","","1997","gesprochen"
"25133","unknown","","1993","gesprochen"
"24875","unknown","","1996","gesprochen"
"24572","","Interview IS054A","1994","gesprochen"
"24096","unknown","","1990","gesprochen"
"23422","unknown","","1983","gesprochen"
"20892","unknown","","1988","gesprochen"
"19648","","Interview IS001A","1989","gesprochen"
"18268","","Interview IS037A","1989","gesprochen"
"18146","unknown","","1998","gesprochen"
"16630","","Das Literarische Quartett vom 8. Oktober 1992","1992","gesprochen"
"16490","","Das Literarische Quartett vom 14. Dezember 2001","2001","gesprochen"
"16356","","Das Literarische Quartett vom 19. November 1992","1992","gesprochen"
"16349","","Das Literarische Quartett vom 3. Juni 1988","1988","gesprochen"
"16116","","Das Literarische Quartett vom 20. April 1995","1995","gesprochen"
"15889","","Das Literarische Quartett vom 13. August 1992","1992","gesprochen"
"15853","","Das Literarische Quartett vom 10. März 1989","1989","gesprochen"
"15815","","Das Literarische Quartett vom 9. Dezember 1991","1991","gesprochen"
"15789","","Das Literarische Quartett vom 26. August 1999","1999","gesprochen"
"15778","","Das Literarische Quartett vom 13. Juni 1996","1996","gesprochen"
"15679","","Das Literarische Quartett vom 16. Dezember 1988","1988","gesprochen"
"15615","","Das Literarische Quartett vom 28. Mai 1992","1992","gesprochen"
"15551","","Das Literarische Quartett vom 30. September 1988","1988","gesprochen"
"15536","","Das Literarische Quartett vom 14. Januar 1993","1993","gesprochen"
"15492","","Das Literarische Quartett vom 30. Juni 2000","2000","gesprochen"
"15457","","Das Literarische Quartett vom 16. Juni 1989","1989","gesprochen"
"15340","","Das Literarische Quartett vom 25. März 1988","1988","gesprochen"
"15323","","Das Literarische Quartett vom 13. Mai 1993","1993","gesprochen"
"15290","","Das Literarische Quartett vom 12. Dezember 1993","1993","gesprochen"
"15275","","Das Literarische Quartett vom 18. März 1993","1993","gesprochen"
"15235","","Das Literarische Quartett vom 12. Oktober 1989","1989","gesprochen"
"15221","","Das Literarische Quartett vom 15. August 1993","1993","gesprochen"
"15214","","Das Literarische Quartett vom 14. Mai 1990","1990","gesprochen"
"15187","unknown","","1991","gesprochen"
"15103","","Das Literarische Quartett vom 18. August 2000","2000","gesprochen"
"15075","","Das Literarische Quartett vom 22. September 1994","1994","gesprochen"
"15044","","Das Literarische Quartett vom 30. November 1989","1989","gesprochen"
"15039","","Das Literarische Quartett vom 28. Februar 1997","1997","gesprochen"
"14984","","Das Literarische Quartett vom 15. Dezember 1994","1994","gesprochen"
"14966","","Das Literarische Quartett vom 27. Oktober 2000","2000","gesprochen"
"14905","","Das Literarische Quartett vom 14. Dezember 1995","1995","gesprochen"
"14893","","Das Literarische Quartett vom 4. Mai 2001","2001","gesprochen"
"14866","","Das Literarische Quartett vom 31. März 1994","1994","gesprochen"
"14861","","Das Literarische Quartett vom 16. August 1996","1996","gesprochen"
"14823","","Das Literarische Quartett vom 10. Oktober 1991","1991","gesprochen"
"14821","","Das Literarische Quartett vom 10. Dezember 1990","1990","gesprochen"
"14801","","Das Literarische Quartett vom 6. Juli 1995","1995","gesprochen"
"14785","","Das Literarische Quartett vom 14. August 1997","1997","gesprochen"
"14665","","Das Literarische Quartett vom 21. Oktober 1993","1993","gesprochen"
"14651","","Das Literarische Quartett vom 24. August 1995","1995","gesprochen"
"14648","","Das Literarische Quartett vom 2. März 2001","2001","gesprochen"
"14646","","Das Literarische Quartett vom 18. Juli 1991","1991","gesprochen"
"14573","","Das Literarische Quartett vom 12. Februar 1990","1990","gesprochen"
"14568","","Das Literarische Quartett vom 23. Februar 1995","1995","gesprochen"
"14553","","Interview IS045A","1994","gesprochen"
"14508","","Das Literarische Quartett vom 24. April 1998","1998","gesprochen"
"14408","","Das Literarische Quartett vom","2000","gesprochen"
"14371","","Das Literarische Quartett vom 5. März 1992","1992","gesprochen"
"14353","","Das Literarische Quartett vom 10. Oktober 1997","1997","gesprochen"
"14340","","Das Literarische Quartett vom 22. Februar 1996","1996","gesprochen"
"14340","","Das Literarische Quartett vom 26. Mai 1994","1994","gesprochen"
"14299","","Das Literarische Quartett vom 24. Februar 1994","1994","gesprochen"
"14267","","Das Literarische Quartett vom 11. Dezember 1998","1998","gesprochen"
"14228","","Das Literarische Quartett vom 19. Oktober 1995","1995","gesprochen"
"14193","","Das Literarische Quartett vom 18. Februar 1991","1991","gesprochen"
"14156","","Das Literarische Quartett vom 25. Februar 2000","2000","gesprochen"
"14154","","Das Literarische Quartett vom 26. April 1996","1996","gesprochen"
"14022","","Das Literarische Quartett vom 1. Oktober 1990","1990","gesprochen"
"13990","","Das Literarische Quartett vom 10. Dezember 1999","1999","gesprochen"
"13987","","Das Literarische Quartett vom 25. August 1994","1994","gesprochen"
"13958","","Das Literarische Quartett vom 6. Mai 1991","1991","gesprochen"
"13940","","Das Literarische Quartett vom 14. August 1998","1998","gesprochen"
"13932","","Das Literarische Quartett vom 25. April 1997","1997","gesprochen"
"13910","","Das Literarische Quartett vom 22. Juni 2001","2001","gesprochen"
"13885","","Das Literarische Quartett vom 5. März 1999","1999","gesprochen"
"13841","","Das Literarische Quartett vom 15. Dezember 2000","2000","gesprochen"
"13770","","Plenarprotokoll 14/1","1998","gesprochen"
"13750","","Das Literarische Quartett vom 23. April 1999","1999","gesprochen"
"13745","","Das Literarische Quartett vom 11. Dezember 1997","1997","gesprochen"
"13605","","Das Literarische Quartett vom 18. Oktober 1996","1996","gesprochen"
"13494","","Das Literarische Quartett vom 5. Juni 1998","1998","gesprochen"
"13452","","Interview IS048A","1993","gesprochen"
"13438","","Das Literarische Quartett vom 6. Februar 1998","1998","gesprochen"
"13379","","Das Literarische Quartett vom 30. Oktober 1998","1998","gesprochen"
"13241","","Das Literarische Quartett vom 19. Oktober 2001","2001","gesprochen"
"13203","","Das Literarische Quartett vom 13. Juni 1997","1997","gesprochen"
"13064","","Das Literarische Quartett vom 17. August 2001","2001","gesprochen"
"13054","","Das Literarische Quartett vom 15. Dezember 1996","1996","gesprochen"
"12967","","Das Literarische Quartett vom 18. Juni 1999","1999","gesprochen"
"12958","","Das Literarische Quartett vom 13. August 1999","1999","gesprochen"
"12952","","Das Literarische Quartett vom 29. Oktober 1999","1999","gesprochen"
"12864","","Interview IS069A","1993","gesprochen"
"12611","","Interview IS043A","1994","gesprochen"
"12133","unknown","","1980","gesprochen"
"11641","","Ansprachen von Alfred Rosenberg, Erich Hilgenfeldt und Gerhard Wagner auf dem Reichsparteitag der NSDAP","1938","gesprochen"
"11461","","Parteikongress der NSDAP in Nürnberg","1936","gesprochen"
"11452","unknown","","1985","gesprochen"
"10902","","Tagung der NS-Reichsfrauenschaft auf dem Reichsparteitag der NSDAP in der Nürnberger Kongresshalle","1936","gesprochen"
"10679","","Kundgebung im Berliner Sportpalast mit Gauleiter Streicher und dem italienischen Minister Farinacci zur Judenfrage","1939","gesprochen"
"9751","unknown","","1987","gesprochen"
"9394","unknown","","1995","gesprochen"
"9390","Hitler, Adolf","Die Revolution ist für uns kein permanenter Zustand?","1934","gesprochen"
"9016","","Ansprache auf der Reichsarbeitstagung der Reichsrundfunkkammer in Marienbad","1939","gesprochen"
"8856","","Großkundgebung auf der sechsten Reichstagung der Auslandsdeutschen in der Stuttgarter Stadthalle","1938","gesprochen"
"8816","unknown","","1986","gesprochen"
"8595","","Schlusssitzung des Dritten Reichsbauerntages in Goslar","1935","gesprochen"
"8490","","Kundgebung der NSDAP im Berliner Sportpalast","1932","gesprochen"
"8450","","Ansprache zur Eröffiiung der Ausstellung ,,Entartete Musik"" im Düsseldorfer Kunstpalast (Vollständige Fassung)","1938","gesprochen"
"8335","","Reichsparteitag der NSDAP: Kulturtagung im Nürnberger Opernhaus","1935","gesprochen"
"8202","Hitler, Adolf","... auf daß Europa ein neues Glück des Friedens zuteil wird!","1941","gesprochen"
"8194","","Reichsparteitag der NSDAP in der Nürnberger Kongresshalle","1935","gesprochen"
"8134","","Reichsparteitag der NSDAP in Nürnberg Abschlussveranstaltung in der Kongresshalle","1936","gesprochen"
"8023","","Ansprache Alfred Rosenbergs in Breslau","1940","gesprochen"
"7996","Hitler, Adolf","Kulturtagung der NSDAP im Opernhaus","1937","gesprochen"
"7788","","Eröffnung des Gautages der NSDAP Ostpreußen im Königsberger Schloss","1938","gesprochen"
"7707","Hitler, Adolf","Für eine Verständigung der Völker Europas ...","1936","gesprochen"
"7485","","Deutsche Mainacht der Hitlerjugend und des Bundes Deutscher Mädel im Bodetal, Harz","1933","gesprochen"
"7377","Hitler, Adolf","Primat der deutschen Politik: Wiederherstellung eines gesunden, nationalen und schlagkräftigen deutschen Volkskörpers?","1932","gesprochen"
"7183","","Tagung der Südosteuropa-Gesellschaft in Prag","1941","gesprochen"
"7075","Hitler, Adolf","Die Schande von Compiègne ist für immer gelöscht","1965","gesprochen"
"6972","Hitler, Adolf","Unsere Gegner sollen sich nicht täuschen!","1941","gesprochen"
"6774","","Protestkundgebung der Flüchtlingsorganisation der Sudentendeutschen Partei in Dresden","1938","gesprochen"
"6708","","Großkundgebung der NSDAP in der Prager Messehalle","1939","gesprochen"
"6695","Hitler, Adolf","Was soll das Ende sein?","1934","gesprochen"
"6269","","Germanische Osterfeier von den ""Sieben Steinhäusern"" bei Fallingbostel","1933","gesprochen"
"5779","","""Tag der Nation"" in der Potsdamer Garnisonkirche","1933","gesprochen"
"5695","","Ansprache vor Betriebsangehörigen in Polen","1939","gesprochen"
"5644","","Eröffnung der ""Frühjahrsarbeitsschlacht"" an der Baustelle Unterhaching der Reichsautobahn München - Salzburg","1934","gesprochen"
"5525","","Rechenschaftsbericht an Reichsminister Rosenberg in Kiew","1943","gesprochen"
"5453","","Einsetzung des Gauleiters Karl Kaufmann als Reichsstatthalter von Hamburg sowie Vereidigung des neuen Hamburger Senats","1933","gesprochen"
"5343","Hitler, Adolf","Deutsches Volk, trage auch du jetzt deine Waffe!","1938","gesprochen"
"5310","Hitler, Adolf","Das deutsche Volk will mit der Welt in Frieden leben?","1934","gesprochen"
"5109","","Reportagen von der Saarabstimmung in Saarbrücken, St. Wendel und Saarlouis","1935","gesprochen"
"4890","","Reportage vom Fackelzug der SA-, SS- und Stahlhelmformationen vor der Berliner Reichskanzlei anlässlich der Ernennung Hitlers zum Reichskanzler","1933","gesprochen"
"4762","","Kundgebung in Warschau anlässlich der Eröffnung des Kriegswinterhilfswerks 1940/41 im Generalgouvernement","1940","gesprochen"
"4719","","Feierstunde in Posen zur Eröffnung des Osteinsatzes und des Landdienstes der Jugend","1942","gesprochen"
"4654","","Eröffnung der 16. Großen Deutschen Rundfunk- und Fernsehausstellung 1939 auf dem Berliner Messegelände","1939","gesprochen"
"4621","","Gau-Appell des Gaues Ostpreußen der NSDAP im Schlosshof zu Königsberg","1939","gesprochen"
"4621","","Schlussansprache von J. Goebbels anlässlich der 5. Jahrestagung der Auslandsorganisation der NSDAP im Hof des Stuttgarter Schlosses","1937","gesprochen"
"4524","","Kundgebung in Znaim anlässlich der Aufteilung sudetendeutscher Gebiete in NSDAP-Gaue Nieder- und Oberdonau, Schlesien und Bayerische Ostmark","1939","gesprochen"
"4499","","Grundsteinlegung des Volkswagenwerkes bei Fallersleben am Mittellandkanal","1938","gesprochen"
"4466","","Staatsakt zum Jahrestag der Gründung des Generalgouvernements","1940","gesprochen"
"4418","","Appell auf der Zeche Jacobi in Bottrop","1938","gesprochen"
"4406","Hitler, Adolf","Die deutsche Kunst als stolzeste Verteidigung des deutschen Volkes?","1934","gesprochen"
"4368","","Kundgebung in Prachatitz: Feierliche Eingliederung des Böhmerwaldgebietes in den Gau ""Bayerische Ostmark"" der NSDAP","1939","gesprochen"
"4363","","Stapellauf des Marine-Segelschulschiffes ""Gorch Fock"" auf der Hamburger Werft Blohm & Voss""","1933","gesprochen"
"4307","Hitler, Adolf","Kampf der Teufelsmacht ... dem Juden?","1925","gesprochen"
"4198","","Eröffnung der ""Woche des Deutschen Buches"" in der Weimarhalle in Weimar","1936","gesprochen"
"4122","Bruno Schrep","","1988","gesprochen"
"4118","","Kundgebung anlässlich des 6. Reichswettkampfes der Marine-HJ in Stralsund","1943","gesprochen"
"4111","","Reportage vom Großen Preis von Deutschland auf dem Nürburgring","1932","gesprochen"
"4097","","Die Erneuerung der Universität","1933","gesprochen"
"4077","Hitler, Adolf","Deutschland fordert nicht Waffen, sondern Gleichberechtigung?","1934","gesprochen"
"4049","","Reportage vom Besuch Mussolinis in Essen","1937","gesprochen"
"4039","Hitler, Adolf","Wenn wir Stalingrad berennen und es auch nehmen werden ...","1942","gesprochen"
