"count","key1","key2","key3","key4"
"2355","Dincklage, Emmy von (#116137312)","Hochgeboren","1869","Belletristik::Novelle"
"2178","Auer, Adelheid von (#113665946)","Nach zwanzig Jahren","1858","Belletristik::Novelle"
"1885","Westkirch, Luise (#11732065X)","Die Fortuna von Praeneste","1926","Belletristik::Novelle"
"1426","Alexis, Willibald (#118648071)","Die Schlacht bei Torgau","1830","Belletristik::Novelle"
"1050","Dincklage, Emmy von (#116137312)","Bauern-Adel","1873","Belletristik::Novelle"
"866","Dincklage, Emmy von (#116137312)","Der lederne Bräutigam","1857","Belletristik::Novelle"
"823","Auer, Adelheid von (#113665946)","Befreite Gefangene!","1873","Belletristik::Novelle"
"817","Dincklage, Emmy von (#116137312)","Püntjer Dörken","1873","Belletristik::Novelle"
"665","Dincklage, Emmy von (#116137312)","Die zehnte Muse","1873","Belletristik::Novelle"
"647","Dincklage, Emmy von (#116137312)","Seine Excellenz","1873","Belletristik::Novelle"
"639","Dincklage, Emmy von (#116137312)","Die Ungleichen","1873","Belletristik::Novelle"
"632","Dincklage, Emmy von (#116137312)","Das Unglückskind","1872","Belletristik::Novelle"
"619","Dincklage, Emmy von (#116137312)","Die Bienenkönigin","1873","Belletristik::Novelle"
"605","Auer, Adelheid von (#113665946)","Entschieden!","1868","Belletristik::Novelle"
"585","Dincklage, Emmy von (#116137312)","Matrosen-Pan","1874","Belletristik::Novelle"
"543","Dincklage, Emmy von (#116137312)","Die Burgmannshöfe","1873","Belletristik::Novelle"
"529","Dincklage, Emmy von (#116137312)","In dreifachen Banden","1873","Belletristik::Novelle"
"517","Dincklage, Emmy von (#116137312)","Ihr eigener Herr","1872","Belletristik::Novelle"
"464","Dincklage, Emmy von (#116137312)","Die Ohmsager von Poggendiek","1873","Belletristik::Novelle"
"446","Dincklage, Emmy von (#116137312)","Die quade Grethe","1872","Belletristik::Novelle"
"432","Dincklage, Emmy von (#116137312)","Lütke Lü","1872","Belletristik::Novelle"
"409","Dincklage, Emmy von (#116137312)","Die Wiedergeher","1872","Belletristik::Novelle"
"384","Auer, Adelheid von (#113665946)","Sonnenaufgang und Sonnenuntergang","1858","Belletristik::Novelle"
"331","Auer, Adelheid von (#113665946)","Die beiden Grafen","1858","Belletristik::Novelle"
"318","Dincklage, Emmy von (#116137312)","Das alte Liebespaar","1857","Belletristik::Novelle"
"227","Dincklage, Emmy von (#116137312)","Das Volkslied des Emslandes","1872","Belletristik::Novelle"
"169","Alexis, Willibald (#118648071)","Die Erscheinung von Anklam","1830","Belletristik::Novelle"
"101","Dincklage, Emmy von (#116137312)","Ein Frühlingsbrief aus Venedig","1874","Belletristik::Novelle"
