"token","author","title","year","textClass"
"81417","Krukenberg, Elsbeth (#117550949)","Die Frauenbewegung: ihre Ziele und ihre Bedeutung","1905","Gebrauchsliteratur::Gesellschaft"
"67807","Ichenhaeuser, Eliza (#117614580)","Frauenziele: Aufgaben der Frauenbewegung","1913","Gebrauchsliteratur::Gesellschaft"
"60339","Cohn, Gustav","Die deutsche Frauenbewegung: Eine Betrachtung über deren Entwicklung und Ziele","1896","Gebrauchsliteratur::Gesellschaft"
"46121","Dohm, Hedwig","Der Jesuitismus im Hausstande: Ein Beitrag zur Frauenfrage","1873","Gebrauchsliteratur::Gesellschaft"
"44865","Zetkin, Clara (#118636618)","Zur Frage des Frauenwahlrechts","1907","Gebrauchsliteratur::Gesellschaft"
"42317","Dühring, Eugen (#118527797)","Der Weg zur höheren Berufsbildung der Frauen und die Lehrweise der Universitäten","1885","Gebrauchsliteratur::Gesellschaft"
"37757","Dohm, Hedwig (#11852643X)","Der Frauen Natur und Recht","1876","Gebrauchsliteratur::Gesellschaft"
"37263","Kautsky, Karl (#118560808); Schönlank, Bruno (#116888970)","Grundsätze und Forderungen der Sozialdemokratie: Erläuterungen zum Erfurter Programm","1907","Gebrauchsliteratur::Gesellschaft"
"36962","Lewald, Fanny (#118572393)","Für und wider die Frauen: Vierzehn Briefe","1870","Gebrauchsliteratur::Gesellschaft"
"36467","Langemann, Ludwig (#101255896); Hummel, Helene (#102182515)","Frauenstimmrecht und Frauenemanzipation: Denkschrift des Deutschen Bundes gegen die Frauenemanzipation","1916","Gebrauchsliteratur::Gesellschaft"
"32782","Bebel, August (#118507893)","Die Sozialdemokratie und das Allgemeine Stimmrecht: Mit besonderer Berücksichtigung des Frauen-Stimmrechts und Proportional-Wahlsystems","1895","Gebrauchsliteratur::Gesellschaft"
"22483","Lange, Helene (#11856935X)","Die höhere Mädchenschule und ihre Bestimmung: Begleitschrift zu einer Petition an das preußische Unterrichtsministerium und das preußische Abgeordnetenhaus","1887","Gebrauchsliteratur::Gesellschaft"
"22300","Meisel-Heß, Grete (#119017660)","Weiberhaß und Weiberverachtung: Eine Erwiderung auf die in Dr. Otto Weiningers Buche »Geschlecht und Charakter« geäußerten Anschauungen über »Die Frau und ihre Frage«","1904","Gebrauchsliteratur::Gesellschaft"
"21643","Braun, Lily","Die Frauen und die Politik","1903","Gebrauchsliteratur::Gesellschaft"
"20986","Ichenhaeuser, Eliza (#117614580)","Die politische Gleichberechtigung der Frau","1898","Gebrauchsliteratur::Gesellschaft"
"18085","Lischnewska, Maria","Die deutsche Frauenstimmrechtsbewegung zwischen Krieg und Frieden","1915","Gebrauchsliteratur::Gesellschaft"
"16681","Walcker, Karl (#117116769)","Die Frauenbewegung: Kritische Betrachtungen","1896","Gebrauchsliteratur::Gesellschaft"
"15606","Hilty, Carl (#118705032)","Frauenstimmrecht","1897","Gebrauchsliteratur::Gesellschaft"
"13273","Martin, Marie","Wahre Frauenbildung: Ein Mahnwort an die Gebildeten","1905","Gebrauchsliteratur::Gesellschaft"
"12793","Reeves, William Pember (#1158456573)","Das politische Wahlrecht der Frauen in Australien","1904","Gebrauchsliteratur::Gesellschaft"
"12379","Mill, John Stuart (#118582461)","Ueber Frauenemancipation","1880","Gebrauchsliteratur::Gesellschaft"
"12270","Kirchhoff, Auguste (#118865307)","Warum muß der Deutsche Verband für Frauenstimmrecht sich zum allgemeinen, gleichen, geheimen und direkten Wahlrecht bekennen?","1912","Gebrauchsliteratur::Gesellschaft"
"11095","Ledermann, Frieda","Zur Geschichte der Frauenstimmrechtsbewegung","1918","Gebrauchsliteratur::Gesellschaft"
"10873","Herkner, H.","Das Frauenstudium der Nationalökonomie","1899","Gebrauchsliteratur::Gesellschaft"
"10409","Ohr, Julie","Die Studentin der Gegenwart","1909","Gebrauchsliteratur::Gesellschaft"
"10342","Heymann, Lida Gustava (#118704524)","Frauenstimmrecht und Völkerverständigung","1917","Gebrauchsliteratur::Gesellschaft"
