"token","author","title","year","textClass"
"255937","","Jahrbuch des Schweizer Alpen-Clubs, 1890","1890","Zeitung"
"228440","","Jahrbuch des Schweizer Alpen-Clubs, 1894","1894","Zeitung"
"227924","","Jahrbuch des Schweizer Alpen-Clubs, 1895","1895","Zeitung"
"227267","","Jahrbuch des Schweizer Alpen-Clubs, 1891","1891","Zeitung"
"224425","","Jahrbuch des Schweizer Alpen-Clubs, 1892","1892","Zeitung"
"219758","","Jahrbuch des Schweizer Alpen-Clubs, 1899","1899","Zeitung"
"217459","","Jahrbuch des Schweizer Alpen-Clubs, 1893","1893","Zeitung"
"209990","","Jahrbuch des Schweizer Alpen-Clubs, 1868","1868","Zeitung"
"208745","","Jahrbuch des Schweizer Alpen-Clubs, 1897","1897","Zeitung"
"203514","","Jahrbuch des Schweizer Alpen-Clubs, 1883","1883","Zeitung"
"201027","","Jahrbuch des Schweizer Alpen-Clubs, 1896","1896","Zeitung"
"199954","","Jahrbuch des Schweizer Alpen-Clubs, 1900","1900","Zeitung"
"194158","","Jahrbuch des Schweizer Alpen-Clubs, 1898","1898","Zeitung"
"194089","","Jahrbuch des Schweizer Alpen-Clubs, 1889","1889","Zeitung"
"179292","","Jahrbuch des Schweizer Alpen-Clubs, 1887","1887","Zeitung"
"174717","","Jahrbuch des Schweizer Alpen-Clubs, 1867","1867","Zeitung"
"174239","","Jahrbuch des Schweizer Alpen-Clubs, 1879","1879","Zeitung"
"171113","","Jahrbuch des Schweizer Alpen-Clubs, 1877","1877","Zeitung"
"169376","","Jahrbuch des Schweizer Alpen-Clubs, 1884","1884","Zeitung"
"167563","","Jahrbuch des Schweizer Alpen-Clubs, 1880","1880","Zeitung"
"167184","","Jahrbuch des Schweizer Alpen-Clubs, 1874","1874","Zeitung"
"165001","","Jahrbuch des Schweizer Alpen-Clubs, 1878","1878","Zeitung"
"163378","","Jahrbuch des Schweizer Alpen-Clubs, 1866","1866","Zeitung"
"161749","","Jahrbuch des Schweizer Alpen-Clubs, 1873","1873","Zeitung"
"160878","","Jahrbuch des Schweizer Alpen-Clubs, 1869","1869","Zeitung"
"160048","","Jahrbuch des Schweizer Alpen-Clubs, 1885","1885","Zeitung"
"157783","","Jahrbuch des Schweizer Alpen-Clubs, 1881","1881","Zeitung"
"153082","","Jahrbuch des Schweizer Alpen-Clubs, 1864","1864","Zeitung"
"152248","","Jahrbuch des Schweizer Alpen-Clubs, 1872","1872","Zeitung"
"151376","","Jahrbuch des Schweizer Alpen-Clubs, 1875","1875","Zeitung"
"151227","","Jahrbuch des Schweizer Alpen-Clubs, 1888","1888","Zeitung"
"148512","","Jahrbuch des Schweizer Alpen-Clubs, 1865","1865","Zeitung"
"148455","","Jahrbuch des Schweizer Alpen-Clubs, 1882","1882","Zeitung"
"143598","","Jahrbuch des Schweizer Alpen-Clubs, 1876","1876","Zeitung"
"142813","","Jahrbuch des Schweizer Alpen-Clubs, 1886","1886","Zeitung"
"140792","","Jahrbuch des Schweizer Alpen-Clubs, 1871","1871","Zeitung"
