"token","author","title","year","textClass"
"34700","","La grosse magouille","2004","gesprochen"
"32362","","Scarface","2002","gesprochen"
"31671","","Förhandlaren","2012","gesprochen"
"31324","","Django Unchained","2013","gesprochen"
"30758","","The Secret - Das Geheimnis","2011","gesprochen"
"28393","","Metro","2013","gesprochen"
"28253","","The Wolf of Wall Street","2014","gesprochen"
"28176","","V för Vendetta","2013","gesprochen"
"27417","","Shoah","2004","gesprochen"
"26016","","My Cousin Vinny","2003","gesprochen"
"25274","","Barbershop","2005","gesprochen"
"24890","","Sherlock Holmes","2011","gesprochen"
"24679","","From Puppets to Pixels: Digital Characters in 'Episode II'","2002","gesprochen"
"24020","","White Heat","2011","gesprochen"
"23489","","Moment 22","2005","gesprochen"
"23464","","Spökslottet","2007","gesprochen"
"23425","","Ningen no jôken","2013","gesprochen"
"23376","","Loser","2001","gesprochen"
"23183","","Paul","2011","gesprochen"
"23090","","""Falling Skies"" On Thin Ice","2013","gesprochen"
"22946","","Anatomie eines Mordes","2008","gesprochen"
"22910","","Pumuckl und der blaue Klabauter","2008","gesprochen"
"22575","","Les enfants du paradis","2014","gesprochen"
"22434","","Jacquot de Nantes","2013","gesprochen"
"22156","","Gyakuten saiban","2013","gesprochen"
"21896","","Location Production Footage: The Last Temptation of Christ","2001","gesprochen"
"21626","","""Warehouse 13"" Pilot","2009","gesprochen"
"21348","","La Dolce Vita","2009","gesprochen"
"21110","","Evolution","2005","gesprochen"
"20523","","Horrible Bosses","2012","gesprochen"
"20377","","Trust","2012","gesprochen"
"20289","","40 ans: mode d'emploi","2013","gesprochen"
"20051","","We're the Millers","2013","gesprochen"
"19987","","My Fair Lady","2002","gesprochen"
"19942","","The Social Network","2011","gesprochen"
"19903","","""Seinfeld"" The Switch","2007","gesprochen"
"19876","","The Master","2013","gesprochen"
"19871","","Der Vorname","2013","gesprochen"
"19831","","The Women","2009","gesprochen"
"19627","","Spaceballs","2005","gesprochen"
"19582","","Zeitgeist: Addendum","2008","gesprochen"
"19500","","American Gangster","2008","gesprochen"
"19446","","The Manchurian Candidate","2005","gesprochen"
"19436","","Rang zi dan fei","2014","gesprochen"
"19319","","All About Eve","2010","gesprochen"
"19212","","Zeitgeist","2008","gesprochen"
"19106","","Scener ur ett aktenskap","2010","gesprochen"
"18590","","Apocalypse 2024","2012","gesprochen"
"18524","","Clerks","2005","gesprochen"
"18455","","The Departed","2009","gesprochen"
"18441","","Magnolia","2005","gesprochen"
"18389","","Alle elsker Mary","2007","gesprochen"
"18317","","Twilight Zone: The Movie","2008","gesprochen"
"18127","","Ji ji","2014","gesprochen"
"18125","","Lolita","2003","gesprochen"
"18116","","Rocco e i suoi fratelli","2014","gesprochen"
"18111","","Charlie: The Life and Art of Charles Chaplin","2010","gesprochen"
"18108","","Zettl","2012","gesprochen"
"18106","","The Prisoner of Second Avenue","2011","gesprochen"
"18084","","It's a Wonderful Life","2008","gesprochen"
"18067","","The Heat","2013","gesprochen"
"18061","","Hangmen Also Die!","2012","gesprochen"
"18011","","Avanti!","2012","gesprochen"
"17819","","Pirates of the Caribbean: The Curse of the Black Pearl","2004","gesprochen"
"17798","","American Psycho","2003","gesprochen"
"17741","","Exodus","2012","gesprochen"
"17741","","The Obama Deception: The Mask Comes Off","2012","gesprochen"
"17717","","New Year's Eve","2012","gesprochen"
"17698","","Kids","2004","gesprochen"
"17698","","Même heure, l'année prochaine","2011","gesprochen"
"17527","","Look, Up in the Sky! The Amazing Story of Superman","2013","gesprochen"
"17504","","Arthur","2013","gesprochen"
"17360","","40 Days and 40 Nights","2005","gesprochen"
"17292","","Hollywood Sex Wars","2013","gesprochen"
"17176","","The Philadelphia Story","2010","gesprochen"
"17113","","Zweiohrküken","2012","gesprochen"
"17090","","Das ist das Ende","2013","gesprochen"
"17083","","Bullets Over Broadway","2014","gesprochen"
"17066","","Armageddon","2002","gesprochen"
"17032","","Mujhse Shaadi Karogi","2013","gesprochen"
"16845","","Becsületből elégtelen","2010","gesprochen"
"16832","","Going the Distance","2011","gesprochen"
"16827","","Hangover","2011","gesprochen"
"16804","","What in the World Are They Spraying?","2010","gesprochen"
"16706","","Inside Job","2012","gesprochen"
"16681","","Changeling","2012","gesprochen"
"16618","","The World Is Not Enough","2000","gesprochen"
"16614","","Das fliegende Klassenzimmer","2012","gesprochen"
"16596","","The Dark Knight Rises","2013","gesprochen"
"16570","","Transformers: Revenge of the Fallen","2014","gesprochen"
"16545","","Transformers","2008","gesprochen"
"16543","","Kokowääh 2","2013","gesprochen"
"16542","","Welcome Home, Roscoe Jenkins","2014","gesprochen"
"16509","","Drive Angry","2013","gesprochen"
"16481","","The Man Who Came to Dinner","2012","gesprochen"
"16460","","A holló","2012","gesprochen"
"16445","","Der Chaos-Dad","2013","gesprochen"
"16444","","Inception","2014","gesprochen"
"16410","","The Bodyguard","2005","gesprochen"
"16387","","Dag som natt","2005","gesprochen"
"16357","","Lustige Sünder","2014","gesprochen"
"16354","","Before Midnight","2013","gesprochen"
"16349","","Die Unbestechlichen","2007","gesprochen"
"16337","","Nos meilleures années","2012","gesprochen"
"16280","","His Girl Friday","2014","gesprochen"
"16261","","The Informant!","2010","gesprochen"
"16246","","Den store Gatsby","2013","gesprochen"
"16246","","Man's Favorite Sport?","2006","gesprochen"
"16242","","""Privileged"" All About Honesty","2008","gesprochen"
"16217","","Ich kämpfe um dich","2010","gesprochen"
"16216","","Something's Gotta Give","2009","gesprochen"
"16193","","The Emperor Waltz","2010","gesprochen"
"16156","","Der Fall der vier Fliegen","2013","gesprochen"
"16139","","Les enfants du marais","2004","gesprochen"
"16133","","Eine total, total verrückte Welt","2014","gesprochen"
"16109","","The Pervert's Guide to Cinema","2012","gesprochen"
"16087","","Prinzessin Mononoke","2001","gesprochen"
"16054","","Without Love","2007","gesprochen"
"16041","","Fred Claus","2008","gesprochen"
"16036","","My Name Is Khan","2013","gesprochen"
"16015","","Flight","2013","gesprochen"
"16001","","Ich, Du und der Andere","2006","gesprochen"
"15999","","Prince of the City","2012","gesprochen"
"15984","","Was Frauen wollen","2002","gesprochen"
"15909","","Le mytho - Just Go with It","2011","gesprochen"
"15903","","Hero","2011","gesprochen"
"15870","","Mystic River","2009","gesprochen"
"15862","","Qui peut sauver le Far West?","2003","gesprochen"
"15817","","Wie is bang voor Virginia Woolf?","2014","gesprochen"
"15811","","No Highway","2011","gesprochen"
"15805","","Darling Companion","2013","gesprochen"
"15760","","""Star Trek: Deep Space Nine"" Broken Link","2005","gesprochen"
"15734","","Transformers 3 - Die dunkle Seite des Mondes","2011","gesprochen"
"15703","","Sirius","2013","gesprochen"
"15669","","Clockers","2006","gesprochen"
"15669","","Den vassa eggen","2008","gesprochen"
"15630","","The American President","2005","gesprochen"
"15623","","La classe operaia va in paradiso","2013","gesprochen"
"15591","","Der Stadtneurotiker","2005","gesprochen"
"15589","","Capricorn One","2012","gesprochen"
