"token","author","title","year","textClass"
"67569","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 13","2024","Gebrauchsliteratur"
"52116","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/lakás, város, ház Teil 3","2025","Gebrauchsliteratur"
"50263","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/lakás, város, ház Teil 4","2025","Gebrauchsliteratur"
"50236","","Internationaler E-Commerce in B2B-Märkten","2021","Gebrauchsliteratur:Buch"
"49083","","Ungarisch: Themengebiete: Eigenschaften","2024","Gebrauchsliteratur"
"48896","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/lakás, város, ház Teil 5","2025","Gebrauchsliteratur"
"44178","","1020-2020: Tausend Jahre Dresdner Frauenkirche","2025","Gebrauchsliteratur:Buch"
"39368","","Nepali: Ausgelagert","2024","Gebrauchsliteratur"
"39234","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/lakás, város, ház Teil 2","2025","Gebrauchsliteratur"
"37992","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 8","2024","Gebrauchsliteratur"
"37589","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 12","2024","Gebrauchsliteratur"
"33110","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 5","2024","Gebrauchsliteratur"
"32849","","Verwaltungsrecht in der Klausur/ § 2 Die Anfechtungsklage/ A. Die Statthaftigkeit der Anfechtungsklage","2023","Gebrauchsliteratur"
"32247","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 9","2024","Gebrauchsliteratur"
"31973","","Verwaltungsrecht in der Klausur/ § 2 Die Anfechtungsklage/ C. Begründetheit/ II. Die Prüfung der Rechtmäßigkeit des Verwaltungsakts im Einzelnen","2023","Gebrauchsliteratur"
"31871","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kapcsolatok más emberekkel Teil 4","2025","Gebrauchsliteratur"
"30667","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 10","2024","Gebrauchsliteratur"
"30241","","Der Dresdner Missions-Hilfsverein","2025","Gebrauchsliteratur:Buch"
"29864","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 7","2025","Gebrauchsliteratur"
"29747","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/elelmiszerek Teil 2","2025","Gebrauchsliteratur"
"29641","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 14","2024","Gebrauchsliteratur"
"29457","","Reisen in das Alte Dresden/ Die Entfestigung Dresdens/ 1809","2024","Gebrauchsliteratur"
"29430","","Goldbug","2022","Gebrauchsliteratur:Buch"
"28753","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 7","2024","Gebrauchsliteratur"
"28398","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/találkozók és bemutatkozás Teil 10","2024","Gebrauchsliteratur"
"28199","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szórakozás és kultúra Teil 3","2025","Gebrauchsliteratur"
"28145","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/elelmiszerek Teil 3","2025","Gebrauchsliteratur"
"27816","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/bevsarlas Teil 4","2025","Gebrauchsliteratur"
"27716","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 15","2025","Gebrauchsliteratur"
"27542","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/utazas Teil 2","2024","Gebrauchsliteratur"
"27452","","Formelsammlung Physik: Astronomie","2025","Gebrauchsliteratur"
"27211","","Obdachlosigkeit in Dresden","2025","Gebrauchsliteratur:Buch"
"27186","","Einführung in die Fotografie/ Das Fotografieren","2025","Gebrauchsliteratur"
"26955","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/találkozók és bemutatkozás Teil 1","2024","Gebrauchsliteratur"
"26705","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/a tanulás világa Teil 5","2025","Gebrauchsliteratur"
"26659","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 11","2024","Gebrauchsliteratur"
"26645","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 2","2025","Gebrauchsliteratur"
"26610","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kapcsolatok más emberekkel Teil 3","2025","Gebrauchsliteratur"
"26542","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 4","2024","Gebrauchsliteratur"
"26368","","Mykorrhiza – Pilz-Wurzel-Symbiosen/ Quellenverzeichnis","2020","Gebrauchsliteratur"
"26336","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szórakozás és kultúra Teil 2","2025","Gebrauchsliteratur"
"26311","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 4","2025","Gebrauchsliteratur"
"26221","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tágabb környezetünk Teil 1","2024","Gebrauchsliteratur"
"26163","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 6","2024","Gebrauchsliteratur"
"26154","","SVG/ Animation","2021","Gebrauchsliteratur"
"26080","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/N-o és M-o özötti különbségek Teil 3","2025","Gebrauchsliteratur"
"26006","","Ungarisch/Ungarisch-Grammatik/Demonstrativpronomen","2024","Gebrauchsliteratur"
"25691","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 5","2025","Gebrauchsliteratur"
"25442","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 1","2024","Gebrauchsliteratur"
"25406","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tömegközlekedes Teil 1","2024","Gebrauchsliteratur"
"25291","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kommunikáció Teil 3","2025","Gebrauchsliteratur"
"25144","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/utazas Teil 1","2024","Gebrauchsliteratur"
"24444","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kapcsolatok más emberekkel Teil 2","2025","Gebrauchsliteratur"
"24293","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/utazas Teil 3","2024","Gebrauchsliteratur"
"24218","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/bevsarlas Teil 1","2024","Gebrauchsliteratur"
"24183","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Klatsch und Tratsch Pletyka és pletykák Teil 1","2024","Gebrauchsliteratur"
"24179","","Ungarisch/Ungarisch-Grammatik/Verben/trennbare Verben/Beispiele","2025","Gebrauchsliteratur"
"24089","","Ungarisch/Ungarisch-Lesebuch-Menschliche Empfindungen/Glück","2024","Gebrauchsliteratur"
"24079","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/a tanulás világa Teil 1","2024","Gebrauchsliteratur"
"23938","","Bad Kissinger Marienkapelle und ihr Friedhof als Spiegelbild der Ortsgeschichte","2024","Gebrauchsliteratur:Buch"
"23919","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szórakozás és kultúra Teil 4","2025","Gebrauchsliteratur"
"23869","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/a tanulás világa Teil 4","2025","Gebrauchsliteratur"
"23829","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/N-o és M-o özötti különbségek Teil 4","2025","Gebrauchsliteratur"
"23707","","Verwaltungsrecht in der Klausur/ § 2 Die Anfechtungsklage/ C. Begründetheit/ IV. Klausurrelevante Ermächtigungsgrundlagen und ihre Prüfung/ Ermächtigungsgrundlagen des Allgemeinen Verwaltungsrechts","2023","Gebrauchsliteratur"
"23645","","Ungarisch/Ungarisch-Grammatik/Konditional","2025","Gebrauchsliteratur"
"23594","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/bevsarlas Teil 3","2025","Gebrauchsliteratur"
"23552","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/divat és ruházat - Teil 4","2024","Gebrauchsliteratur"
"23533","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/bevsarlas Teil 5","2025","Gebrauchsliteratur"
"23518","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Klatsch und Tratsch Pletyka és pletykák Teil 4","2024","Gebrauchsliteratur"
"23368","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/elelmiszerek Teil 1","2024","Gebrauchsliteratur"
"23067","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/a tanulás világa Teil 2","2025","Gebrauchsliteratur"
"23022","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/N-o és M-o özötti különbségek Teil 2","2025","Gebrauchsliteratur"
"23003","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/N-o és M-o özötti különbségek Teil 1","2024","Gebrauchsliteratur"
"22978","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tömegközlekedes Teil 5","2024","Gebrauchsliteratur"
"22959","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 16","2024","Gebrauchsliteratur"
"22924","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szórakozás és kultúra Teil 1","2024","Gebrauchsliteratur"
"22915","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 3","2024","Gebrauchsliteratur"
"22799","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/a tanulás világa Teil 3","2025","Gebrauchsliteratur"
"22650","","Rumantsch Grischun","2025","Gebrauchsliteratur"
"22593","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tágabb környezetünk Teil 4","2024","Gebrauchsliteratur"
"22557","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/utazas Teil 4","2024","Gebrauchsliteratur"
"22529","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 110","2024","Gebrauchsliteratur"
"22415","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 109","2024","Gebrauchsliteratur"
"22124","","Julius Döpfner und das Zweite Vatikanische Konzil","2025","Gebrauchsliteratur:Buch"
"22111","","Musterentwürfe zum gerichtlichen Mahnverfahren/ Zusatzhinweise zum gerichtlichen Mahnverfahren","2025","Gebrauchsliteratur"
"22097","","Gitarre: Effekte","2025","Gebrauchsliteratur"
"22036","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/divat és ruházat - Teil 5","2024","Gebrauchsliteratur"
"21919","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szabadidö hobbi Teil 3","2024","Gebrauchsliteratur"
"21860","","Ungarisch/Ungarisch-Lesebuch-häufigeWörter","2025","Gebrauchsliteratur"
"21854","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Deutschland Németország Teil 1","2024","Gebrauchsliteratur"
"21776","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tágabb környezetünk Teil 3","2024","Gebrauchsliteratur"
"21687","","Ungarisch/Ungarisch-Grammatik/Reflexivpronomen","2025","Gebrauchsliteratur"
"21580","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 108","2024","Gebrauchsliteratur"
"21310","","Ungarisch/Ungarisch-Grammatik/Lokalkasus","2025","Gebrauchsliteratur"
"21268","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Deutschland Németország Teil 4","2024","Gebrauchsliteratur"
"21255","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Klatsch und Tratsch Pletyka és pletykák Teil 3","2024","Gebrauchsliteratur"
"21234","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Ungarn Magyarország Teil 2","2024","Gebrauchsliteratur"
"21216","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szórakozás és kultúra Teil 5","2025","Gebrauchsliteratur"
"21095","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Klatsch und Tratsch Pletyka és pletykák Teil 2","2024","Gebrauchsliteratur"
"21068","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 107","2024","Gebrauchsliteratur"
"21050","","Inlineskaten","2014","Gebrauchsliteratur:Buch"
"20847","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kapcsolatok más emberekkel Teil 5","2025","Gebrauchsliteratur"
"20532","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Ungarn Magyarország Teil 4","2024","Gebrauchsliteratur"
"20526","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/divat és ruházat - Teil 3","2024","Gebrauchsliteratur"
"20360","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/elelmiszerek Teil 4","2025","Gebrauchsliteratur"
"20330","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/tömegközlekedes Teil 4","2024","Gebrauchsliteratur"
"20287","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 112","2024","Gebrauchsliteratur"
"20199","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/kapcsolatok más emberekkel Teil 1","2025","Gebrauchsliteratur"
"20199","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szabadidö hobbi Teil 5","2024","Gebrauchsliteratur"
"20121","","Verwaltungsrecht in der Klausur/ § 5 Die allgemeine Leistungsklage/ C. Begründetheit","2023","Gebrauchsliteratur"
"20100","","Elementarwissen medizinische Psychologie und medizinische Soziologie: Theoretisch-psychologische Grundlagen","2022","Gebrauchsliteratur"
"20090","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/szabadidö hobbi Teil 2","2024","Gebrauchsliteratur"
"20087","","Einführung in die Fotografie/ Die Bildgestaltung","2024","Gebrauchsliteratur"
"20070","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Gesundheit und Gesundheitsvorsorge - Teil 17","2024","Gebrauchsliteratur"
"20048","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/bevsarlas Teil 2","2025","Gebrauchsliteratur"
"20027","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/elelmiszerek Teil 5","2025","Gebrauchsliteratur"
"19971","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 111","2024","Gebrauchsliteratur"
"19950","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/találkozók és bemutatkozás Teil 5","2024","Gebrauchsliteratur"
"19712","","Musterentwürfe zum gerichtlichen Mahnverfahren/ Pfändungsfreibeträge ab 01.07.2015","2022","Gebrauchsliteratur"
"19693","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/divat és ruházat - Teil 2","2024","Gebrauchsliteratur"
"19635","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 98","2025","Gebrauchsliteratur"
"19573","","Medizinische Mikrobiologie: Gramnegative Stäbchen","2024","Gebrauchsliteratur"
"19503","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 60","2024","Gebrauchsliteratur"
"19477","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Ungarn Magyarország Teil 3","2024","Gebrauchsliteratur"
"19471","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/Deutschland Németország Teil 3","2024","Gebrauchsliteratur"
"19359","","Ungarisch/Ungarisch-Lesebuch-Alltagthemen/otthon és környezet Teil 67","2024","Gebrauchsliteratur"
