"token","author","title","year","textClass"
"403943","Ramdohr, Basilius von (#119016753)","Venus Urania: Ueber die Natur der Liebe, über ihre Veredlung und Verschönerung","1798","Gebrauchsliteratur::Gesellschaft"
"330408","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder und Hausmärchen","1850","Belletristik::Märchen"
"314087","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder und Hausmärchen","1857","Belletristik::Märchen"
"305322","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder und Hausmärchen","1843","Belletristik::Märchen"
"269340","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder und Hausmärchen","1840","Belletristik::Märchen"
"264712","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder- und Haus-Märchen","1819","Belletristik::Märchen"
"259902","Grimm, Jacob (#118542257); Grimm, Wilhelm (#118542265)","Kinder und Hausmärchen","1837","Belletristik::Märchen"
"236223","Steub, Ludwig (#118977113)","Drei Sommer in Tirol","1846","Gebrauchsliteratur::Reiseliteratur"
"231605","Luther, Martin (#118575449; ed.)","Das Newe Testament Deutzsch","1522","Gebrauchsliteratur::Bibelübersetzung"
"204438","Davidis","Praktisches Kochbuch für die Deutschen in Amerika: Zuverlässige und selbstgeprüfte Anweisungen zur Bereitung der verschiedenartigsten Speisen und Getränke, zum Backen, Einmachen u. s. w.: Bearbeitung des anerkannt besten deutschen Kochbuchs de"
"149200","Schiller, Friedrich (#118607626)","Geschichte des dreyßigjährigen Kriegs","1792","Wissenschaft::Geschichte"
"140315","Quantz, Johann Joachim (#118747975)","Versuch einer Anweisung die Flöte traversiere zu spielen","1752","Wissenschaft::Musik"
"115811","Temme, Jodocus Donatus Hubertus (#118801597)","Die Volkssagen von Pommern und Rügen","1840","Belletristik::Märchen"
"115421","Saar, Johann Jacob (#124827527)","Ost-Indianische Funfzehen-Jährige Kriegs-Dienste","1672","Gebrauchsliteratur::Reiseliteratur"
"113440","Breuer, Josef (#118515225); Freud, Sigmund (#118535315)","Studien über Hysterie","1895","Wissenschaft::Psychologie"
"112311","Schenck, Gottfried Anton (#124816045)","Geschicht–Beschreibung der Stadt Wißbaden: aus bewährten Schriften und zuverlässigen Nachrichten verfasset","1758","Gebrauchsliteratur::Regionalgeschichte"
"99327","Adler, Emma (#121730026)","Die berühmten Frauen der französischen Revolution 1789–1795","1906","Gebrauchsliteratur::Politik"
"92434","Miguel de, Cervantes (#11851993X)","Don Kichote de la Mantzscha","1648","Belletristik::Roman"
"91667","Akunian, Ilse (#11600987X)","Flügel auf!: Novellen","1895","Belletristik::Novelle"
"86561","Hebel, Johann Peter (#118547453)","Schatzkästlein des rheinischen Hausfreundes","1811","Belletristik::Prosa"
"86529","Kafka, Franz (#118559230)","Der Prozess","1925","Belletristik::Roman"
"72421","Hamburg","Der Stadt Hamburg Statuta und Gerichts Ordnung","1680","Gebrauchsliteratur::Recht"
"70393","Vogt, Carl (#118769014)","Untersuchungen über Thierstaaten","1851","Wissenschaft::Biologie"
"70268","Schubin, Ossip (#117116955)","Vollmondzauber","1899","Belletristik::Roman"
"69747","Fontane, Theodor (#118534262)","Meine Kinderjahre","1894","Belletristik::Autobiographie"
"65804","Eckarth, Friedrich (#136444369)","Chronica Oder Historische Beschreibung Des Dorffes Herwigsdorff","1737","Gebrauchsliteratur::Regionalgeschichte"
