"token","author","title","year","textClass"
"30813","","Welterbe/Europa","2024","Gebrauchsliteratur:Welterbe"
"22703","","Welterbe/Asien und Ozeanien","2025","Gebrauchsliteratur:Welterbe"
"21709","","Amsterdam/Centrum","2025","Gebrauchsliteratur:Amsterdam"
"20984","","Tiflis","2025","Gebrauchsliteratur:Georgien"
"20668","","Israel","2025","Gebrauchsliteratur:Naher Osten"
"20073","","Berlin","2025","Gebrauchsliteratur:Deutschland"
"18868","","Japan","2025","Gebrauchsliteratur:Ostasien"
"18791","","München","2025","Gebrauchsliteratur:Oberbayern"
"17353","","Hamburg","2025","Gebrauchsliteratur:Deutschland"
"17343","","Welterbe/Amerika","2024","Gebrauchsliteratur:Welterbe"
"17086","","Göttingen","2025","Gebrauchsliteratur:Leinebergland:Südniedersachsen"
"17080","","Ägypten","2025","Gebrauchsliteratur:Nordafrika"
"16716","","München/Altstadt-Lehel","2025","Gebrauchsliteratur:München"
"16489","","Thailand","2025","Gebrauchsliteratur:Südostasien"
"16352","","München/Sehenswürdigkeiten","2025","Gebrauchsliteratur:München"
"16258","","Dresden","2025","Gebrauchsliteratur:Dresdner Elbtal"
"16190","","Wien","2025","Gebrauchsliteratur:Österreich"
"16080","","Tatra (Polen)","2025","Gebrauchsliteratur:Kleinpolen:Tatra"
"16066","","São Paulo","2025","Gebrauchsliteratur:São Paulo (Bundesstaat)"
"15917","","China","2025","Gebrauchsliteratur:Ostasien"
"15605","","Madrid","2025","Gebrauchsliteratur:Madrid (Ballungsraum)"
"15422","","Köln","2025","Gebrauchsliteratur:Region Köln-Bonn"
"14814","","Pyrenäen-Fernwanderwege","2024","Gebrauchsliteratur:Pyrénées-Atlantiques:Pyrénées-Orientales:Hautes-Pyrénées:Midi-Pyrénées:Huesca (Provinz):Navarra:Girona (Provinz):Lleida (Provinz):Wandern in Frankreich:Pyrenäen"
"14713","","Kassel","2025","Gebrauchsliteratur:Region Kassel"
"14606","","Würzburg","2025","Gebrauchsliteratur:Maindreieck:Würzburg"
"14524","","Wasserwandern auf dem Hochrhein","2024","Gebrauchsliteratur:Wasserwandern in der Schweiz:Wassersport:Wasserwandern in Deutschland"
"13704","","Vereinigte Staaten von Amerika","2025","Gebrauchsliteratur:Nordamerika"
"13582","","Wanderrouten im Habichtswald (Gebirge)","2020","Gebrauchsliteratur:Nordhessen:Naturpark Habichtswald"
"13562","","Niederlande","2024","Gebrauchsliteratur:Benelux"
"13482","","Island","2025","Gebrauchsliteratur:Nordeuropa:Atlantischer Ozean"
"13400","","Washington, D.C.","2025","Gebrauchsliteratur:Mittelatlantik-Staaten"
"13375","","Budapest","2025","Gebrauchsliteratur:Mittelungarn"
"13372","","Route der Industriekultur – Krupp und die Stadt Essen","2024","Gebrauchsliteratur:Essen:Route der Industriekultur (Ruhrgebiet)"
"13311","","Paris","2025","Gebrauchsliteratur:Île-de-France"
"13283","","Deutschland","2025","Gebrauchsliteratur:Mitteleuropa"
"12993","","Krakau","2024","Gebrauchsliteratur:Kleinpolen"
"12961","","Kanada","2025","Gebrauchsliteratur:Nordamerika"
