"token","author","title","year","textClass"
"79076","Humboldt, Wilhelm von","Über Göthes Hermann und Dorothea","1798","Wissenschaft"
"63114","Humboldt, Wilhelm von","Ideen zu einem Versuch, die Grenzen der Wirksamkeit des Staats zu bestimmen","1792","Wissenschaft"
"18001","Humboldt, Wilhelm von","Sokrates und Platon über die Gottheit, über die Vorsehung und Unsterblichkeit","1785","Wissenschaft"
"13830","Humboldt, Wilhelm von","Über die männliche und weibliche Form","1795","Wissenschaft"
"13628","Humboldt, Wilhelm von","Über Religion","1789","Wissenschaft"
"12901","Humboldt, Wilhelm von","Plan einer vergleichenden Anthropologie","1795","Wissenschaft"
"9883","Humboldt, Wilhelm von","Über das Studium des Alterthums, und des griechischen insbesondre","1793","Wissenschaft"
"9570","Humboldt, Wilhelm von","Über den Geschlechtsunterschied und dessen Einfluß auf die organische Natur","1794","Wissenschaft"
"9395","Humboldt, Wilhelm von","Rezension von Jacobis Woldemar","1794","Wissenschaft"
"5951","Humboldt, Wilhelm von","Pindar","1795","Wissenschaft"
"4138","Humboldt, Wilhelm von","Über die Gesetze der Entwicklung der menschlichen Kräfte","1791","Wissenschaft"
"4135","Humboldt, Wilhelm von","Über den Geist der Menschheit","1797","Wissenschaft"
"3907","Humboldt, Wilhelm von","Rezension der Agnes von Lilien","1798","Wissenschaft"
"3454","Humboldt, Wilhelm von","Ideen über Staatsverfassung, durch die neue Französische Constitution veranlasst","1791","Wissenschaft"
"2754","Humboldt, Wilhelm von","Rezension von Wolfs Ausgabe der Odyssee","1795","Wissenschaft"
"2266","Humboldt, Wilhelm von","Theorie der Bildung des Menschen","1793","Wissenschaft"
